Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3392233,plasma concentration at steady state,The mean plasma concentration at steady state was 1.0 ng/mL.,Multiple-dose pharmacokinetics of nilvadipine in healthy volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3392233/),[ng] / [ml],1.0,195,DB06712,Nilvadipine
,3433803,oral bioavailability,2. Nilvadipine was rapidly and almost completely absorbed after oral dosing in both species; oral bioavailability was 4.3% in rats and 37.0% in dogs due to extensive first-pass metabolism.,"Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),%,4.3,15530,DB06712,Nilvadipine
,3433803,oral bioavailability,2. Nilvadipine was rapidly and almost completely absorbed after oral dosing in both species; oral bioavailability was 4.3% in rats and 37.0% in dogs due to extensive first-pass metabolism.,"Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),%,37.0,15531,DB06712,Nilvadipine
,3433803,half-lives,"The half-lives of radioactivity in plasma after i.v. and oral dosing were similar, i.e. 8-10 h in rats, estimated from 2 to 24 h after dosing and 1.5 d in dogs, estimated from 1 to 3 d.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),h,8-10,15532,DB06712,Nilvadipine
,3433803,half-lives,"The half-lives of radioactivity in plasma after i.v. and oral dosing were similar, i.e. 8-10 h in rats, estimated from 2 to 24 h after dosing and 1.5 d in dogs, estimated from 1 to 3 d.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),h,2 to 24,15533,DB06712,Nilvadipine
,3433803,half-lives,"The half-lives of radioactivity in plasma after i.v. and oral dosing were similar, i.e. 8-10 h in rats, estimated from 2 to 24 h after dosing and 1.5 d in dogs, estimated from 1 to 3 d.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),d,1.5,15534,DB06712,Nilvadipine
,3433803,half-lives,"The half-lives of radioactivity in plasma after i.v. and oral dosing were similar, i.e. 8-10 h in rats, estimated from 2 to 24 h after dosing and 1.5 d in dogs, estimated from 1 to 3 d.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),d,1 to 3,15535,DB06712,Nilvadipine
,3433803,terminal phase half-lives,"In contrast, plasma concentrations of unchanged drug after i.v. dosing declined biexponentially with terminal phase half-lives of 1.2 h in rats and 4.4 h in dogs.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),h,1.2,15536,DB06712,Nilvadipine
,3433803,terminal phase half-lives,"In contrast, plasma concentrations of unchanged drug after i.v. dosing declined biexponentially with terminal phase half-lives of 1.2 h in rats and 4.4 h in dogs.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),h,4.4,15537,DB06712,Nilvadipine
,3433803,urinary excretion,"4. With both routes of dosing, urinary excretion of radioactivity was 21-24% dose in rats and 56-61% in dogs, mainly in 24 h.","Absorption, distribution and excretion of nilvadipine, a new dihydropyridine calcium antagonist, in rats and dogs. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3433803/),%,21-24,15538,DB06712,Nilvadipine
