Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30963506,Cmax ratios,"Least-squares mean estimates (90% confidence interval) for Cmax ratios were 1.05 (0.90-1.23), 1.06 (0.97-1.16), and 1.04 (0.88-1.22) for norelgestromin, norgestrel, and ethinyl estradiol, respectively.","A Multi-Center, Open-Label, Pharmacokinetic Drug Interaction Study of Erenumab and a Combined Oral Contraceptive in Healthy Females. ",Cmax ratio-Q33,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30963506/),,1,161813,DB06713,Norelgestromin
,30963506,AUCtau ratios,"Respective AUCtau ratios were 1.02 (0.94-1.12), 1.03 (0.96-1.10), and 1.02 (0.91-1.14).","A Multi-Center, Open-Label, Pharmacokinetic Drug Interaction Study of Erenumab and a Combined Oral Contraceptive in Healthy Females. ",AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30963506/),,1.02,161814,DB06713,Norelgestromin
,30963506,AUCtau ratios,"Respective AUCtau ratios were 1.02 (0.94-1.12), 1.03 (0.96-1.10), and 1.02 (0.91-1.14).","A Multi-Center, Open-Label, Pharmacokinetic Drug Interaction Study of Erenumab and a Combined Oral Contraceptive in Healthy Females. ",AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30963506/),,1.03,161815,DB06713,Norelgestromin
,30963506,AUCtau ratios,"Respective AUCtau ratios were 1.02 (0.94-1.12), 1.03 (0.96-1.10), and 1.02 (0.91-1.14).","A Multi-Center, Open-Label, Pharmacokinetic Drug Interaction Study of Erenumab and a Combined Oral Contraceptive in Healthy Females. ",AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30963506/),,1.02,161816,DB06713,Norelgestromin
,20842042,AUC0-168 h,Patch EE median AUC0-168 h was 45% lower at 6010.36 pg·h·mL in those on LPV/r versus 10911.42 pg·h·mL in those on no HAART (P = 0.064).,Contraceptive efficacy of oral and transdermal hormones when co-administered with protease inhibitors in HIV-1-infected women: pharmacokinetic results of ACTG trial A5188. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20842042/),h·ml·pg,6010.36,171328,DB06713,Norelgestromin
,20842042,AUC0-168 h,Patch EE median AUC0-168 h was 45% lower at 6010.36 pg·h·mL in those on LPV/r versus 10911.42 pg·h·mL in those on no HAART (P = 0.064).,Contraceptive efficacy of oral and transdermal hormones when co-administered with protease inhibitors in HIV-1-infected women: pharmacokinetic results of ACTG trial A5188. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20842042/),h·ml·pg,10911.42,171329,DB06713,Norelgestromin
,20842042,AUC0-48 hours,Pill EE median AUC0-48 hours was similarly 55% lower at 344.67 pg·h·mL in those on LPV/r versus 765.38 pg·h·mL in those on no HAART (P = 0.003).,Contraceptive efficacy of oral and transdermal hormones when co-administered with protease inhibitors in HIV-1-infected women: pharmacokinetic results of ACTG trial A5188. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20842042/),h·ml·pg,344.67,171330,DB06713,Norelgestromin
,20842042,AUC0-48 hours,Pill EE median AUC0-48 hours was similarly 55% lower at 344.67 pg·h·mL in those on LPV/r versus 765.38 pg·h·mL in those on no HAART (P = 0.003).,Contraceptive efficacy of oral and transdermal hormones when co-administered with protease inhibitors in HIV-1-infected women: pharmacokinetic results of ACTG trial A5188. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20842042/),h·ml·pg,765.38,171331,DB06713,Norelgestromin
,20842042,AUC0-168 h,"Patch NGMN AUC0-168 h however, was 138.39 ng·h·mL, 83% higher in the LPV/r group compared with the control AUC of 75.63 ng·h·mL (P = 0.036).",Contraceptive efficacy of oral and transdermal hormones when co-administered with protease inhibitors in HIV-1-infected women: pharmacokinetic results of ACTG trial A5188. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20842042/),h·ml·ng,138.39,171332,DB06713,Norelgestromin
,20842042,AUC,"Patch NGMN AUC0-168 h however, was 138.39 ng·h·mL, 83% higher in the LPV/r group compared with the control AUC of 75.63 ng·h·mL (P = 0.036).",Contraceptive efficacy of oral and transdermal hormones when co-administered with protease inhibitors in HIV-1-infected women: pharmacokinetic results of ACTG trial A5188. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20842042/),h·ml·ng,75.63,171333,DB06713,Norelgestromin
,28285154,rate,"We observed an accumulation over the 12-week time at an estimated rate of 2.15 pg/mL per week (95% confidence interval 0.95-3.35, p<.001).",The pharmacokinetics of 12-week continuous contraceptive patch use. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28285154/),[pg] / [ml·week],2.15,171688,DB06713,Norelgestromin
