Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25245190,area under the curve₀₋₂₄,"In the treatment group, compared to the control group, an increase in area under the curve₀₋₂₄ (16.69 h*ng/mL vs. 25.20 h*ng/mL; p<.05) and maximum serum concentration (2.09 ng/mL vs. 3.19 ng/mL; p<.05), decrease (25%-40%) in apparent volume of distribution and apparent clearance, and unaltered half-life were observed.",Increased exposure of norethindrone in HIV+ women treated with ritonavir-boosted atazanavir therapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25245190/),[h·ng] / [ml],16.69,513,DB00717,Norethindrone
,25245190,area under the curve₀₋₂₄,"In the treatment group, compared to the control group, an increase in area under the curve₀₋₂₄ (16.69 h*ng/mL vs. 25.20 h*ng/mL; p<.05) and maximum serum concentration (2.09 ng/mL vs. 3.19 ng/mL; p<.05), decrease (25%-40%) in apparent volume of distribution and apparent clearance, and unaltered half-life were observed.",Increased exposure of norethindrone in HIV+ women treated with ritonavir-boosted atazanavir therapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25245190/),[h·ng] / [ml],25.20,514,DB00717,Norethindrone
,25245190,maximum serum concentration,"In the treatment group, compared to the control group, an increase in area under the curve₀₋₂₄ (16.69 h*ng/mL vs. 25.20 h*ng/mL; p<.05) and maximum serum concentration (2.09 ng/mL vs. 3.19 ng/mL; p<.05), decrease (25%-40%) in apparent volume of distribution and apparent clearance, and unaltered half-life were observed.",Increased exposure of norethindrone in HIV+ women treated with ritonavir-boosted atazanavir therapy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25245190/),[ng] / [ml],2.09,515,DB00717,Norethindrone
,25245190,maximum serum concentration,"In the treatment group, compared to the control group, an increase in area under the curve₀₋₂₄ (16.69 h*ng/mL vs. 25.20 h*ng/mL; p<.05) and maximum serum concentration (2.09 ng/mL vs. 3.19 ng/mL; p<.05), decrease (25%-40%) in apparent volume of distribution and apparent clearance, and unaltered half-life were observed.",Increased exposure of norethindrone in HIV+ women treated with ritonavir-boosted atazanavir therapy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25245190/),[ng] / [ml],3.19,516,DB00717,Norethindrone
,10496299,absolute bioavailability,It is rapidly absorbed with an absolute bioavailability of between 40 and 50%.,Clinical pharmacokinetics of troglitazone. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10496299/),%,40 and 50,2272,DB00717,Norethindrone
,10496299,elimination half-life,"The mean elimination half-life ranges from 7.6 to 24 hours, which facilitates a once daily administration regimen.",Clinical pharmacokinetics of troglitazone. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10496299/),h,7.6 to 24,2273,DB00717,Norethindrone
,9262934,relative bioavailability,"The estimates of relative bioavailability ranged from 13 to 51% in rabbits, monkeys, and women.","Pharmacokinetics of orally administered norethisterone enanthate in rabbit, monkey, and women. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9262934/),%,13 to 51,8428,DB00717,Norethindrone
,9262934,elimination half-life,The elimination half-life was 5-10 days.,"Pharmacokinetics of orally administered norethisterone enanthate in rabbit, monkey, and women. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9262934/),d,5-10,8429,DB00717,Norethindrone
,2766722,C.V.s,"Intra-individual C.V.s were 41% and 42%, respectively.","Pharmacokinetics of three bioequivalent norethindrone/mestranol-50 micrograms and three norethindrone/ethinyl estradiol-35 micrograms OC formulations: are ""low-dose"" pills really lower? ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2766722/),%,41,11325,DB00717,Norethindrone
,2766722,C.V.s,"Intra-individual C.V.s were 41% and 42%, respectively.","Pharmacokinetics of three bioequivalent norethindrone/mestranol-50 micrograms and three norethindrone/ethinyl estradiol-35 micrograms OC formulations: are ""low-dose"" pills really lower? ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2766722/),%,42,11326,DB00717,Norethindrone
