Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17993748,distribution (t(1/2alpha)),"After i.v. administration of NFLXGA, the distribution (t(1/2alpha)) and elimination half-life (t(1/2beta)) were 0.36 +/- 0.07 h and 7.42 +/- 3.55 h, respectively.",Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),h,0.36,3063,DB01059,Norfloxacin
,17993748,elimination half-life (t(1/2beta)),"After i.v. administration of NFLXGA, the distribution (t(1/2alpha)) and elimination half-life (t(1/2beta)) were 0.36 +/- 0.07 h and 7.42 +/- 3.55 h, respectively.",Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),h,7.42,3064,DB01059,Norfloxacin
,17993748,volume of distribution of NFLXGA at steady state (Vd(ss)),The volume of distribution of NFLXGA at steady state (Vd(ss)) was 4.66 +/- 1.39 l/kg.,Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),[l] / [kg],4.66,3065,DB01059,Norfloxacin
,17993748,maximal absorption concentration (C(max)),"After p.o. administration of NFLXGA, the maximal absorption concentration (C(max)) was 0.43 +/- 0.06 microg/ ml at 1.36 +/- 0.39 h (T(max)).",Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),[μg] / [ml],0.43,3066,DB01059,Norfloxacin
,17993748,T(max),"After p.o. administration of NFLXGA, the maximal absorption concentration (C(max)) was 0.43 +/- 0.06 microg/ ml at 1.36 +/- 0.39 h (T(max)).",Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),,1,3067,DB01059,Norfloxacin
,17993748,absorption (t(1/2ka)),"The mean absorption (t(1/2ka)) and elimination half-life (t(1/2beta)) of NFLXGA were 0.78 +/- 0.27 h and 7.13 +/- 1.41 h, respectively.",Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),h,0.78,3068,DB01059,Norfloxacin
,17993748,elimination half-life (t(1/2beta)),"The mean absorption (t(1/2ka)) and elimination half-life (t(1/2beta)) of NFLXGA were 0.78 +/- 0.27 h and 7.13 +/- 1.41 h, respectively.",Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),h,7.13,3069,DB01059,Norfloxacin
,17993748,systemic bioavailability (F),The mean systemic bioavailability (F) after p.o. administration was 31.10 +/- 15.16%.,Clinical pharmacokinetics of norfloxacin-glycine acetate after intravenous and oral administration in pigs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17993748/),%,31.10,3070,DB01059,Norfloxacin
,19839343,limit of detection,"The limit of detection is 1.5 x 10(-3) x microg x mL(-1), which can be applied to the determination of blood serum samples.",[Determination of Norfloxacin by its enhancement effect on the fluorescence intensity of functionalized CdS nanoparticles]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19839343/),[μg] / [ml],1.5 x 10(-3),3908,DB01059,Norfloxacin
,3242584,percentage 12 h renal elimination,"On days 2-7, the mean percentage 12 h renal elimination of norfloxacin was 18.6 +/- 1.47 (mean of 82 separate observations).",Chronic dose urinary and serum pharmacokinetics of norfloxacin in the elderly. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3242584/),,18.6,7428,DB01059,Norfloxacin
,15862658,recovery,Sample preparation by SPE C18 (Supelclean) with recovery 72% was performed.,High-performance liquid chromatographic determination of ciprofloxacin in plasma samples. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15862658/),%,72,7654,DB01059,Norfloxacin
,10447831,clearance (Cl),"The clearance (Cl) values were 10.4+/-2.5, 13.2+/-1.9 and 14.2+/-2.1 mL/min/kg (mean +/-SD) in the control (healthy udder) cows and in cows with subclinical and postacute clinical mastitis, respectively.",Norfloxacin pharmacokinetics in lactating cows with sub-clinical and clinical mastitis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10447831/),[ml] / [kg·min],10.4,11870,DB01059,Norfloxacin
,10447831,clearance (Cl),"The clearance (Cl) values were 10.4+/-2.5, 13.2+/-1.9 and 14.2+/-2.1 mL/min/kg (mean +/-SD) in the control (healthy udder) cows and in cows with subclinical and postacute clinical mastitis, respectively.",Norfloxacin pharmacokinetics in lactating cows with sub-clinical and clinical mastitis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10447831/),[ml] / [kg·min],13.2,11871,DB01059,Norfloxacin
