Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22431570,overall response,"The best overall response was 43%, with 5 complete responses and 4 partial responses.",Phase 1 study results of the type II glycoengineered humanized anti-CD20 monoclonal antibody obinutuzumab (GA101) in B-cell lymphoma patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22431570/),%,43,66406,DB08935,Obinutuzumab
,29843792,response rate,End-of-treatment (EoT) response rate was 33.3%.,Safety and efficacy of obinutuzumab in Chinese patients with B-cell lymphomas: a secondary analysis of the GERSHWIN trial. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29843792/),%,33.3,73296,DB08935,Obinutuzumab
,29843792,overall response rate,Best overall response rate was 47.9%.,Safety and efficacy of obinutuzumab in Chinese patients with B-cell lymphomas: a secondary analysis of the GERSHWIN trial. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29843792/),%,47.9,73297,DB08935,Obinutuzumab
,23046388,end-of-treatment response rate,"Out of 12 patients, 7 responded (end-of-treatment response rate 58%), with 2 complete responses and 5 partial responses.",Phase I study of obinutuzumab (GA101) in Japanese patients with relapsed or refractory B-cell non-Hodgkin lymphoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23046388/),%,58,117394,DB08935,Obinutuzumab
,32222808,volume of distribution,"Geometric mean volume of distribution and clearance of acMMAE ranged from 57.3 to 95.6 mL/kg and 12.7 to 18.2 mL/kg/day, respectively.",Pharmacokinetics of polatuzumab vedotin in combination with R/G-CHP in patients with B-cell non-Hodgkin lymphoma. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32222808/),[ml] / [kg],57.3 to 95.6,163246,DB08935,Obinutuzumab
,32222808,clearance,"Geometric mean volume of distribution and clearance of acMMAE ranged from 57.3 to 95.6 mL/kg and 12.7 to 18.2 mL/kg/day, respectively.",Pharmacokinetics of polatuzumab vedotin in combination with R/G-CHP in patients with B-cell non-Hodgkin lymphoma. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32222808/),[ml] / [d·kg],12.7 to 18.2,163247,DB08935,Obinutuzumab
,32222808,elimination half-life,acMMAE exhibited multi-exponential decay (elimination half-life ~ 1 week).,Pharmacokinetics of polatuzumab vedotin in combination with R/G-CHP in patients with B-cell non-Hodgkin lymphoma. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/32222808/),week,1,163248,DB08935,Obinutuzumab
,33739857,overall response rate,"The overall response rate was 53.8% (complete response [CR], 36.8%) among all doses and 65.7% (CR, 57.1%) in those dosed at the recommended phase II dose.","Glofitamab, a Novel, Bivalent CD20-Targeting T-Cell-Engaging Bispecific Antibody, Induces Durable Complete Remissions in Relapsed or Refractory B-Cell Lymphoma: A Phase I Trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33739857/),%,53.8,179273,DB08935,Obinutuzumab
,33739857,overall response rate,"The overall response rate was 53.8% (complete response [CR], 36.8%) among all doses and 65.7% (CR, 57.1%) in those dosed at the recommended phase II dose.","Glofitamab, a Novel, Bivalent CD20-Targeting T-Cell-Engaging Bispecific Antibody, Induces Durable Complete Remissions in Relapsed or Refractory B-Cell Lymphoma: A Phase I Trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33739857/),%,36.8,179274,DB08935,Obinutuzumab
,33739857,overall response rate,"The overall response rate was 53.8% (complete response [CR], 36.8%) among all doses and 65.7% (CR, 57.1%) in those dosed at the recommended phase II dose.","Glofitamab, a Novel, Bivalent CD20-Targeting T-Cell-Engaging Bispecific Antibody, Induces Durable Complete Remissions in Relapsed or Refractory B-Cell Lymphoma: A Phase I Trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33739857/),%,65.7,179275,DB08935,Obinutuzumab
,33739857,overall response rate,"The overall response rate was 53.8% (complete response [CR], 36.8%) among all doses and 65.7% (CR, 57.1%) in those dosed at the recommended phase II dose.","Glofitamab, a Novel, Bivalent CD20-Targeting T-Cell-Engaging Bispecific Antibody, Induces Durable Complete Remissions in Relapsed or Refractory B-Cell Lymphoma: A Phase I Trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33739857/),%,57.1,179276,DB08935,Obinutuzumab
,22438256,best overall response,Eight patients received maintenance; best overall response was 32% (6 partial responses/1 complete response).,A phase 1 study of obinutuzumab induction followed by 2 years of maintenance in patients with relapsed CD20-positive B-cell malignancies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22438256/),%,32,241407,DB08935,Obinutuzumab
