Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12186384,detection limit,The detection limit of levofloxacin was 50 ng/ml.,Pharmacokinetic study of levofloxacin in rat blood and bile by microdialysis and high-performance liquid chromatography. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12186384/),[ng] / [ml],50,899,DB01165,Ofloxacin
,11296178,steady-state concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],9.9,1668,DB01165,Ofloxacin
,11296178,steady-state concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],6.5,1669,DB01165,Ofloxacin
,11296178,steady-state concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],0.7,1670,DB01165,Ofloxacin
,11296178,steady-state concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],97.9,1671,DB01165,Ofloxacin
,11296178,steady-state concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],36.7,1672,DB01165,Ofloxacin
,11296178,steady-state concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],13.8,1673,DB01165,Ofloxacin
,11296178,concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],97.9,1674,DB01165,Ofloxacin
,11296178,concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],36.7,1675,DB01165,Ofloxacin
,11296178,concentrations,"For once-daily dosing of levofloxacin, 500 mg, the mean (+/- SD) steady-state concentrations at 4 h, 12 h, and 24 h in ELF were 9.9 +/- 2.7 microg/mL, 6.5 +/- 2.5 microg/mL, and 0.7 +/- 0.4 microg/mL, respectively; AM concentrations were 97.9 +/- 80.0 microg/mL, 36.7 +/- 23.4 microg/mL, and 13.8 +/- 16.0 microg/mL, respectively.",Steady-state plasma and intrapulmonary concentrations of levofloxacin and ciprofloxacin in healthy adult subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11296178/),[μg] / [ml],13.8,1676,DB01165,Ofloxacin
