Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3203708,elimination half-life,"The study showed that: 1. OLZ had a very short elimination half-life, mean 56 min.",The pharmacokinetics of olsalazine sodium in healthy volunteers after a single i.v. dose and after oral doses with and without food. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3203708/),min,56,125197,DB01250,Olsalazine
,3203708,serum half-life,Following the i.v. dose the serum half-life of the O-sulphate was estimated to be 7 days.,The pharmacokinetics of olsalazine sodium in healthy volunteers after a single i.v. dose and after oral doses with and without food. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3203708/),d,7,125198,DB01250,Olsalazine
,2059673,AUC,"Within and between subject variability estimates for AUC of ac-5-ASA were 24 per cent and 46 per cent, respectively.",Relative bioavailability of olsalazine from tablets and capsules: a drug targeted for local effect in the colon. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2059673/),%,24,134430,DB01250,Olsalazine
,2059673,AUC,"Within and between subject variability estimates for AUC of ac-5-ASA were 24 per cent and 46 per cent, respectively.",Relative bioavailability of olsalazine from tablets and capsules: a drug targeted for local effect in the colon. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2059673/),%,46,134431,DB01250,Olsalazine
,2864155,elimination half-life,Sulphasalazine itself is poorly absorbed (3 to 12%) and its elimination half-life of about 5 to 10 hours is probably affected by the absorption process.,"Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),h,5 to 10,139123,DB01250,Olsalazine
,2864155,elimination half-life,"Depending on the genetic phenotype, the elimination half-life and apparent oral clearance of sulphapyridine are approximately 14 hours and 40 ml/min (slow acetylators) or 6 hours and 150 ml/min (fast acetylators), respectively.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),h,14,139124,DB01250,Olsalazine
,2864155,elimination half-life,"Depending on the genetic phenotype, the elimination half-life and apparent oral clearance of sulphapyridine are approximately 14 hours and 40 ml/min (slow acetylators) or 6 hours and 150 ml/min (fast acetylators), respectively.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),h,6,139125,DB01250,Olsalazine
,2864155,apparent oral clearance,"Depending on the genetic phenotype, the elimination half-life and apparent oral clearance of sulphapyridine are approximately 14 hours and 40 ml/min (slow acetylators) or 6 hours and 150 ml/min (fast acetylators), respectively.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),[ml] / [min],40,139126,DB01250,Olsalazine
,2864155,apparent oral clearance,"Depending on the genetic phenotype, the elimination half-life and apparent oral clearance of sulphapyridine are approximately 14 hours and 40 ml/min (slow acetylators) or 6 hours and 150 ml/min (fast acetylators), respectively.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),[ml] / [min],150,139127,DB01250,Olsalazine
,2864155,elimination half-life,"While the elimination half-life of 5-ASA is short (0.5 to 1.5 h), its major acetylated metabolite (which may be active) exhibits a half-life of 5 to 10 hours.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),h,0.5 to 1.5,139128,DB01250,Olsalazine
,2864155,half-life,"While the elimination half-life of 5-ASA is short (0.5 to 1.5 h), its major acetylated metabolite (which may be active) exhibits a half-life of 5 to 10 hours.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),h,5 to 10,139129,DB01250,Olsalazine
less,2864155,steady-state plasma concentrations,"During therapy with sulphasalazine or 5-ASA, steady-state plasma concentrations of 5-ASA are relatively low (less than or equal to 2 micrograms/ml); thus its mode of action appears to be topically rather than systemically.","Clinical pharmacokinetics of sulphasalazine, its metabolites and other prodrugs of 5-aminosalicylic acid. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2864155/),[μg] / [ml],2,139130,DB01250,Olsalazine
,26606108,m,The multiple reaction monitoring (MRM) mode of the negative ion was performed and the transitions of m/z 208.1→107.0 and m/z 211.1→110.1 were used to measure the derivative of mesalazine and mesalazine-d3.,"Determination of mesalazine, a low bioavailability olsalazine metabolite in human plasma by UHPLC-MS/MS: Application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26606108/),,208.1,177631,DB01250,Olsalazine
,26606108,Nominal retention times,"Nominal retention times of mesalazine and IS were 3.08 and 3.07min, respectively.","Determination of mesalazine, a low bioavailability olsalazine metabolite in human plasma by UHPLC-MS/MS: Application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26606108/),min,3.08,177632,DB01250,Olsalazine
,26606108,Nominal retention times,"Nominal retention times of mesalazine and IS were 3.08 and 3.07min, respectively.","Determination of mesalazine, a low bioavailability olsalazine metabolite in human plasma by UHPLC-MS/MS: Application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26606108/),min,3.07,177633,DB01250,Olsalazine
,26606108,Absolute recovery,Absolute recovery was found to be between 82-95% for analyte and about 78% for IS.,"Determination of mesalazine, a low bioavailability olsalazine metabolite in human plasma by UHPLC-MS/MS: Application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26606108/),%,82-95,177634,DB01250,Olsalazine
,26606108,Absolute recovery,Absolute recovery was found to be between 82-95% for analyte and about 78% for IS.,"Determination of mesalazine, a low bioavailability olsalazine metabolite in human plasma by UHPLC-MS/MS: Application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26606108/),%,78,177635,DB01250,Olsalazine
,6669934,peak serum concentration,The ADS absorption gave a mean peak serum concentration of 2.1 (SD +/- 0.7) microgram/ml.,Absorption and excretion of azodisal sodium and its metabolites in man after rectal administration of a single 2-g dose. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6669934/),[μg] / [ml],2.1,220791,DB01250,Olsalazine
,6669934,urinary excretion,The urinary excretion of ADS was 0.8% of the given dose.,Absorption and excretion of azodisal sodium and its metabolites in man after rectal administration of a single 2-g dose. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6669934/),%,0.8,220792,DB01250,Olsalazine
,6669934,urinary excretion,The mean 24-h urinary excretion of these two metabolites was only 2.7% of the given dose.,Absorption and excretion of azodisal sodium and its metabolites in man after rectal administration of a single 2-g dose. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6669934/),%,2.7,220793,DB01250,Olsalazine
,12492730,urinary excretion,": Pharmacokinetic data (Tmax, Cmax, AUC, urinary excretion, faecal excretion) of 5ASA, its major metabolite N-Acetyl-5ASA, total 5ASA, and the parent pro-drug compounds was extracted. : The summary results for urinary excretion of total 5ASA over 24-96 h in all subjects (either mean or median) were: sulfasalazine mean 11-33% or median 22%; olsalazine mean 14-31% or median 16-27%; balsalazide mean 12-35% or median 20%; Asacol mean 10-35% or median 18-40%; Pentasa mean 15-53% or median 23-34%; Salofalk, Mesasal and Claversal mean 27-56% or median 31-44%.",Systematic review: the pharmacokinetic profiles of oral mesalazine formulations and mesalazine pro-drugs used in the management of ulcerative colitis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12492730/),%,11-33,228618,DB01250,Olsalazine
,12492730,urinary excretion,": Pharmacokinetic data (Tmax, Cmax, AUC, urinary excretion, faecal excretion) of 5ASA, its major metabolite N-Acetyl-5ASA, total 5ASA, and the parent pro-drug compounds was extracted. : The summary results for urinary excretion of total 5ASA over 24-96 h in all subjects (either mean or median) were: sulfasalazine mean 11-33% or median 22%; olsalazine mean 14-31% or median 16-27%; balsalazide mean 12-35% or median 20%; Asacol mean 10-35% or median 18-40%; Pentasa mean 15-53% or median 23-34%; Salofalk, Mesasal and Claversal mean 27-56% or median 31-44%.",Systematic review: the pharmacokinetic profiles of oral mesalazine formulations and mesalazine pro-drugs used in the management of ulcerative colitis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12492730/),%,22,228619,DB01250,Olsalazine
,12492730,urinary excretion,": Pharmacokinetic data (Tmax, Cmax, AUC, urinary excretion, faecal excretion) of 5ASA, its major metabolite N-Acetyl-5ASA, total 5ASA, and the parent pro-drug compounds was extracted. : The summary results for urinary excretion of total 5ASA over 24-96 h in all subjects (either mean or median) were: sulfasalazine mean 11-33% or median 22%; olsalazine mean 14-31% or median 16-27%; balsalazide mean 12-35% or median 20%; Asacol mean 10-35% or median 18-40%; Pentasa mean 15-53% or median 23-34%; Salofalk, Mesasal and Claversal mean 27-56% or median 31-44%.",Systematic review: the pharmacokinetic profiles of oral mesalazine formulations and mesalazine pro-drugs used in the management of ulcerative colitis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12492730/),%,14-31,228620,DB01250,Olsalazine
,12492730,urinary excretion,": Pharmacokinetic data (Tmax, Cmax, AUC, urinary excretion, faecal excretion) of 5ASA, its major metabolite N-Acetyl-5ASA, total 5ASA, and the parent pro-drug compounds was extracted. : The summary results for urinary excretion of total 5ASA over 24-96 h in all subjects (either mean or median) were: sulfasalazine mean 11-33% or median 22%; olsalazine mean 14-31% or median 16-27%; balsalazide mean 12-35% or median 20%; Asacol mean 10-35% or median 18-40%; Pentasa mean 15-53% or median 23-34%; Salofalk, Mesasal and Claversal mean 27-56% or median 31-44%.",Systematic review: the pharmacokinetic profiles of oral mesalazine formulations and mesalazine pro-drugs used in the management of ulcerative colitis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12492730/),%,16-27,228621,DB01250,Olsalazine
,12492730,urinary excretion,": Pharmacokinetic data (Tmax, Cmax, AUC, urinary excretion, faecal excretion) of 5ASA, its major metabolite N-Acetyl-5ASA, total 5ASA, and the parent pro-drug compounds was extracted. : The summary results for urinary excretion of total 5ASA over 24-96 h in all subjects (either mean or median) were: sulfasalazine mean 11-33% or median 22%; olsalazine mean 14-31% or median 16-27%; balsalazide mean 12-35% or median 20%; Asacol mean 10-35% or median 18-40%; Pentasa mean 15-53% or median 23-34%; Salofalk, Mesasal and Claversal mean 27-56% or median 31-44%.",Systematic review: the pharmacokinetic profiles of oral mesalazine formulations and mesalazine pro-drugs used in the management of ulcerative colitis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12492730/),%,12-35,228622,DB01250,Olsalazine
,12492730,urinary excretion,": Pharmacokinetic data (Tmax, Cmax, AUC, urinary excretion, faecal excretion) of 5ASA, its major metabolite N-Acetyl-5ASA, total 5ASA, and the parent pro-drug compounds was extracted. : The summary results for urinary excretion of total 5ASA over 24-96 h in all subjects (either mean or median) were: sulfasalazine mean 11-33% or median 22%; olsalazine mean 14-31% or median 16-27%; balsalazide mean 12-35% or median 20%; Asacol mean 10-35% or median 18-40%; Pentasa mean 15-53% or median 23-34%; Salofalk, Mesasal and Claversal mean 27-56% or median 31-44%.",Systematic review: the pharmacokinetic profiles of oral mesalazine formulations and mesalazine pro-drugs used in the management of ulcerative colitis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12492730/),%,20,228623,DB01250,Olsalazine
