Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3792438,peak plasma oxaprozin concentration,"No significant differences existed among the four treatment conditions in peak plasma oxaprozin concentration (86 micrograms/ml), volume of distribution (0.23 l/kg), time of peak concentration (3.7 h after dosage), or elimination half-life (54 h).","Interaction of oxaprozin with acetaminophen, cimetidine, and ranitidine. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3792438/),[μg] / [ml],86,1264,DB00991,Oxaprozin
,3792438,volume of distribution,"No significant differences existed among the four treatment conditions in peak plasma oxaprozin concentration (86 micrograms/ml), volume of distribution (0.23 l/kg), time of peak concentration (3.7 h after dosage), or elimination half-life (54 h).","Interaction of oxaprozin with acetaminophen, cimetidine, and ranitidine. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3792438/),[l] / [kg],0.23,1265,DB00991,Oxaprozin
,3792438,time of peak concentration,"No significant differences existed among the four treatment conditions in peak plasma oxaprozin concentration (86 micrograms/ml), volume of distribution (0.23 l/kg), time of peak concentration (3.7 h after dosage), or elimination half-life (54 h).","Interaction of oxaprozin with acetaminophen, cimetidine, and ranitidine. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3792438/),h,3.7,1266,DB00991,Oxaprozin
,3792438,elimination half-life,"No significant differences existed among the four treatment conditions in peak plasma oxaprozin concentration (86 micrograms/ml), volume of distribution (0.23 l/kg), time of peak concentration (3.7 h after dosage), or elimination half-life (54 h).","Interaction of oxaprozin with acetaminophen, cimetidine, and ranitidine. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3792438/),h,54,1267,DB00991,Oxaprozin
,3792438,oral clearance,"Oxaprozin oral clearance was significantly lower (by 20%) during both the cimetidine and ranitidine trials versus control (0.047 vs 0.047 vs 0.059 ml/min/kg), but clearance during acetaminophen was not significantly different from control.","Interaction of oxaprozin with acetaminophen, cimetidine, and ranitidine. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3792438/),[ml] / [kg·min],0.047,1268,DB00991,Oxaprozin
,3792438,oral clearance,"Oxaprozin oral clearance was significantly lower (by 20%) during both the cimetidine and ranitidine trials versus control (0.047 vs 0.047 vs 0.059 ml/min/kg), but clearance during acetaminophen was not significantly different from control.","Interaction of oxaprozin with acetaminophen, cimetidine, and ranitidine. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3792438/),[ml] / [kg·min],0.059,1269,DB00991,Oxaprozin
exceeded,7357792,Recovery of,"Recovery of radioactivity in excreta, mostly in urine, exceeded 90%.",Metabolism and kinetics of oxaprozin in normal subjects. ,Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7357792/),%,90,18750,DB00991,Oxaprozin
,7357792,clearance (Clp),"The slow clearance (Clp), 0.08 to 0.12 1/hr, was almost entirely due to biotransformation and the plasma half-lifes, which ranged from 49 to 69 hr, reflected the small Clp.",Metabolism and kinetics of oxaprozin in normal subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7357792/),[1] / [h],0.08 to 0.12,18751,DB00991,Oxaprozin
,7357792,plasma half-lifes,"The slow clearance (Clp), 0.08 to 0.12 1/hr, was almost entirely due to biotransformation and the plasma half-lifes, which ranged from 49 to 69 hr, reflected the small Clp.",Metabolism and kinetics of oxaprozin in normal subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7357792/),h,49 to 69,18752,DB00991,Oxaprozin
,7357792,volume of distribution (VD beta,The small volume of distribution (VD beta = 8 to 9 1) indicates limited extravascular distribution.,Metabolism and kinetics of oxaprozin in normal subjects. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7357792/),1,8 to 9,18753,DB00991,Oxaprozin
,9115051,elimination half-lives (t 1/2,"The nonsteroidal antiinflammatory drugs (NSAIDs) oxaprozin and piroxicam have long elimination half-lives (t 1/2 approximately 55 hours), permitting once-daily dose regimens.","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),h,55,55465,DB00991,Oxaprozin
,9115051,t1/2,"Mean single-dose kinetic parameters of oxaprozin versus piroxicam did not differ more than +/-14% (t1/2, 53.0 versus 57.4 hours; apparent oral clearance adjusted for 70-kg body weight [Clpo], 0.139 versus 0.121 L/hr; apparent volume of distribution adjusted for 70-kg body weight [Vd/F]; 10.2 L versus 9.13 L).","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),h,53.0,55466,DB00991,Oxaprozin
,9115051,t1/2,"Mean single-dose kinetic parameters of oxaprozin versus piroxicam did not differ more than +/-14% (t1/2, 53.0 versus 57.4 hours; apparent oral clearance adjusted for 70-kg body weight [Clpo], 0.139 versus 0.121 L/hr; apparent volume of distribution adjusted for 70-kg body weight [Vd/F]; 10.2 L versus 9.13 L).","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),h,57.4,55467,DB00991,Oxaprozin
,9115051,apparent oral clearance,"Mean single-dose kinetic parameters of oxaprozin versus piroxicam did not differ more than +/-14% (t1/2, 53.0 versus 57.4 hours; apparent oral clearance adjusted for 70-kg body weight [Clpo], 0.139 versus 0.121 L/hr; apparent volume of distribution adjusted for 70-kg body weight [Vd/F]; 10.2 L versus 9.13 L).","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),[l] / [h],0.139,55468,DB00991,Oxaprozin
,9115051,apparent oral clearance,"Mean single-dose kinetic parameters of oxaprozin versus piroxicam did not differ more than +/-14% (t1/2, 53.0 versus 57.4 hours; apparent oral clearance adjusted for 70-kg body weight [Clpo], 0.139 versus 0.121 L/hr; apparent volume of distribution adjusted for 70-kg body weight [Vd/F]; 10.2 L versus 9.13 L).","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),[l] / [h],0.121,55469,DB00991,Oxaprozin
,9115051,apparent volume of distribution,"Mean single-dose kinetic parameters of oxaprozin versus piroxicam did not differ more than +/-14% (t1/2, 53.0 versus 57.4 hours; apparent oral clearance adjusted for 70-kg body weight [Clpo], 0.139 versus 0.121 L/hr; apparent volume of distribution adjusted for 70-kg body weight [Vd/F]; 10.2 L versus 9.13 L).","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),l,10.2,55470,DB00991,Oxaprozin
,9115051,apparent volume of distribution,"Mean single-dose kinetic parameters of oxaprozin versus piroxicam did not differ more than +/-14% (t1/2, 53.0 versus 57.4 hours; apparent oral clearance adjusted for 70-kg body weight [Clpo], 0.139 versus 0.121 L/hr; apparent volume of distribution adjusted for 70-kg body weight [Vd/F]; 10.2 L versus 9.13 L).","Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),l,9.13,55471,DB00991,Oxaprozin
,9115051,Post-steady-state apparent t 1/2,Post-steady-state apparent t 1/2 of the total and unbound drugs of approximately 62 hours were similarly prolonged with piroxicam but differed substantially with oxaprozin (50.6 hours [total drug] versus 23.8 hours [unbound drug]).,"Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),h,62,55472,DB00991,Oxaprozin
,9115051,Post-steady-state apparent t 1/2,Post-steady-state apparent t 1/2 of the total and unbound drugs of approximately 62 hours were similarly prolonged with piroxicam but differed substantially with oxaprozin (50.6 hours [total drug] versus 23.8 hours [unbound drug]).,"Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),h,50.6,55473,DB00991,Oxaprozin
,9115051,Post-steady-state apparent t 1/2,Post-steady-state apparent t 1/2 of the total and unbound drugs of approximately 62 hours were similarly prolonged with piroxicam but differed substantially with oxaprozin (50.6 hours [total drug] versus 23.8 hours [unbound drug]).,"Oxaprozin and piroxicam, nonsteroidal antiinflammatory drugs with long half-lives: effect of protein-binding differences on steady-state pharmacokinetics. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9115051/),h,23.8,55474,DB00991,Oxaprozin
