Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7550984,detection limit,The assay allowed the simultaneous determination of all analytes in 1 ml of urine and the detection limit was 2 ng/ml with a signal-to-noise ratio of 3.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),[ng] / [ml],2,6147,DB00842,Oxazepam
,7550984,signal-to-noise ratio,The assay allowed the simultaneous determination of all analytes in 1 ml of urine and the detection limit was 2 ng/ml with a signal-to-noise ratio of 3.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),,3,6148,DB00842,Oxazepam
>,7550984,Recoveries,Recoveries of the analytes and the internal standard (prazepam) were > 82%.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,82,6149,DB00842,Oxazepam
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,3.9,6150,DB00842,Oxazepam
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,6.6,6151,DB00842,Oxazepam
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,2.8,6152,DB00842,Oxazepam
,2737234,Total oxazepam clearance,Total oxazepam clearance was 1.04 ml.min-1.kg-1 and it decreased 0.88-fold after the diet.,Influence of a very low calorie diet on the clearance of oxazepam and antipyrine in man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2737234/),[ml] / [kg·min],1.04,9944,DB00842,Oxazepam
,2737234,elimination half-life,"The elimination half-life increased to 1.22-times the control value, 7.9 h.",Influence of a very low calorie diet on the clearance of oxazepam and antipyrine in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2737234/),h,7.9,9945,DB00842,Oxazepam
,2737234,clearance,"Antipyrine clearance, estimated by the one-sample technique, was 52.4 and 51.8 ml.",Influence of a very low calorie diet on the clearance of oxazepam and antipyrine in man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2737234/),ml,52.4,9946,DB00842,Oxazepam
,2737234,clearance,"Antipyrine clearance, estimated by the one-sample technique, was 52.4 and 51.8 ml.",Influence of a very low calorie diet on the clearance of oxazepam and antipyrine in man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2737234/),ml,51.8,9947,DB00842,Oxazepam
,6127197,time to peak,Pharmacokinetic studies of the hard capsule formulation indicate that the mean time to peak is 2.99 hours and the mean elimination half-life is 14.7 hours.,"Temazepam (Restoril, Sandoz Pharmaceuticals). ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6127197/),h,2.99,10627,DB00842,Oxazepam
,6127197,elimination half-life,Pharmacokinetic studies of the hard capsule formulation indicate that the mean time to peak is 2.99 hours and the mean elimination half-life is 14.7 hours.,"Temazepam (Restoril, Sandoz Pharmaceuticals). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6127197/),h,14.7,10628,DB00842,Oxazepam
,3930095,limit of detection,The limit of detection in serum is about 10 micrograms/L for each drug.,"Liquid-chromatographic assay of diazepam and its major metabolites in serum, and application to pharmacokinetic study of high doses of diazepam in schizophrenics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3930095/),[μg] / [l],10,15853,DB00842,Oxazepam
,3930095,Analytical recovery,"Analytical recovery of each drug added to the serum varied from 91 to 102% for oxazepam and temazepam, from 82 to 99% for nordiazepam and diazepam.","Liquid-chromatographic assay of diazepam and its major metabolites in serum, and application to pharmacokinetic study of high doses of diazepam in schizophrenics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3930095/),%,91 to 102,15854,DB00842,Oxazepam
,3930095,Analytical recovery,"Analytical recovery of each drug added to the serum varied from 91 to 102% for oxazepam and temazepam, from 82 to 99% for nordiazepam and diazepam.","Liquid-chromatographic assay of diazepam and its major metabolites in serum, and application to pharmacokinetic study of high doses of diazepam in schizophrenics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3930095/),%,82 to 99,15855,DB00842,Oxazepam
,6138086,t2,Midazolam shortened (P = 0.025) the sleep latency to first stage 2 (t2 = 29 min) compared with placebo (t2 = 58.7) min and oxazepam (t2 = 55.4 min) in the group of patients; in the group of volunteers t2 was shortened (P = 0.05) only by midazolam (t2 = 17.2 min) compared with placebo (t2 = 24.6 min).,Effect of midazolam on sleep. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6138086/),min,29,19159,DB00842,Oxazepam
,6138086,t2,Midazolam shortened (P = 0.025) the sleep latency to first stage 2 (t2 = 29 min) compared with placebo (t2 = 58.7) min and oxazepam (t2 = 55.4 min) in the group of patients; in the group of volunteers t2 was shortened (P = 0.05) only by midazolam (t2 = 17.2 min) compared with placebo (t2 = 24.6 min).,Effect of midazolam on sleep. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6138086/),min,58.7,19160,DB00842,Oxazepam
,6138086,t2,Midazolam shortened (P = 0.025) the sleep latency to first stage 2 (t2 = 29 min) compared with placebo (t2 = 58.7) min and oxazepam (t2 = 55.4 min) in the group of patients; in the group of volunteers t2 was shortened (P = 0.05) only by midazolam (t2 = 17.2 min) compared with placebo (t2 = 24.6 min).,Effect of midazolam on sleep. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6138086/),min,55.4,19161,DB00842,Oxazepam
,6138086,t2,Midazolam shortened (P = 0.025) the sleep latency to first stage 2 (t2 = 29 min) compared with placebo (t2 = 58.7) min and oxazepam (t2 = 55.4 min) in the group of patients; in the group of volunteers t2 was shortened (P = 0.05) only by midazolam (t2 = 17.2 min) compared with placebo (t2 = 24.6 min).,Effect of midazolam on sleep. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6138086/),min,17.2,19162,DB00842,Oxazepam
,6138086,t2,Midazolam shortened (P = 0.025) the sleep latency to first stage 2 (t2 = 29 min) compared with placebo (t2 = 58.7) min and oxazepam (t2 = 55.4 min) in the group of patients; in the group of volunteers t2 was shortened (P = 0.05) only by midazolam (t2 = 17.2 min) compared with placebo (t2 = 24.6 min).,Effect of midazolam on sleep. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6138086/),min,24.6,19163,DB00842,Oxazepam
,282778,half-life,The half-life of oxazepam in the newborn averaged 22 hours as compared to 6.5 hours in the mothers.,Pharmacokinetics of oxazepam given during labour. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/282778/),h,22,20465,DB00842,Oxazepam
,282778,half-life,The half-life of oxazepam in the newborn averaged 22 hours as compared to 6.5 hours in the mothers.,Pharmacokinetics of oxazepam given during labour. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/282778/),h,6.5,20466,DB00842,Oxazepam
,10499483,clearance,"The antipyrine clearance and ICG clearance were significantly decreased in the patients compared with the controls (mean, 27.2 ml/min; 95% confidence interval (CI), 19.4-35; versus 46.2 ml/min; 34.7-58.7, and 501 ml/min; 4014601, versus 771 mU/min; 677-865 (P < 0.05), respectively).","Antipyrine, oxazepam, and indocyanine green clearance in patients with chronic pancreatitis and healthy subjects. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10499483/),[ml] / [min],27.2,24669,DB00842,Oxazepam
,10499483,ICG,"The antipyrine clearance and ICG clearance were significantly decreased in the patients compared with the controls (mean, 27.2 ml/min; 95% confidence interval (CI), 19.4-35; versus 46.2 ml/min; 34.7-58.7, and 501 ml/min; 4014601, versus 771 mU/min; 677-865 (P < 0.05), respectively).","Antipyrine, oxazepam, and indocyanine green clearance in patients with chronic pancreatitis and healthy subjects. ",CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10499483/),[ml] / [min],27.2,24670,DB00842,Oxazepam
,10499483,ICG,"The antipyrine clearance and ICG clearance were significantly decreased in the patients compared with the controls (mean, 27.2 ml/min; 95% confidence interval (CI), 19.4-35; versus 46.2 ml/min; 34.7-58.7, and 501 ml/min; 4014601, versus 771 mU/min; 677-865 (P < 0.05), respectively).","Antipyrine, oxazepam, and indocyanine green clearance in patients with chronic pancreatitis and healthy subjects. ",CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10499483/),[ml] / [min],46.2,24671,DB00842,Oxazepam
