Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10191468,half life,The half life of Atosiban was 18 min and the total body clearance was 3301 ml/min.,"Atosiban, an oxytocin receptor blocking agent: pharmacokinetics and inhibition of milk ejection in dairy cows. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10191468/),min,18,9213,DB00107,Oxytocin
,10191468,total body clearance,The half life of Atosiban was 18 min and the total body clearance was 3301 ml/min.,"Atosiban, an oxytocin receptor blocking agent: pharmacokinetics and inhibition of milk ejection in dairy cows. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10191468/),[ml] / [min],3301,9214,DB00107,Oxytocin
,30472591,m/z,The analytes were monitored using selected reaction monitoring (SRM) mode with transitions at m/z 420.1→248.1 for cligosiban and m/z 304.1→161.1 for IS.,"Pharmacokinetics, bioavailability and metabolism of cligosiban, an antagonist of oxytocin receptor, in rat by liquid chromatography hyphenated with electrospray ionization tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30472591/),,420.1,12305,DB00107,Oxytocin
,30472591,m/z,The analytes were monitored using selected reaction monitoring (SRM) mode with transitions at m/z 420.1→248.1 for cligosiban and m/z 304.1→161.1 for IS.,"Pharmacokinetics, bioavailability and metabolism of cligosiban, an antagonist of oxytocin receptor, in rat by liquid chromatography hyphenated with electrospray ionization tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30472591/),,248.1,12306,DB00107,Oxytocin
,30472591,m/z,The analytes were monitored using selected reaction monitoring (SRM) mode with transitions at m/z 420.1→248.1 for cligosiban and m/z 304.1→161.1 for IS.,"Pharmacokinetics, bioavailability and metabolism of cligosiban, an antagonist of oxytocin receptor, in rat by liquid chromatography hyphenated with electrospray ionization tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30472591/),,304.1,12307,DB00107,Oxytocin
,30472591,m/z,The analytes were monitored using selected reaction monitoring (SRM) mode with transitions at m/z 420.1→248.1 for cligosiban and m/z 304.1→161.1 for IS.,"Pharmacokinetics, bioavailability and metabolism of cligosiban, an antagonist of oxytocin receptor, in rat by liquid chromatography hyphenated with electrospray ionization tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30472591/),,161.1,12308,DB00107,Oxytocin
,30472591,oral bioavailability,"According to the current results, the oral bioavailability of cligosiban was 63.82%.","Pharmacokinetics, bioavailability and metabolism of cligosiban, an antagonist of oxytocin receptor, in rat by liquid chromatography hyphenated with electrospray ionization tandem mass spectrometry. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30472591/),%,63.82,12309,DB00107,Oxytocin
,20027670,pK(i),"This led to the 2', 4'-difluorophenyl dimethylamide 40, a highly potent (pK(i) =9.2) and selective OT antagonist (>1,000-fold selectivity vs. the human vasopressin receptors V1a, V2, and V1b) with good oral bioavailability (>50%) in the rat and dog.","The design of orally bioavailable 2, 5-diketopiperazine oxytocin antagonists: from concept to clinical candidate for premature labor. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20027670/),,9.2,12685,DB00107,Oxytocin
>,20027670,oral bioavailability,"This led to the 2', 4'-difluorophenyl dimethylamide 40, a highly potent (pK(i) =9.2) and selective OT antagonist (>1,000-fold selectivity vs. the human vasopressin receptors V1a, V2, and V1b) with good oral bioavailability (>50%) in the rat and dog.","The design of orally bioavailable 2, 5-diketopiperazine oxytocin antagonists: from concept to clinical candidate for premature labor. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20027670/),%,50,12686,DB00107,Oxytocin
,20027670,K(i),Retosiban has sub-nanomolar affinity (K(i) =0.65 nM) for the oxytocin receptor with >1400-fold selectivity over the closely related vasopressin receptors.,"The design of orally bioavailable 2, 5-diketopiperazine oxytocin antagonists: from concept to clinical candidate for premature labor. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20027670/),nM,0.65,12687,DB00107,Oxytocin
