Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
>,19561037,time,"In the 0.75-mg group, we observed a significantly longer time to treatment failure than in the 0.075-mg group (median time >120 versus 82.0 h, P = 0.038).",A phase II study of palonosetron combined with dexamethasone to prevent nausea and vomiting induced by highly emetogenic chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19561037/),h,120,8211,DB00377,Palonosetron
,19561037,time,"In the 0.75-mg group, we observed a significantly longer time to treatment failure than in the 0.075-mg group (median time >120 versus 82.0 h, P = 0.038).",A phase II study of palonosetron combined with dexamethasone to prevent nausea and vomiting induced by highly emetogenic chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19561037/),h,82.0,8212,DB00377,Palonosetron
,15102873,total body clearance,"Mean total body clearance, elimination half-life, and apparent volume of distribution ranged from 1.11 to 3.90 mL/min/kg, 33.7 to 54.1 hours, and 3.85 to 12.6 L/kg, respectively, in U.S. subjects and from 2.58 to 3.50 mL/min/kg, 30.8 to 36.8 hours, and 6.96 to 9.85 L/kg, respectively, in Japanese subjects.","Pharmacokinetic and safety evaluation of palonosetron, a 5-hydroxytryptamine-3 receptor antagonist, in U.S. and Japanese healthy subjects. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102873/),[ml] / [kg·min],1.11 to 3.90,13800,DB00377,Palonosetron
,15102873,elimination half-life,"Mean total body clearance, elimination half-life, and apparent volume of distribution ranged from 1.11 to 3.90 mL/min/kg, 33.7 to 54.1 hours, and 3.85 to 12.6 L/kg, respectively, in U.S. subjects and from 2.58 to 3.50 mL/min/kg, 30.8 to 36.8 hours, and 6.96 to 9.85 L/kg, respectively, in Japanese subjects.","Pharmacokinetic and safety evaluation of palonosetron, a 5-hydroxytryptamine-3 receptor antagonist, in U.S. and Japanese healthy subjects. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102873/),[l] / [kg],3,13801,DB00377,Palonosetron
,15102873,apparent volume of distribution,"Mean total body clearance, elimination half-life, and apparent volume of distribution ranged from 1.11 to 3.90 mL/min/kg, 33.7 to 54.1 hours, and 3.85 to 12.6 L/kg, respectively, in U.S. subjects and from 2.58 to 3.50 mL/min/kg, 30.8 to 36.8 hours, and 6.96 to 9.85 L/kg, respectively, in Japanese subjects.","Pharmacokinetic and safety evaluation of palonosetron, a 5-hydroxytryptamine-3 receptor antagonist, in U.S. and Japanese healthy subjects. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102873/),[l] / [kg],3,13802,DB00377,Palonosetron
,15102873,half-life,"The plasma concentration profile of palonosetron, as represented by a half-life of approximately 40 hours, may provide a clinical advantage over other 5-HT(3) antagonists.","Pharmacokinetic and safety evaluation of palonosetron, a 5-hydroxytryptamine-3 receptor antagonist, in U.S. and Japanese healthy subjects. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15102873/),h,40,13803,DB00377,Palonosetron
,24590375,accumulation ratios,"The accumulation ratios for C max and AUClast after the second dose on day 3 were 1.42 and 1.37, respectively.",Safety and pharmacokinetic evaluation of repeated intravenous administration of palonosetron 0.75 mg in patients receiving highly or moderately emetogenic chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24590375/),,1.42,31308,DB00377,Palonosetron
,24590375,accumulation ratios,"The accumulation ratios for C max and AUClast after the second dose on day 3 were 1.42 and 1.37, respectively.",Safety and pharmacokinetic evaluation of repeated intravenous administration of palonosetron 0.75 mg in patients receiving highly or moderately emetogenic chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24590375/),,1.37,31309,DB00377,Palonosetron
,24590375,complete response (CR) rate,"Almost all of the patients had no nausea or vomiting in the acute phase (complete response (CR) rate, 96.2% [25/26]; CP rate, 92.3% [24/26]).",Safety and pharmacokinetic evaluation of repeated intravenous administration of palonosetron 0.75 mg in patients receiving highly or moderately emetogenic chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24590375/),%,96,31310,DB00377,Palonosetron
,27186139,maximum granisetron plasma concentrations,"Mean maximum granisetron plasma concentrations were 10.8 and 17.8 ng/mL, and mean half-lives were 30.8 and 35.9 hours after SC administration of APF530 250 and 500 mg, respectively.","Biochronomer™ technology and the development of APF530, a sustained release formulation of granisetron. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27186139/),[ng] / [ml],10.8,35192,DB00377,Palonosetron
,27186139,maximum granisetron plasma concentrations,"Mean maximum granisetron plasma concentrations were 10.8 and 17.8 ng/mL, and mean half-lives were 30.8 and 35.9 hours after SC administration of APF530 250 and 500 mg, respectively.","Biochronomer™ technology and the development of APF530, a sustained release formulation of granisetron. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27186139/),[ng] / [ml],17.8,35193,DB00377,Palonosetron
,27186139,half-lives,"Mean maximum granisetron plasma concentrations were 10.8 and 17.8 ng/mL, and mean half-lives were 30.8 and 35.9 hours after SC administration of APF530 250 and 500 mg, respectively.","Biochronomer™ technology and the development of APF530, a sustained release formulation of granisetron. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27186139/),h,30.8,35194,DB00377,Palonosetron
,27186139,half-lives,"Mean maximum granisetron plasma concentrations were 10.8 and 17.8 ng/mL, and mean half-lives were 30.8 and 35.9 hours after SC administration of APF530 250 and 500 mg, respectively.","Biochronomer™ technology and the development of APF530, a sustained release formulation of granisetron. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27186139/),h,35.9,35195,DB00377,Palonosetron
,15831783,terminal phase elimination half-life,Mean terminal phase elimination half-life after day 3 dosing was 42.8 hours.,Evaluation of safety and pharmacokinetics of consecutive multiple-day dosing of palonosetron in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831783/),h,42.8,35655,DB00377,Palonosetron
,15831783,elimination half-life,"The 2.1-fold accumulation of palonosetron in plasma following 3 daily doses was predictable based on elimination half-life of approximately 40 hours, and the maximum plasma concentration remained below the maximum plasma concentration previously observed after a single, well-tolerated 0.75 mg intravenous bolus dose of palonosetron.",Evaluation of safety and pharmacokinetics of consecutive multiple-day dosing of palonosetron in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15831783/),h,40,35656,DB00377,Palonosetron
,33386423,maximum plasma concentration (Cmax),"Netupitant mean maximum plasma concentration (Cmax) [± standard deviation] of 698 ± 217 ng/mL was reached at 3-6 h, with a mean total exposure (AUC0-inf) of 22,000 ± 4410 h·ng/mL.","A phase 1 pharmacokinetic study of oral NEPA, the fixed combination of netupitant and palonosetron, in Chinese healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33386423/),[ng] / [ml],698,54957,DB00377,Palonosetron
,33386423,total exposure (AUC0-inf),"Netupitant mean maximum plasma concentration (Cmax) [± standard deviation] of 698 ± 217 ng/mL was reached at 3-6 h, with a mean total exposure (AUC0-inf) of 22,000 ± 4410 h·ng/mL.","A phase 1 pharmacokinetic study of oral NEPA, the fixed combination of netupitant and palonosetron, in Chinese healthy volunteers. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33386423/),[h·ng] / [ml],"22,000",54958,DB00377,Palonosetron
,33386423,Cmax,"For palonosetron, a mean Cmax of 1.8 ± 0.252 ng/mL was reached at 2-6 h postadministration, with a mean AUC0-inf of 81.0 ± 14.0 h·ng/mL.","A phase 1 pharmacokinetic study of oral NEPA, the fixed combination of netupitant and palonosetron, in Chinese healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33386423/),[ng] / [ml],1.8,54959,DB00377,Palonosetron
