Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,712635,apparent plasma elimination half-life,"The apparent plasma elimination half-life was 46 +/- 7 min (S.E.) at 29 degrees C as compared to 21 +/- 2 and 25 +/- 6 min at 34 and 39 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),min,46,4296,DB01337,Pancuronium
,712635,apparent plasma elimination half-life,"The apparent plasma elimination half-life was 46 +/- 7 min (S.E.) at 29 degrees C as compared to 21 +/- 2 and 25 +/- 6 min at 34 and 39 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),min,21,4297,DB01337,Pancuronium
,712635,apparent plasma elimination half-life,"The apparent plasma elimination half-life was 46 +/- 7 min (S.E.) at 29 degrees C as compared to 21 +/- 2 and 25 +/- 6 min at 34 and 39 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),min,25,4298,DB01337,Pancuronium
,712635,Total plasma clearance,"Total plasma clearance was 4.3 +/- 0.4 ml/kg/min at 29 degrees C and 10.7 +/- 0.9 and 10.9 +/- 1.5 ml/kg/min at 34 and 39 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),[ml] / [kg·min],4.3,4299,DB01337,Pancuronium
,712635,Total plasma clearance,"Total plasma clearance was 4.3 +/- 0.4 ml/kg/min at 29 degrees C and 10.7 +/- 0.9 and 10.9 +/- 1.5 ml/kg/min at 34 and 39 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),[ml] / [kg·min],10.7,4300,DB01337,Pancuronium
,712635,Total plasma clearance,"Total plasma clearance was 4.3 +/- 0.4 ml/kg/min at 29 degrees C and 10.7 +/- 0.9 and 10.9 +/- 1.5 ml/kg/min at 34 and 39 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),[ml] / [kg·min],10.9,4301,DB01337,Pancuronium
,712635,ED50,"The ED50 of pancuronium (plasma concentration required for a 50% depression of twitch tension) was 0.035 and 0.073 microgram/ml at 29 and 38 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),[μg] / [ml],0.035,4302,DB01337,Pancuronium
,712635,ED50,"The ED50 of pancuronium (plasma concentration required for a 50% depression of twitch tension) was 0.035 and 0.073 microgram/ml at 29 and 38 degrees C, respectively.",Hypothermia and the pharmacokinetics and pharmacodynamics of pancuronium in the cat. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/712635/),[μg] / [ml],0.073,4303,DB01337,Pancuronium
,8424303,delta CBF/delta PaCO2,The cerebrovascular reactivity to hypocapnia (delta CBF/delta PaCO2) was maintained throughout the experimental period and amounted to (95% confidence interval) 9.1 (7.1-11.1) ml x 100 g-1 x min-1 x kPa-1 within the PaCO2 range 3.3-6.3 kPa.,"Cerebral haemodynamic and electrocortical CO2 reactivity in pigs anaesthetized with fentanyl, nitrous oxide and pancuronium. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8424303/),[100·ml] / [g·kpa·min],9.1,11556,DB01337,Pancuronium
,6119998,ED50,The ED50 of neostigmine (dose which produced a 50% antagonism) when antagonizing Org NC 45 and pancuronium was 0.011 mg kg-1 and 0.010 mg kg-1 respectively.,Antagonism of org NC 45 (vecuronium) and pancuronium neuromuscular blockade by neostigmine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6119998/),[mg] / [kg],0.011,18027,DB01337,Pancuronium
,6119998,ED50,The ED50 of neostigmine (dose which produced a 50% antagonism) when antagonizing Org NC 45 and pancuronium was 0.011 mg kg-1 and 0.010 mg kg-1 respectively.,Antagonism of org NC 45 (vecuronium) and pancuronium neuromuscular blockade by neostigmine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6119998/),[mg] / [kg],0.010,18028,DB01337,Pancuronium
,6107104,distribution half-life,The pharmacokinetics could be described using a two-compartment open model with a distribution half-life of approximately 4 min and an elimination half-life of approximately 31 min.,Pharmacokinetics and pharmacodynamics of Org NC 45 in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6107104/),min,4,18299,DB01337,Pancuronium
,6107104,elimination half-life,The pharmacokinetics could be described using a two-compartment open model with a distribution half-life of approximately 4 min and an elimination half-life of approximately 31 min.,Pharmacokinetics and pharmacodynamics of Org NC 45 in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6107104/),min,31,18300,DB01337,Pancuronium
,6107104,steady-state plasma concentration,The mean steady-state plasma concentration producing a 50% block of the twitch response was 0.137 microgram ml-1 (range 0.118--0.176 microgram ml-1).,Pharmacokinetics and pharmacodynamics of Org NC 45 in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6107104/),[μg] / [ml],0.137,18301,DB01337,Pancuronium
