Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,34268908,AUC0-72h,"Hydroxychloroquine AUC0-72h and Cmax did not differ between groups without and with pantoprazole (arithmetic mean; AUC0-72h , 7649 ng/ml • h, and 8429 ng/ml • h, P = .50; Cmax , 448 ng/mL and 451.5 ng/mL, P = .96, respectively).",Effect of Pantoprazole on the Absorption of Hydroxychloroquinea A Randomized Drug-Drug Interaction Trial in Healthy Adults. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34268908/),[ng] / [h·ml],7649,4157,DB00213,Pantoprazole
,34268908,AUC0-72h,"Hydroxychloroquine AUC0-72h and Cmax did not differ between groups without and with pantoprazole (arithmetic mean; AUC0-72h , 7649 ng/ml • h, and 8429 ng/ml • h, P = .50; Cmax , 448 ng/mL and 451.5 ng/mL, P = .96, respectively).",Effect of Pantoprazole on the Absorption of Hydroxychloroquinea A Randomized Drug-Drug Interaction Trial in Healthy Adults. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34268908/),[ng] / [h·ml],8429,4158,DB00213,Pantoprazole
,34268908,Cmax,"Hydroxychloroquine AUC0-72h and Cmax did not differ between groups without and with pantoprazole (arithmetic mean; AUC0-72h , 7649 ng/ml • h, and 8429 ng/ml • h, P = .50; Cmax , 448 ng/mL and 451.5 ng/mL, P = .96, respectively).",Effect of Pantoprazole on the Absorption of Hydroxychloroquinea A Randomized Drug-Drug Interaction Trial in Healthy Adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34268908/),[ng] / [ml],448,4159,DB00213,Pantoprazole
,34268908,Cmax,"Hydroxychloroquine AUC0-72h and Cmax did not differ between groups without and with pantoprazole (arithmetic mean; AUC0-72h , 7649 ng/ml • h, and 8429 ng/ml • h, P = .50; Cmax , 448 ng/mL and 451.5 ng/mL, P = .96, respectively).",Effect of Pantoprazole on the Absorption of Hydroxychloroquinea A Randomized Drug-Drug Interaction Trial in Healthy Adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34268908/),[ng] / [ml],451.5,4160,DB00213,Pantoprazole
,32110830,concentration,"Patients with no PPI had no significant difference in plasma voriconazole concentration when compared with those with PPI (2.63 ± 2.13 μg/mL [95% confidence interval {CI} 1.57-3.69] vs 2.11 ± 1.73 μg/mL [95%CI 1.67-2.55], P > .05).",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],2.63,14376,DB00213,Pantoprazole
,32110830,concentration,"Patients with no PPI had no significant difference in plasma voriconazole concentration when compared with those with PPI (2.63 ± 2.13 μg/mL [95% confidence interval {CI} 1.57-3.69] vs 2.11 ± 1.73 μg/mL [95%CI 1.67-2.55], P > .05).",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],2.11,14377,DB00213,Pantoprazole
,32110830,plasma concentration,"However, voriconazole plasma concentration was significantly lower in patients treated with pantoprazole vs those treated with omeprazole (1.44 ± 1.22 μg/mL [95%CI 0.94-1.94) vs 2.67 ± 1.88 μg/mL [95%CI 2.02-3.32], P = .013) suggesting a greater CYP2C19 enzyme inhibitory effect of omeprazole.",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],1.44,14378,DB00213,Pantoprazole
,32110830,plasma concentration,"However, voriconazole plasma concentration was significantly lower in patients treated with pantoprazole vs those treated with omeprazole (1.44 ± 1.22 μg/mL [95%CI 0.94-1.94) vs 2.67 ± 1.88 μg/mL [95%CI 2.02-3.32], P = .013) suggesting a greater CYP2C19 enzyme inhibitory effect of omeprazole.",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],2.67,14379,DB00213,Pantoprazole
,9799054,AUC,"Geometric means of AUC (extent characteristic) and Cmax/AUC (rate characteristic) of carbamazepine were 292 and 287 mgxh/l, and 0.0150 and 0.0144 l/h (reference and test), respectively.",Pantoprazole does not interact with the pharmacokinetics of carbamazepine. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9799054/),[h·mg] / [l],292,20854,DB00213,Pantoprazole
,9799054,Cmax/AUC,"Geometric means of AUC (extent characteristic) and Cmax/AUC (rate characteristic) of carbamazepine were 292 and 287 mgxh/l, and 0.0150 and 0.0144 l/h (reference and test), respectively.",Pantoprazole does not interact with the pharmacokinetics of carbamazepine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9799054/),[h·mg] / [l],287,20855,DB00213,Pantoprazole
,9799054,Cmax/AUC,"Geometric means of AUC (extent characteristic) and Cmax/AUC (rate characteristic) of carbamazepine were 292 and 287 mgxh/l, and 0.0150 and 0.0144 l/h (reference and test), respectively.",Pantoprazole does not interact with the pharmacokinetics of carbamazepine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9799054/),[l] / [h],0.0150,20856,DB00213,Pantoprazole
,9799054,Cmax/AUC,"Geometric means of AUC (extent characteristic) and Cmax/AUC (rate characteristic) of carbamazepine were 292 and 287 mgxh/l, and 0.0150 and 0.0144 l/h (reference and test), respectively.",Pantoprazole does not interact with the pharmacokinetics of carbamazepine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9799054/),[l] / [h],0.0144,20857,DB00213,Pantoprazole
,9799054,rate characteristic,"Geometric means of AUC (extent characteristic) and Cmax/AUC (rate characteristic) of carbamazepine were 292 and 287 mgxh/l, and 0.0150 and 0.0144 l/h (reference and test), respectively.",Pantoprazole does not interact with the pharmacokinetics of carbamazepine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9799054/),[l] / [h],0.0144,20858,DB00213,Pantoprazole
,27611887,eradication rate,"Among patients appearing for follow-up examination (n = 105), the eradication rate for H. pylori was 82.8% (n = 87).",Effects of Genetic Polymorphisms of Cytochrome P450 Enzymes and MDR1 Transporter on Pantoprazole Metabolism and Helicobacter pylori Eradication. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27611887/),%,82.8,30713,DB00213,Pantoprazole
,27611887,plasma concentrations,"The median pantoprazole plasma concentrations in poor metabolizers (PM), rapid metabolizers (RM) and ultrarapid metabolizers (URM) were 2.07, 1.69 and 1.28 μg/ml, respectively (p = 0.04).",Effects of Genetic Polymorphisms of Cytochrome P450 Enzymes and MDR1 Transporter on Pantoprazole Metabolism and Helicobacter pylori Eradication. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27611887/),[μg] / [ml],2.07,30714,DB00213,Pantoprazole
,27611887,plasma concentrations,"The median pantoprazole plasma concentrations in poor metabolizers (PM), rapid metabolizers (RM) and ultrarapid metabolizers (URM) were 2.07, 1.69 and 1.28 μg/ml, respectively (p = 0.04).",Effects of Genetic Polymorphisms of Cytochrome P450 Enzymes and MDR1 Transporter on Pantoprazole Metabolism and Helicobacter pylori Eradication. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27611887/),[μg] / [ml],1.69,30715,DB00213,Pantoprazole
,27611887,plasma concentrations,"The median pantoprazole plasma concentrations in poor metabolizers (PM), rapid metabolizers (RM) and ultrarapid metabolizers (URM) were 2.07, 1.69 and 1.28 μg/ml, respectively (p = 0.04).",Effects of Genetic Polymorphisms of Cytochrome P450 Enzymes and MDR1 Transporter on Pantoprazole Metabolism and Helicobacter pylori Eradication. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27611887/),[μg] / [ml],1.28,30716,DB00213,Pantoprazole
,28878983,limit of detection,"Under optimum conditions, the linear response of the peak with concentration of the cited drug was in the range of 6.6-360 × 10-8 M with limit of detection of 2.2 × 10-8 M.",Development of a novel and cost-effective redox sensor for voltammetric determination of pantoprazole sodium during pharmacokinetic studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28878983/),M,2.2 × 10-8,32520,DB00213,Pantoprazole
,21935988,AUC( 0-∞) ratio,"The AUC( 0-∞) ratio of (+)-/(-)-[(13) C]-pantoprazole was 3.45, 0.77, and 0.67 in PM, IM, and EM genotypes, respectively.",Stereoselective pharmacokinetics of stable isotope (+/-)-[13C]-pantoprazole: Implications for a rapid screening phenotype test of CYP2C19 activity. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21935988/),,3.45,34844,DB00213,Pantoprazole
,21935988,AUC( 0-∞) ratio,"The AUC( 0-∞) ratio of (+)-/(-)-[(13) C]-pantoprazole was 3.45, 0.77, and 0.67 in PM, IM, and EM genotypes, respectively.",Stereoselective pharmacokinetics of stable isotope (+/-)-[13C]-pantoprazole: Implications for a rapid screening phenotype test of CYP2C19 activity. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21935988/),,0.77,34845,DB00213,Pantoprazole
,21935988,AUC( 0-∞) ratio,"The AUC( 0-∞) ratio of (+)-/(-)-[(13) C]-pantoprazole was 3.45, 0.77, and 0.67 in PM, IM, and EM genotypes, respectively.",Stereoselective pharmacokinetics of stable isotope (+/-)-[13C]-pantoprazole: Implications for a rapid screening phenotype test of CYP2C19 activity. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21935988/),,0.67,34846,DB00213,Pantoprazole
,34262326,area under the curve (AUC; 0-T,"The area under the curve (AUC; 0-T, 300.342 ± 35.832 mg/L* h; AUC 0-∞, 320.462 ± 40.213 mg/L* h), the plasma peak concentration (30.622 ± 9.917 mg/L*), and the peak time and half-life (7.954 ± 1.121 h) in the clopidogrel and the TCM groups were higher than those in the clopidogrel and pantoprazole groups.",Study on the Effect of Antiplatelet and Gastric Mucosal Protection of Traditional Chinese Medicine Invigorating Qi and Hemostasis. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262326/),[mg] / [h·l],300.342,35155,DB00213,Pantoprazole
,34262326,AUC 0-∞,"The area under the curve (AUC; 0-T, 300.342 ± 35.832 mg/L* h; AUC 0-∞, 320.462 ± 40.213 mg/L* h), the plasma peak concentration (30.622 ± 9.917 mg/L*), and the peak time and half-life (7.954 ± 1.121 h) in the clopidogrel and the TCM groups were higher than those in the clopidogrel and pantoprazole groups.",Study on the Effect of Antiplatelet and Gastric Mucosal Protection of Traditional Chinese Medicine Invigorating Qi and Hemostasis. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262326/),[mg] / [h·l],320.462,35156,DB00213,Pantoprazole
