Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
not exceed,6295106,maximum inhibition,LA 2851 and theophylline did not inhibit all the components of the inflammatory process since maximum inhibition did not exceed 60% up to 200 mg/kg and 100 mg/kg respectively.,Anti-inflammatory effect of LA 2851 and reference drugs on some models of inflammation. Investigation of the mechanism of action. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6295106/),%,60,942,DB01113,Papaverine
,7295412,bioavailability,Only one of the three chronoid preparations had appropriately delayed bioavailability 89% in comparison to normal acting formulation.,Papaverine bioavailability in delayed absorption formulations. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7295412/),%,89,6937,DB01113,Papaverine
,1513193,absolute bioavailability,"The absolute bioavailability of papaverine HCl was determined to be 102.4%, 9.1%, and 12.4%, respectively, following intracorporeal injection, gel PT and gel PTL administration.","Pharmacokinetics and bioavailability of papaverine HCl after intravenous, intracorporeal and penis topical administration in beagle dogs. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1513193/),%,102.4,7663,DB01113,Papaverine
,1513193,absolute bioavailability,"The absolute bioavailability of papaverine HCl was determined to be 102.4%, 9.1%, and 12.4%, respectively, following intracorporeal injection, gel PT and gel PTL administration.","Pharmacokinetics and bioavailability of papaverine HCl after intravenous, intracorporeal and penis topical administration in beagle dogs. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1513193/),%,9.1,7664,DB01113,Papaverine
,1513193,absolute bioavailability,"The absolute bioavailability of papaverine HCl was determined to be 102.4%, 9.1%, and 12.4%, respectively, following intracorporeal injection, gel PT and gel PTL administration.","Pharmacokinetics and bioavailability of papaverine HCl after intravenous, intracorporeal and penis topical administration in beagle dogs. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1513193/),%,12.4,7665,DB01113,Papaverine
,11922744,urine output,In the control group the mean urine output was 0.015 ml/min/kg and the mean creatinine clearance was 0.95 ml/min/kg.,Periarterial papaverine application improves intraoperative kidney function during laparoscopic donor nephrectomy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11922744/),[ml] / [kg·min],0.015,13785,DB01113,Papaverine
,11922744,urine output,In pigs treated with papaverine the mean urine output was 0.052 ml/min/kg and the mean creatinine clearance was 2.22 ml/min/kg.,Periarterial papaverine application improves intraoperative kidney function during laparoscopic donor nephrectomy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11922744/),[ml] / [kg·min],0.052,13786,DB01113,Papaverine
,26642661,flow rate,"Chromatographic separation of DIC, PAP and the IS was achieved on a Zorbax SB C18 5-µm column (150 mm x 4.6 mm) using methanol-water (55:45, v/v) as mobile phase at a flow rate of 0.8 mL/min.",PHARMACOKINETICS OF DICLOFENAC SODIUM AND PAPAVERINE HYDROCHLORIDE AFTER ORAL ADMINISTRATION OF TABLETS TO RABBITS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26642661/),[ml] / [min],0.8,17050,DB01113,Papaverine
,8120119,signal-to-noise ratio,The lowest limit of detection (signal-to-noise ratio 3:1) was 6 ng/ml.,High-performance liquid chromatographic method for the determination of drotaverine in human plasma and urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8120119/),[ng] / [ml],3:1,18241,DB01113,Papaverine
,8120119,signal-to-noise ratio,The lowest limit of detection (signal-to-noise ratio 3:1) was 6 ng/ml.,High-performance liquid chromatographic method for the determination of drotaverine in human plasma and urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8120119/),[ng] / [ml],6,18242,DB01113,Papaverine
