Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27077673,Cthrough,The ATV mean Cthrough fell from 763.8 ng/mL (CI 95%: 230.3-1297.3) without BOC to 507.7 ng/mL (CI 95%: 164-851.4) with BOC.,"Addition of boceprevir to PEG-interferon/ribavirin in HIV-HCV-Genotype-1-coinfected, treatment-experienced patients: efficacy, safety, and pharmacokinetics data from the ANRS HC27 study. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27077673/),[ng] / [ml],763.8,3071,DB00008,Peginterferon alfa-2a
,27077673,Cthrough,The ATV mean Cthrough fell from 763.8 ng/mL (CI 95%: 230.3-1297.3) without BOC to 507.7 ng/mL (CI 95%: 164-851.4) with BOC.,"Addition of boceprevir to PEG-interferon/ribavirin in HIV-HCV-Genotype-1-coinfected, treatment-experienced patients: efficacy, safety, and pharmacokinetics data from the ANRS HC27 study. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27077673/),[ng] / [ml],507.7,3072,DB00008,Peginterferon alfa-2a
,12481400,Terminal elimination half lives,"Terminal elimination half lives range from 4-16 hrs, 1-2 hrs and 25-35 min for alpha, beta, gamma respectively.","[The interferons: pharmacology, mechanism of action, tolerance and side effects]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12481400/),h,4-16,7973,DB00008,Peginterferon alfa-2a
,12481400,Terminal elimination half lives,"Terminal elimination half lives range from 4-16 hrs, 1-2 hrs and 25-35 min for alpha, beta, gamma respectively.","[The interferons: pharmacology, mechanism of action, tolerance and side effects]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12481400/),h,1-2,7974,DB00008,Peginterferon alfa-2a
,12481400,Terminal elimination half lives,"Terminal elimination half lives range from 4-16 hrs, 1-2 hrs and 25-35 min for alpha, beta, gamma respectively.","[The interferons: pharmacology, mechanism of action, tolerance and side effects]. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12481400/),min,25-35,7975,DB00008,Peginterferon alfa-2a
,25297637,plasma half-life,"After s.c. injection of PEG-IFN-SA at 1.5 μg kg(-1) , the mean geometric mean values of plasma half-life, time to maximal concentration, maximal concentration and AUC(0-168h) were 55.3 h, 26.9 h, 0.53 μg l(-1) and 44.0 μg l(-1) h, respectively.",A pharmacokinetic and pharmacodynamic comparison of a novel pegylated recombinant consensus interferon-α variant with peginterferon-α-2a in healthy subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25297637/),h,55.3,38669,DB00008,Peginterferon alfa-2a
,25297637,time to maximal concentration,"After s.c. injection of PEG-IFN-SA at 1.5 μg kg(-1) , the mean geometric mean values of plasma half-life, time to maximal concentration, maximal concentration and AUC(0-168h) were 55.3 h, 26.9 h, 0.53 μg l(-1) and 44.0 μg l(-1) h, respectively.",A pharmacokinetic and pharmacodynamic comparison of a novel pegylated recombinant consensus interferon-α variant with peginterferon-α-2a in healthy subjects. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25297637/),h,26.9,38670,DB00008,Peginterferon alfa-2a
,25297637,time to maximal concentration,"After s.c. injection of PEG-IFN-SA at 1.5 μg kg(-1) , the mean geometric mean values of plasma half-life, time to maximal concentration, maximal concentration and AUC(0-168h) were 55.3 h, 26.9 h, 0.53 μg l(-1) and 44.0 μg l(-1) h, respectively.",A pharmacokinetic and pharmacodynamic comparison of a novel pegylated recombinant consensus interferon-α variant with peginterferon-α-2a in healthy subjects. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25297637/),[μg] / [l],0.53,38671,DB00008,Peginterferon alfa-2a
,25297637,maximal concentration,"After s.c. injection of PEG-IFN-SA at 1.5 μg kg(-1) , the mean geometric mean values of plasma half-life, time to maximal concentration, maximal concentration and AUC(0-168h) were 55.3 h, 26.9 h, 0.53 μg l(-1) and 44.0 μg l(-1) h, respectively.",A pharmacokinetic and pharmacodynamic comparison of a novel pegylated recombinant consensus interferon-α variant with peginterferon-α-2a in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25297637/),h,26.9,38672,DB00008,Peginterferon alfa-2a
,25297637,maximal concentration,"After s.c. injection of PEG-IFN-SA at 1.5 μg kg(-1) , the mean geometric mean values of plasma half-life, time to maximal concentration, maximal concentration and AUC(0-168h) were 55.3 h, 26.9 h, 0.53 μg l(-1) and 44.0 μg l(-1) h, respectively.",A pharmacokinetic and pharmacodynamic comparison of a novel pegylated recombinant consensus interferon-α variant with peginterferon-α-2a in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25297637/),[μg] / [l],0.53,38673,DB00008,Peginterferon alfa-2a
,25297637,AUC(0-168h),"After s.c. injection of PEG-IFN-SA at 1.5 μg kg(-1) , the mean geometric mean values of plasma half-life, time to maximal concentration, maximal concentration and AUC(0-168h) were 55.3 h, 26.9 h, 0.53 μg l(-1) and 44.0 μg l(-1) h, respectively.",A pharmacokinetic and pharmacodynamic comparison of a novel pegylated recombinant consensus interferon-α variant with peginterferon-α-2a in healthy subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25297637/),[h·μg] / [l],44.0,38674,DB00008,Peginterferon alfa-2a
