Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17331344,C(max),"Non-pegylated and pegylated IFN-alpha both increased DTX oral bioavailability parameters: C(max) (17.0+/-4.0 microg L(-1) (P < 0.02) and 18+/-5.5 microg L(-1) (P < 0.05), respectively, vs 7.4+/-2.5 microg L(-1) for the control) and AUC (0.036+/-0.010 microg h mL(-1) (P < 0.01) and 0.033+/-0.009 microg h mL(-1) (P < 0.01), respectively, versus 0.012+/-0.004 microg h mL(-1) for the control).","Bioavailability and tissular distribution of docetaxel, a P-glycoprotein substrate, are modified by interferon-alpha in rats. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17331344/),[μg] / [l],17.0,12040,DB00022,Peginterferon alfa-2b
,17331344,C(max),"Non-pegylated and pegylated IFN-alpha both increased DTX oral bioavailability parameters: C(max) (17.0+/-4.0 microg L(-1) (P < 0.02) and 18+/-5.5 microg L(-1) (P < 0.05), respectively, vs 7.4+/-2.5 microg L(-1) for the control) and AUC (0.036+/-0.010 microg h mL(-1) (P < 0.01) and 0.033+/-0.009 microg h mL(-1) (P < 0.01), respectively, versus 0.012+/-0.004 microg h mL(-1) for the control).","Bioavailability and tissular distribution of docetaxel, a P-glycoprotein substrate, are modified by interferon-alpha in rats. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17331344/),[μg] / [l],18,12041,DB00022,Peginterferon alfa-2b
,17331344,C(max),"Non-pegylated and pegylated IFN-alpha both increased DTX oral bioavailability parameters: C(max) (17.0+/-4.0 microg L(-1) (P < 0.02) and 18+/-5.5 microg L(-1) (P < 0.05), respectively, vs 7.4+/-2.5 microg L(-1) for the control) and AUC (0.036+/-0.010 microg h mL(-1) (P < 0.01) and 0.033+/-0.009 microg h mL(-1) (P < 0.01), respectively, versus 0.012+/-0.004 microg h mL(-1) for the control).","Bioavailability and tissular distribution of docetaxel, a P-glycoprotein substrate, are modified by interferon-alpha in rats. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17331344/),[μg] / [l],7.4,12042,DB00022,Peginterferon alfa-2b
,17331344,AUC,"Non-pegylated and pegylated IFN-alpha both increased DTX oral bioavailability parameters: C(max) (17.0+/-4.0 microg L(-1) (P < 0.02) and 18+/-5.5 microg L(-1) (P < 0.05), respectively, vs 7.4+/-2.5 microg L(-1) for the control) and AUC (0.036+/-0.010 microg h mL(-1) (P < 0.01) and 0.033+/-0.009 microg h mL(-1) (P < 0.01), respectively, versus 0.012+/-0.004 microg h mL(-1) for the control).","Bioavailability and tissular distribution of docetaxel, a P-glycoprotein substrate, are modified by interferon-alpha in rats. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17331344/),[h·μg] / [ml],0.036,12043,DB00022,Peginterferon alfa-2b
,17331344,AUC,"Non-pegylated and pegylated IFN-alpha both increased DTX oral bioavailability parameters: C(max) (17.0+/-4.0 microg L(-1) (P < 0.02) and 18+/-5.5 microg L(-1) (P < 0.05), respectively, vs 7.4+/-2.5 microg L(-1) for the control) and AUC (0.036+/-0.010 microg h mL(-1) (P < 0.01) and 0.033+/-0.009 microg h mL(-1) (P < 0.01), respectively, versus 0.012+/-0.004 microg h mL(-1) for the control).","Bioavailability and tissular distribution of docetaxel, a P-glycoprotein substrate, are modified by interferon-alpha in rats. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17331344/),[h·μg] / [ml],0.033,12044,DB00022,Peginterferon alfa-2b
,17331344,AUC,"Non-pegylated and pegylated IFN-alpha both increased DTX oral bioavailability parameters: C(max) (17.0+/-4.0 microg L(-1) (P < 0.02) and 18+/-5.5 microg L(-1) (P < 0.05), respectively, vs 7.4+/-2.5 microg L(-1) for the control) and AUC (0.036+/-0.010 microg h mL(-1) (P < 0.01) and 0.033+/-0.009 microg h mL(-1) (P < 0.01), respectively, versus 0.012+/-0.004 microg h mL(-1) for the control).","Bioavailability and tissular distribution of docetaxel, a P-glycoprotein substrate, are modified by interferon-alpha in rats. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17331344/),[h·μg] / [ml],0.012,12045,DB00022,Peginterferon alfa-2b
,24093213,MTD,The MTD of cyclical oral TMZ was 100 mg/m² on days 1-7 and 15-21 when combined with weekly subcutaneous PEG-IFNα-2b at 1.5 mcg/kg/week on 28 days cycles.,"A phase I, dose-escalation study of cyclical weekly oral temozolomide and weekly PEG-interferon alpha-2b in patients with refractory or advanced solid tumours. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24093213/),[mg] / [m²],100,15027,DB00022,Peginterferon alfa-2b
,16939523,clearance,The clearance at treatment week 4 was 42.3 l day(-1) (patients with CLcr 120 ml min(-1)) with interpatient variability 30%.,Dose selection and population pharmacokinetics of PEG-Intron in patients with chronic myelogenous leukaemia. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16939523/),[l] / [day],42.3,29030,DB00022,Peginterferon alfa-2b
,24092661,Ctrough levels,"The mean telaprevir Ctrough levels at days 3, 7 and 14 of SVR patients (2.748, 2.733 and 2.999 μg/mL, respectively) were significantly higher than those of non-SVR patients (1.616, 1.788 and 2.314 μg/mL, respectively) (all P < 0.05).",Therapeutic drug monitoring of telaprevir in chronic hepatitis C patients receiving telaprevir-based triple therapy is useful for predicting virological response. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24092661/),[μg] / [ml],2.748,40515,DB00022,Peginterferon alfa-2b
,24092661,Ctrough levels,"The mean telaprevir Ctrough levels at days 3, 7 and 14 of SVR patients (2.748, 2.733 and 2.999 μg/mL, respectively) were significantly higher than those of non-SVR patients (1.616, 1.788 and 2.314 μg/mL, respectively) (all P < 0.05).",Therapeutic drug monitoring of telaprevir in chronic hepatitis C patients receiving telaprevir-based triple therapy is useful for predicting virological response. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24092661/),[μg] / [ml],2.733,40516,DB00022,Peginterferon alfa-2b
,24092661,Ctrough levels,"The mean telaprevir Ctrough levels at days 3, 7 and 14 of SVR patients (2.748, 2.733 and 2.999 μg/mL, respectively) were significantly higher than those of non-SVR patients (1.616, 1.788 and 2.314 μg/mL, respectively) (all P < 0.05).",Therapeutic drug monitoring of telaprevir in chronic hepatitis C patients receiving telaprevir-based triple therapy is useful for predicting virological response. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24092661/),[μg] / [ml],2.999,40517,DB00022,Peginterferon alfa-2b
,24092661,Ctrough levels,"The mean telaprevir Ctrough levels at days 3, 7 and 14 of SVR patients (2.748, 2.733 and 2.999 μg/mL, respectively) were significantly higher than those of non-SVR patients (1.616, 1.788 and 2.314 μg/mL, respectively) (all P < 0.05).",Therapeutic drug monitoring of telaprevir in chronic hepatitis C patients receiving telaprevir-based triple therapy is useful for predicting virological response. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24092661/),[μg] / [ml],1.616,40518,DB00022,Peginterferon alfa-2b
,24092661,Ctrough levels,"The mean telaprevir Ctrough levels at days 3, 7 and 14 of SVR patients (2.748, 2.733 and 2.999 μg/mL, respectively) were significantly higher than those of non-SVR patients (1.616, 1.788 and 2.314 μg/mL, respectively) (all P < 0.05).",Therapeutic drug monitoring of telaprevir in chronic hepatitis C patients receiving telaprevir-based triple therapy is useful for predicting virological response. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24092661/),[μg] / [ml],1.788,40519,DB00022,Peginterferon alfa-2b
,24092661,Ctrough levels,"The mean telaprevir Ctrough levels at days 3, 7 and 14 of SVR patients (2.748, 2.733 and 2.999 μg/mL, respectively) were significantly higher than those of non-SVR patients (1.616, 1.788 and 2.314 μg/mL, respectively) (all P < 0.05).",Therapeutic drug monitoring of telaprevir in chronic hepatitis C patients receiving telaprevir-based triple therapy is useful for predicting virological response. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24092661/),[μg] / [ml],2.314,40520,DB00022,Peginterferon alfa-2b
,29301580,Tmax,Analysis of time parameters revealed that BIP48 remained in the body significantly longer than PEGASYS® (Tmax: 73 vs. 54 h [p = 0.0010]; MRT: 133 vs. 115 h [p = 0.0324]; ke: 0.011 vs. 0.013 h(-1) [p = 0.0153]; t1/2: 192 vs. 108 h [p = 0.0218]).,Pharmacokinetics comparison of two pegylated interferon alfa formulations in healthy volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29301580/),h,73,43973,DB00022,Peginterferon alfa-2b
