Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3709032,peak plasma concentrations,"After intramuscular administration of 40 or 80 mg pentazocine alone, mean peak plasma concentrations at 15 minutes were 102 and 227 ng/ml, respectively, and mean plasma t1/2 values were 4.6 and 5.3 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),[ng] / [ml],102,1474,DB00652,Pentazocine
,3709032,peak plasma concentrations,"After intramuscular administration of 40 or 80 mg pentazocine alone, mean peak plasma concentrations at 15 minutes were 102 and 227 ng/ml, respectively, and mean plasma t1/2 values were 4.6 and 5.3 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),[ng] / [ml],227,1475,DB00652,Pentazocine
,3709032,plasma t1/2,"After intramuscular administration of 40 or 80 mg pentazocine alone, mean peak plasma concentrations at 15 minutes were 102 and 227 ng/ml, respectively, and mean plasma t1/2 values were 4.6 and 5.3 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),h,4.6,1476,DB00652,Pentazocine
,3709032,plasma t1/2,"After intramuscular administration of 40 or 80 mg pentazocine alone, mean peak plasma concentrations at 15 minutes were 102 and 227 ng/ml, respectively, and mean plasma t1/2 values were 4.6 and 5.3 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),h,5.3,1477,DB00652,Pentazocine
,3709032,plasma concentrations,"After intramuscular administration of 50 or 100 mg tripelennamine, mean plasma concentrations at 30 minutes were 105 and 194 ng/ml, respectively, and mean plasma t1/2 values were 2.9 and 4.4 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),[ng] / [ml],105,1478,DB00652,Pentazocine
,3709032,plasma concentrations,"After intramuscular administration of 50 or 100 mg tripelennamine, mean plasma concentrations at 30 minutes were 105 and 194 ng/ml, respectively, and mean plasma t1/2 values were 2.9 and 4.4 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),[ng] / [ml],194,1479,DB00652,Pentazocine
,3709032,plasma t1/2,"After intramuscular administration of 50 or 100 mg tripelennamine, mean plasma concentrations at 30 minutes were 105 and 194 ng/ml, respectively, and mean plasma t1/2 values were 2.9 and 4.4 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),h,2.9,1480,DB00652,Pentazocine
,3709032,plasma t1/2,"After intramuscular administration of 50 or 100 mg tripelennamine, mean plasma concentrations at 30 minutes were 105 and 194 ng/ml, respectively, and mean plasma t1/2 values were 2.9 and 4.4 hours, respectively.",The pharmacokinetics of pentazocine and tripelennamine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3709032/),h,4.4,1481,DB00652,Pentazocine
,8895673,maximum tolerated dose,The maximum tolerated dose was 80 mg/body.,Intrapleural pirarubicin (4'-O-tetrahydropyranyladriamycin) for treatment of malignant pleural effusion. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8895673/),mg,80,2329,DB00652,Pentazocine
,8895673,overall response rate,"With regard to clinical efficacy, the overall response rate was 73.7% in 38 evaluable courses (38 patients).",Intrapleural pirarubicin (4'-O-tetrahydropyranyladriamycin) for treatment of malignant pleural effusion. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8895673/),%,73.7,2330,DB00652,Pentazocine
,8895673,T(1/2),"The mean T(1/2) of pirarubicin concentration in pleural effusion and plasma was 22.1 h and 8.8 h, respectively.",Intrapleural pirarubicin (4'-O-tetrahydropyranyladriamycin) for treatment of malignant pleural effusion. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8895673/),h,22.1,2331,DB00652,Pentazocine
,8895673,T(1/2),"The mean T(1/2) of pirarubicin concentration in pleural effusion and plasma was 22.1 h and 8.8 h, respectively.",Intrapleural pirarubicin (4'-O-tetrahydropyranyladriamycin) for treatment of malignant pleural effusion. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8895673/),h,8.8,2332,DB00652,Pentazocine
,6716239,bioavailability,"The average (+/- SD) bioavailability of the tablet relative to that of the solution was 85.0 +/- 31.1 and 88.6 +/- 13.1% for pentazocine and acetaminophen, respectively.",Relative bioavailability and pharmacokinetics: a combination of pentazocine and acetaminophen. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6716239/),%,85.0,36067,DB00652,Pentazocine
,6716239,bioavailability,"The average (+/- SD) bioavailability of the tablet relative to that of the solution was 85.0 +/- 31.1 and 88.6 +/- 13.1% for pentazocine and acetaminophen, respectively.",Relative bioavailability and pharmacokinetics: a combination of pentazocine and acetaminophen. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6716239/),%,88.6,36068,DB00652,Pentazocine
