Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1474168,area,"Although no statistical differences in plasma concentrations and area-under-the-curve at steady state (AUCss) were observed, the oral clearance of pentoxifylline among the smokers (.22 +/- .08 L/minute/kg) was significantly greater (P < .05) than that among the nonsmokers (0.15 +/- 0.06 L/minute/kg) when corrected for body weight.",Comparison of pentoxifylline pharmacokinetics between smokers and nonsmokers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474168/),[l] / [kg·min],.22,13761,DB00806,Pentoxifylline
,1474168,oral clearance,"Although no statistical differences in plasma concentrations and area-under-the-curve at steady state (AUCss) were observed, the oral clearance of pentoxifylline among the smokers (.22 +/- .08 L/minute/kg) was significantly greater (P < .05) than that among the nonsmokers (0.15 +/- 0.06 L/minute/kg) when corrected for body weight.",Comparison of pentoxifylline pharmacokinetics between smokers and nonsmokers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474168/),[l] / [kg·min],.22,13762,DB00806,Pentoxifylline
,1474168,oral clearance,"Although no statistical differences in plasma concentrations and area-under-the-curve at steady state (AUCss) were observed, the oral clearance of pentoxifylline among the smokers (.22 +/- .08 L/minute/kg) was significantly greater (P < .05) than that among the nonsmokers (0.15 +/- 0.06 L/minute/kg) when corrected for body weight.",Comparison of pentoxifylline pharmacokinetics between smokers and nonsmokers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474168/),[l] / [kg·min],0.15,13763,DB00806,Pentoxifylline
,1474168,AUCss,The AUCss of the smokers was 1438 +/- 819 ng.hour/mL and of the nonsmokers was 2864 +/- 1375 ng.hour/mL (P < .02).,Comparison of pentoxifylline pharmacokinetics between smokers and nonsmokers. ,AUCSS-Q18,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474168/),[h·ng] / [ml],1438,13764,DB00806,Pentoxifylline
,1474168,AUCss,The AUCss of the smokers was 1438 +/- 819 ng.hour/mL and of the nonsmokers was 2864 +/- 1375 ng.hour/mL (P < .02).,Comparison of pentoxifylline pharmacokinetics between smokers and nonsmokers. ,AUCSS-Q18,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1474168/),[h·ng] / [ml],2864,13765,DB00806,Pentoxifylline
,1517286,lowest detectable concentration,The lowest detectable concentration for all analytes was 25 ng/ml; the recovery was 85%.,Determination of pentoxifylline and its metabolites in human plasma by high-performance liquid chromatography with solid-phase extraction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1517286/),[ng] / [ml],25,26845,DB00806,Pentoxifylline
,1517286,recovery,The lowest detectable concentration for all analytes was 25 ng/ml; the recovery was 85%.,Determination of pentoxifylline and its metabolites in human plasma by high-performance liquid chromatography with solid-phase extraction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1517286/),%,85,26846,DB00806,Pentoxifylline
,9504437,maximum plasma concentration (Cmax),"The mean values of various pharmacokinetic parameters after drug treatment at these times were, respectively: maximum plasma concentration (Cmax) 485+/-174, 646+/-175, 735+/-271 and 781+/-217 ng mL(-1); time to reach the maximum plasma concentration (Tmax) 1.90+/-0.39, 1.66+/-0.4, 1.31+/-0.41 and 1.32+/-0.44 h, mean residence time (MRT) 3.8+/-0.8, 2.9+/-0.5, 2.9+/-0.4 and 2.7+/-0.3 h, elimination half-life (t1/2) 1.93+/-0.86, 1.23+/-0.3, 1.39+/-0.3 and 1.23+/-0.18 h and volume of distribution at steady state (VdSS/f) 11991+/-4862, 8823+/-3484, 8275+/-2357 and 7063+/-1950 mL kg(-1).",Circadian variations in the pharmacokinetics of pentoxifylline in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9504437/),[ng] / [ml],485,30790,DB00806,Pentoxifylline
,9504437,maximum plasma concentration (Cmax),"The mean values of various pharmacokinetic parameters after drug treatment at these times were, respectively: maximum plasma concentration (Cmax) 485+/-174, 646+/-175, 735+/-271 and 781+/-217 ng mL(-1); time to reach the maximum plasma concentration (Tmax) 1.90+/-0.39, 1.66+/-0.4, 1.31+/-0.41 and 1.32+/-0.44 h, mean residence time (MRT) 3.8+/-0.8, 2.9+/-0.5, 2.9+/-0.4 and 2.7+/-0.3 h, elimination half-life (t1/2) 1.93+/-0.86, 1.23+/-0.3, 1.39+/-0.3 and 1.23+/-0.18 h and volume of distribution at steady state (VdSS/f) 11991+/-4862, 8823+/-3484, 8275+/-2357 and 7063+/-1950 mL kg(-1).",Circadian variations in the pharmacokinetics of pentoxifylline in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9504437/),[ng] / [ml],646,30791,DB00806,Pentoxifylline
,9504437,maximum plasma concentration (Cmax),"The mean values of various pharmacokinetic parameters after drug treatment at these times were, respectively: maximum plasma concentration (Cmax) 485+/-174, 646+/-175, 735+/-271 and 781+/-217 ng mL(-1); time to reach the maximum plasma concentration (Tmax) 1.90+/-0.39, 1.66+/-0.4, 1.31+/-0.41 and 1.32+/-0.44 h, mean residence time (MRT) 3.8+/-0.8, 2.9+/-0.5, 2.9+/-0.4 and 2.7+/-0.3 h, elimination half-life (t1/2) 1.93+/-0.86, 1.23+/-0.3, 1.39+/-0.3 and 1.23+/-0.18 h and volume of distribution at steady state (VdSS/f) 11991+/-4862, 8823+/-3484, 8275+/-2357 and 7063+/-1950 mL kg(-1).",Circadian variations in the pharmacokinetics of pentoxifylline in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9504437/),[ng] / [ml],735,30792,DB00806,Pentoxifylline
,9504437,maximum plasma concentration (Cmax),"The mean values of various pharmacokinetic parameters after drug treatment at these times were, respectively: maximum plasma concentration (Cmax) 485+/-174, 646+/-175, 735+/-271 and 781+/-217 ng mL(-1); time to reach the maximum plasma concentration (Tmax) 1.90+/-0.39, 1.66+/-0.4, 1.31+/-0.41 and 1.32+/-0.44 h, mean residence time (MRT) 3.8+/-0.8, 2.9+/-0.5, 2.9+/-0.4 and 2.7+/-0.3 h, elimination half-life (t1/2) 1.93+/-0.86, 1.23+/-0.3, 1.39+/-0.3 and 1.23+/-0.18 h and volume of distribution at steady state (VdSS/f) 11991+/-4862, 8823+/-3484, 8275+/-2357 and 7063+/-1950 mL kg(-1).",Circadian variations in the pharmacokinetics of pentoxifylline in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9504437/),[ng] / [ml],781,30793,DB00806,Pentoxifylline
