Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30086086,CD ratio,"In 10 patients using enzyme-inducing antiepileptic drugs (AEDs), the mean CD ratio increased by 53.5% [from 1389 to 2132 (ng/mL)/(mg/kg)] when they were CRP-positive.",Influence of Inflammation on the Pharmacokinetics of Perampanel. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30086086/),[ml·ng] / [kg·mg],1389,3357,DB08883,Perampanel
,30086086,CD ratio,"In 10 patients using enzyme-inducing antiepileptic drugs (AEDs), the mean CD ratio increased by 53.5% [from 1389 to 2132 (ng/mL)/(mg/kg)] when they were CRP-positive.",Influence of Inflammation on the Pharmacokinetics of Perampanel. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30086086/),[ml·ng] / [kg·mg],2132,3358,DB08883,Perampanel
,30086086,CD ratio,"In 13 patients without enzyme-inducing AEDs, the mean CD ratio increased by 100.8% [from 3826 ng/mL to 7683 (ng/mL)/(mg/kg)] when they were CRP-positive.",Influence of Inflammation on the Pharmacokinetics of Perampanel. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30086086/),[ng] / [ml],3826,3359,DB08883,Perampanel
,30086086,CD ratio,"In 13 patients without enzyme-inducing AEDs, the mean CD ratio increased by 100.8% [from 3826 ng/mL to 7683 (ng/mL)/(mg/kg)] when they were CRP-positive.",Influence of Inflammation on the Pharmacokinetics of Perampanel. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30086086/),[ml·ng] / [kg·mg],7683,3360,DB08883,Perampanel
,27595590,apparent clearance,"Population PK results from 152 adolescent patients revealed a perampanel apparent clearance of 0.729L/h, consistent with previous analyses in adolescents and adults.","Pharmacokinetics, exposure-cognition, and exposure-efficacy relationships of perampanel in adolescents with inadequately controlled partial-onset seizures. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27595590/),[l] / [h],0.729,12175,DB08883,Perampanel
,24785428,half-life,"Perampanel is metabolized primarily via CYP3A4, yet it has a relatively long half-life of 105h; it is, therefore, recommended that perampanel be given once daily (preferably at bedtime).",The practical impact of altered dosing on perampanel plasma concentrations: pharmacokinetic modeling from clinical studies. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24785428/),h,105,24632,DB08883,Perampanel
,29095797,CD ratio,The mean CD ratio of perampanel was 1740 ± 966 ng·mL·mg·kg in the 17 patients with normal renal function using phenytoin.,Influence of Renal Function on Pharmacokinetics of Antiepileptic Drugs Metabolized by CYP3A4 in a Patient With Renal Impairment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29095797/),kg·mg·ml·ng,1740,43752,DB08883,Perampanel
,29095797,CD ratio,"By contrast, the CD ratio of perampanel was markedly higher (range: 5327-9113 ng·mL·mg·kg) in the patient with renal impairment (CCr: <20 mL/min).",Influence of Renal Function on Pharmacokinetics of Antiepileptic Drugs Metabolized by CYP3A4 in a Patient With Renal Impairment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29095797/),kg·mg·ml·ng,5327-9113,43753,DB08883,Perampanel
,25495693,bioavailability,"After oral ingestion, perampanel is rapidly absorbed and peak plasma concentrations occur 0.5-2.5 h later; its bioavailability is ~100%.",The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),%,100,83917,DB08883,Perampanel
,25495693,apparent terminal half-life,"In healthy volunteers, the apparent terminal half-life is ~105 h, whereas the calculated effective half-life is 48 h.",The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),h,105,83918,DB08883,Perampanel
,25495693,effective half-life,"In healthy volunteers, the apparent terminal half-life is ~105 h, whereas the calculated effective half-life is 48 h.",The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),h,48,83919,DB08883,Perampanel
,25495693,half-life,"In healthy volunteers prescribed carbamazepine, half-life decreases to 25 h.",The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),h,25,83920,DB08883,Perampanel
,25495693,Clearance,Clearance values are not significantly different in adolescents (~13.0 ml/min) and the elderly (~10.5 ml/min) compared with adults (10.9 ml/min).,The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),[ml] / [min],13.0,83921,DB08883,Perampanel
,25495693,Clearance,Clearance values are not significantly different in adolescents (~13.0 ml/min) and the elderly (~10.5 ml/min) compared with adults (10.9 ml/min).,The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),[ml] / [min],10.5,83922,DB08883,Perampanel
,25495693,Clearance,Clearance values are not significantly different in adolescents (~13.0 ml/min) and the elderly (~10.5 ml/min) compared with adults (10.9 ml/min).,The clinical pharmacology profile of the new antiepileptic drug perampanel: A novel noncompetitive AMPA receptor antagonist. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25495693/),[ml] / [min],10.9,83923,DB08883,Perampanel
