Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
below,14998422,Trough plasma perhexiline concentrations,Trough plasma perhexiline concentrations from two patients were below the limit of quantification of the assay (0.05 mg l-1) and thus were excluded from the analysis.,Concentration-time profile for perhexiline and hydroxyperhexiline in patients at steady state. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14998422/),[mg] / [l],0.05,81545,DB01074,Perhexiline
,3946097,peak,The plasma concentration of the cis-monohydroxyperhexiline (peak of 473 +/- 43 ng/ml at 7.5 +/- 2.0 h) was always higher than for unchanged perhexiline (peak of 112 +/- 20 ng/ml at 6.5 +/- 2.0 h) whereas the concentration of the transmetabolite was either low or undetectable in plasma.,Further studies on the pharmacokinetics of perhexiline maleate in humans. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3946097/),[ng] / [ml],473,86550,DB01074,Perhexiline
,3946097,peak,The plasma concentration of the cis-monohydroxyperhexiline (peak of 473 +/- 43 ng/ml at 7.5 +/- 2.0 h) was always higher than for unchanged perhexiline (peak of 112 +/- 20 ng/ml at 6.5 +/- 2.0 h) whereas the concentration of the transmetabolite was either low or undetectable in plasma.,Further studies on the pharmacokinetics of perhexiline maleate in humans. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3946097/),[ng] / [ml],112,86551,DB01074,Perhexiline
,3946097,plasma elimination half-life,The plasma elimination half-life of perhexiline was 12.4 +/- 6.1 h (range 7-23 h) while that for cis-monohydroxyperhexiline was 19.9 +/- 7.7 h (range 10-29 h).,Further studies on the pharmacokinetics of perhexiline maleate in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3946097/),h,12.4,86552,DB01074,Perhexiline
,3946097,plasma elimination half-life,The plasma elimination half-life of perhexiline was 12.4 +/- 6.1 h (range 7-23 h) while that for cis-monohydroxyperhexiline was 19.9 +/- 7.7 h (range 10-29 h).,Further studies on the pharmacokinetics of perhexiline maleate in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3946097/),h,19.9,86553,DB01074,Perhexiline
,11802096,sampling time after a dose,"The sampling time after a dose was 14.1 +/- 21.4 hours (0.5-200), and the perhexiline plasma concentrations were 0.39 +/- 0.32 mg/L (0.03-1.56).","Population pharmacokinetics of perhexiline from very sparse, routine monitoring data. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11802096/),h,14.1,91783,DB01074,Perhexiline
,11802096,plasma concentrations,"The sampling time after a dose was 14.1 +/- 21.4 hours (0.5-200), and the perhexiline plasma concentrations were 0.39 +/- 0.32 mg/L (0.03-1.56).","Population pharmacokinetics of perhexiline from very sparse, routine monitoring data. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11802096/),[mg] / [l],0.39,91784,DB01074,Perhexiline
,11802096,clearance (CL/F),"The best model contained 2 subpopulations (obtained via the $MIXTURE subroutine) of 77 subjects (subgroup A) and 11 subjects (subgroup B) that had typical values for clearance (CL/F) of 21.8 L/h and 2.06 L/h, respectively.","Population pharmacokinetics of perhexiline from very sparse, routine monitoring data. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11802096/),[l] / [h],21.8,91785,DB01074,Perhexiline
,11802096,clearance (CL/F),"The best model contained 2 subpopulations (obtained via the $MIXTURE subroutine) of 77 subjects (subgroup A) and 11 subjects (subgroup B) that had typical values for clearance (CL/F) of 21.8 L/h and 2.06 L/h, respectively.","Population pharmacokinetics of perhexiline from very sparse, routine monitoring data. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11802096/),[l] / [h],2.06,91786,DB01074,Perhexiline
,11802096,volumes of distribution (V/F),"The volumes of distribution (V/F) were 1470 L and 260 L, respectively, which suggested a reduction in presystemic metabolism in subgroup B.","Population pharmacokinetics of perhexiline from very sparse, routine monitoring data. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11802096/),l,1470,91787,DB01074,Perhexiline
,11802096,volumes of distribution (V/F),"The volumes of distribution (V/F) were 1470 L and 260 L, respectively, which suggested a reduction in presystemic metabolism in subgroup B.","Population pharmacokinetics of perhexiline from very sparse, routine monitoring data. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11802096/),l,260,91788,DB01074,Perhexiline
,6707167,limits of detection,"The limits of detection for perhexiline and its monohydroxy metabolites were 15 and 3 ng/ml, respectively.",Single-dose pharmacokinetics of perhexiline administered orally to humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6707167/),[ng] / [ml],15,132923,DB01074,Perhexiline
,6707167,limits of detection,"The limits of detection for perhexiline and its monohydroxy metabolites were 15 and 3 ng/ml, respectively.",Single-dose pharmacokinetics of perhexiline administered orally to humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6707167/),[ng] / [ml],3,132924,DB01074,Perhexiline
,17429312,CL/F,"In the nine extensive/intermediate metabolizers receiving the 100 mg/day dose, the median CL/F of (+)-perhexiline was lower than that of (-)-perhexiline (352.5 versus 440.6 l/day, P<0.01).",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),[l] / [d],352.5,257904,DB01074,Perhexiline
,17429312,CL/F,"In the nine extensive/intermediate metabolizers receiving the 100 mg/day dose, the median CL/F of (+)-perhexiline was lower than that of (-)-perhexiline (352.5 versus 440.6 l/day, P<0.01).",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),[l] / [d],440.6,257905,DB01074,Perhexiline
,17429312,plasma concentration ratio,"In the retrospective study, the median (+)-/(-)-perhexiline plasma concentration ratio was lower (P<0.0001) in phenotypic extensive/intermediate (1.41) versus poor metabolizers (2.29).",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),,1.41,257906,DB01074,Perhexiline
,17429312,plasma concentration ratio,"In the retrospective study, the median (+)-/(-)-perhexiline plasma concentration ratio was lower (P<0.0001) in phenotypic extensive/intermediate (1.41) versus poor metabolizers (2.29).",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),,2.29,257907,DB01074,Perhexiline
,17429312,CL/F,"Median CL/F of (+) and (-)-perhexiline was 10.6 and 24.2 l/day (P<0.05), respectively, in poor metabolizers, and 184.1 and 272.0 l/day (P<0.001), respectively, in extensive/intermediate metabolizers.",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),[l] / [d],10.6,257908,DB01074,Perhexiline
,17429312,CL/F,"Median CL/F of (+) and (-)-perhexiline was 10.6 and 24.2 l/day (P<0.05), respectively, in poor metabolizers, and 184.1 and 272.0 l/day (P<0.001), respectively, in extensive/intermediate metabolizers.",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),[l] / [d],24.2,257909,DB01074,Perhexiline
,17429312,CL/F,"Median CL/F of (+) and (-)-perhexiline was 10.6 and 24.2 l/day (P<0.05), respectively, in poor metabolizers, and 184.1 and 272.0 l/day (P<0.001), respectively, in extensive/intermediate metabolizers.",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),[l] / [d],184.1,257910,DB01074,Perhexiline
,17429312,CL/F,"Median CL/F of (+) and (-)-perhexiline was 10.6 and 24.2 l/day (P<0.05), respectively, in poor metabolizers, and 184.1 and 272.0 l/day (P<0.001), respectively, in extensive/intermediate metabolizers.",Effect of CYP2D6 metabolizer status on the disposition of the (+) and (-) enantiomers of perhexiline in patients with myocardial ischaemia. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17429312/),[l] / [d],272.0,257911,DB01074,Perhexiline
,3937500,bioavailabilities,"The bioavailabilities of bepridil, diltiazem and nifedipine are of the order of 40 to 60%; those of verapamil and nicarpidine are lower, 10-20% and 15-30%, respectively.",[Clinical pharmacology of calcium inhibitors]. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3937500/),%,40 to 60,259217,DB01074,Perhexiline
,3937500,bioavailabilities,"The bioavailabilities of bepridil, diltiazem and nifedipine are of the order of 40 to 60%; those of verapamil and nicarpidine are lower, 10-20% and 15-30%, respectively.",[Clinical pharmacology of calcium inhibitors]. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3937500/),%,10-20,259218,DB01074,Perhexiline
,3937500,bioavailabilities,"The bioavailabilities of bepridil, diltiazem and nifedipine are of the order of 40 to 60%; those of verapamil and nicarpidine are lower, 10-20% and 15-30%, respectively.",[Clinical pharmacology of calcium inhibitors]. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3937500/),%,15-30,259219,DB01074,Perhexiline
,3937500,volumes of distribution,"Protein binding is high but does not interfere in the distribution; the volumes of distribution of bepridil, diltiazem and verapamil are large (4-5 l/kg); those of nifedipine and nicardipine are smaller (l l/kg).",[Clinical pharmacology of calcium inhibitors]. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3937500/),[l] / [kg],4-5,259220,DB01074,Perhexiline
,3937500,halflives,"The halflives of diltiazem, nifedipine, nicardipine and verapamil are short (1 to 5 hours); those of bepridil and perhexiline are longer (2 to 3 days).",[Clinical pharmacology of calcium inhibitors]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3937500/),h,1 to 5,259221,DB01074,Perhexiline
,3937500,halflives,"The halflives of diltiazem, nifedipine, nicardipine and verapamil are short (1 to 5 hours); those of bepridil and perhexiline are longer (2 to 3 days).",[Clinical pharmacology of calcium inhibitors]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3937500/),d,2 to 3,259222,DB01074,Perhexiline
<,12207628,CL(Px)/F,"Putative poor metabolizers (approximately 8%) were identified by CL(Px)/F< or =50 ml min(-1) or C(OHPx,ss)/C(Px,ss)< or =0.3.",Pharmacokinetics of the antianginal agent perhexiline: relationship between metabolic ratio and steady-state dose. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207628/),[ml] / [min],50,262630,DB01074,Perhexiline
<,12207628,"C(OHPx,ss)/C(Px,ss)","Putative poor metabolizers (approximately 8%) were identified by CL(Px)/F< or =50 ml min(-1) or C(OHPx,ss)/C(Px,ss)< or =0.3.",Pharmacokinetics of the antianginal agent perhexiline: relationship between metabolic ratio and steady-state dose. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207628/),,0.3,262631,DB01074,Perhexiline
> or =,12207628,CL(Px)/F,A group of patients with CL(Px)/F> or =950 ml min(-1) may have been ultra-rapid metabolizers.,Pharmacokinetics of the antianginal agent perhexiline: relationship between metabolic ratio and steady-state dose. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207628/),[ml] / [min],950,262632,DB01074,Perhexiline
,12207628,CL(Px)/F,"Using C(i)(OHPx)/C(i)(Px) patients were tentatively identified as poor, extensive and ultra-rapid metabolizers, with CL(Px)/F of 23-72, 134-868 and 947-1462 ml min(-1), respectively, requiring doses of 10-25, 100-250 and 300-500 mg day(-1), respectively.",Pharmacokinetics of the antianginal agent perhexiline: relationship between metabolic ratio and steady-state dose. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207628/),[ml] / [min],23-72,262633,DB01074,Perhexiline
,12207628,CL(Px)/F,"Using C(i)(OHPx)/C(i)(Px) patients were tentatively identified as poor, extensive and ultra-rapid metabolizers, with CL(Px)/F of 23-72, 134-868 and 947-1462 ml min(-1), respectively, requiring doses of 10-25, 100-250 and 300-500 mg day(-1), respectively.",Pharmacokinetics of the antianginal agent perhexiline: relationship between metabolic ratio and steady-state dose. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207628/),[ml] / [min],134-868,262634,DB01074,Perhexiline
,12207628,CL(Px)/F,"Using C(i)(OHPx)/C(i)(Px) patients were tentatively identified as poor, extensive and ultra-rapid metabolizers, with CL(Px)/F of 23-72, 134-868 and 947-1462 ml min(-1), respectively, requiring doses of 10-25, 100-250 and 300-500 mg day(-1), respectively.",Pharmacokinetics of the antianginal agent perhexiline: relationship between metabolic ratio and steady-state dose. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207628/),[ml] / [min],947-1462,262635,DB01074,Perhexiline
