Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16715478,linear dynamic,The method exhibited a linear dynamic range of 0.1-100 ng/mL for perindopril in human plasma.,High-throughput quantification of perindopril in human plasma by liquid chromatography/tandem mass spectrometry: application to a bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16715478/),[ng] / [ml],0.1-100,5520,DB00790,Perindopril
,16715478,run time,A run time of 2.0 min for each sample made it possible to analyze more than 450 human plasma samples per day.,High-throughput quantification of perindopril in human plasma by liquid chromatography/tandem mass spectrometry: application to a bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16715478/),min,2.0,5521,DB00790,Perindopril
,1576057,AUC,"Compared with a historical control group of young healthy volunteers receiving the same single oral dose of perindopril, mean AUC values of the prodrug perindopril were double in patients with liver cirrhosis (602 +/- 294 s.d. ng ml-1 h vs 266 +/- 70 s.d. ng ml-1 h) whereas the mean AUC of perindoprilat was found to be similar (134 +/- 139 ng ml-1 h vs 120 +/- 29 ng ml-1 h).",The pharmacokinetics of perindopril in patients with liver cirrhosis. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),[h·ng] / [ml],602,8379,DB00790,Perindopril
,1576057,AUC,"Compared with a historical control group of young healthy volunteers receiving the same single oral dose of perindopril, mean AUC values of the prodrug perindopril were double in patients with liver cirrhosis (602 +/- 294 s.d. ng ml-1 h vs 266 +/- 70 s.d. ng ml-1 h) whereas the mean AUC of perindoprilat was found to be similar (134 +/- 139 ng ml-1 h vs 120 +/- 29 ng ml-1 h).",The pharmacokinetics of perindopril in patients with liver cirrhosis. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),[h·ng] / [ml],266,8380,DB00790,Perindopril
,1576057,AUC,"Compared with a historical control group of young healthy volunteers receiving the same single oral dose of perindopril, mean AUC values of the prodrug perindopril were double in patients with liver cirrhosis (602 +/- 294 s.d. ng ml-1 h vs 266 +/- 70 s.d. ng ml-1 h) whereas the mean AUC of perindoprilat was found to be similar (134 +/- 139 ng ml-1 h vs 120 +/- 29 ng ml-1 h).",The pharmacokinetics of perindopril in patients with liver cirrhosis. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),[h·ng] / [ml],134,8381,DB00790,Perindopril
,1576057,AUC,"Compared with a historical control group of young healthy volunteers receiving the same single oral dose of perindopril, mean AUC values of the prodrug perindopril were double in patients with liver cirrhosis (602 +/- 294 s.d. ng ml-1 h vs 266 +/- 70 s.d. ng ml-1 h) whereas the mean AUC of perindoprilat was found to be similar (134 +/- 139 ng ml-1 h vs 120 +/- 29 ng ml-1 h).",The pharmacokinetics of perindopril in patients with liver cirrhosis. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),[h·ng] / [ml],120,8382,DB00790,Perindopril
,1576057,partial metabolic clearance,The partial metabolic clearance of perindopril to perindoprilat was much lower in the cirrhotics (26 +/- 12 ml min-1 vs 58 +/- 22 ml min-1).,The pharmacokinetics of perindopril in patients with liver cirrhosis. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),[ml] / [min],26,8383,DB00790,Perindopril
,1576057,partial metabolic clearance,The partial metabolic clearance of perindopril to perindoprilat was much lower in the cirrhotics (26 +/- 12 ml min-1 vs 58 +/- 22 ml min-1).,The pharmacokinetics of perindopril in patients with liver cirrhosis. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),[ml] / [min],58,8384,DB00790,Perindopril
,1576057,maximum inhibition,The maximum inhibition of plasma ACE activity measured in the cirrhotic patients (87.5 +/- 5.1%) was comparable with that previously reported with perindopril in patients with mild hepatic impairment as well as in patients with essential hypertension.,The pharmacokinetics of perindopril in patients with liver cirrhosis. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1576057/),%,87.5,8385,DB00790,Perindopril
,8453964,maximal concentration,Administration for 1 month did not modify the time to peak perindoprilat concentration but significantly increased the mean maximal concentration: 10.2 versus 26.8 ng.,The effect of haemodialysis on the pharmacokinetics of perindoprilat after long-term perindopril. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453964/),ng,10.2,15067,DB00790,Perindopril
