Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
>,14768859,half-life (t1/2),"In the aqueous phase, bifenthrin was rapidly degraded by strains of Stenotrophomonas acidaminiphila, and the half-life (t1/2) was reduced from >700 h to 30 to 131 h.",Microbial transformation of pyrethroid insecticides in aqueous and sediment phases. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14768859/),h,700,31638,DB04930,Permethrin
,14768859,half-life (t1/2),"In the aqueous phase, bifenthrin was rapidly degraded by strains of Stenotrophomonas acidaminiphila, and the half-life (t1/2) was reduced from >700 h to 30 to 131 h.",Microbial transformation of pyrethroid insecticides in aqueous and sediment phases. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14768859/),h,30 to 131,31639,DB04930,Permethrin
,14768859,t1/2,"Bifenthrin t1/2 was 343 to 466 h for a field sediment, and increased to 980 to 1200 h for a creek sediment.",Microbial transformation of pyrethroid insecticides in aqueous and sediment phases. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14768859/),h,343 to 466,31640,DB04930,Permethrin
,14768859,t1/2,"Bifenthrin t1/2 was 343 to 466 h for a field sediment, and increased to 980 to 1200 h for a creek sediment.",Microbial transformation of pyrethroid insecticides in aqueous and sediment phases. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14768859/),h,980 to 1200,31641,DB04930,Permethrin
,26302029,half-life at λ phase (t1/2λ),"For intravenous permethrin administration, the half-life at λ phase (t1/2λ), mean residence time (MRT) and area under the concentration-time curve in 0→∞ (AUC0→∞) values respectively were 4.73 ± 1.00 h, 5.06 ± 1.05 h and 16.45 ± 3.28 mg/h/l.",Single-dose toxicokinetics of permethrin in broiler chickens. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26302029/),h,4.73,92606,DB04930,Permethrin
,26302029,mean residence time (MRT),"For intravenous permethrin administration, the half-life at λ phase (t1/2λ), mean residence time (MRT) and area under the concentration-time curve in 0→∞ (AUC0→∞) values respectively were 4.73 ± 1.00 h, 5.06 ± 1.05 h and 16.45 ± 3.28 mg/h/l.",Single-dose toxicokinetics of permethrin in broiler chickens. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26302029/),h,5.06,92607,DB04930,Permethrin
,26302029,area under the concentration-time curve in 0→∞ (AUC0→∞),"For intravenous permethrin administration, the half-life at λ phase (t1/2λ), mean residence time (MRT) and area under the concentration-time curve in 0→∞ (AUC0→∞) values respectively were 4.73 ± 1.00 h, 5.06 ± 1.05 h and 16.45 ± 3.28 mg/h/l.",Single-dose toxicokinetics of permethrin in broiler chickens. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26302029/),[mg] / [h·l],16.45,92608,DB04930,Permethrin
,26302029,Cmax,"In contrast, the Cmax, tmax, t1/2λ, MRT and AUC0→∞ values respectively of the group given intra-crop permethrin were 0.60 ± 0.42 μg/ml, 0.55 ± 0.19 h, 5.54 ± 0.78 h, 7.06 ± 0.63 h and 1.95 ± 0.97 mg/h/l.",Single-dose toxicokinetics of permethrin in broiler chickens. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26302029/),[μg] / [ml],0.60,92609,DB04930,Permethrin
,26302029,AUC0→∞,"In contrast, the Cmax, tmax, t1/2λ, MRT and AUC0→∞ values respectively of the group given intra-crop permethrin were 0.60 ± 0.42 μg/ml, 0.55 ± 0.19 h, 5.54 ± 0.78 h, 7.06 ± 0.63 h and 1.95 ± 0.97 mg/h/l.",Single-dose toxicokinetics of permethrin in broiler chickens. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26302029/),[mg] / [h·l],1.95,92610,DB04930,Permethrin
,26302029,bioavailability,The bioavailability of permethrin was 0.11.,Single-dose toxicokinetics of permethrin in broiler chickens. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26302029/),,0.11,92611,DB04930,Permethrin
,2564238,absorption,"It was found that during the first 48 hours the mean estimated absorption was 6 mg (range 3-11), which is approximately 0.5% of the total dose.",Efficacy and transdermal absorption of permethrin in scabies patients. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2564238/),mg,6,102368,DB04930,Permethrin
,1871768,elimination half-life (t1/2 beta),"For permethrin, the elimination half-life (t1/2 beta) and the mean residence time from plasma were 8.67 and 11.19 hr after i.v. and 12.37 and 17.77 hr after po administration.",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,8.67,109515,DB04930,Permethrin
,1871768,elimination half-life (t1/2 beta),"For permethrin, the elimination half-life (t1/2 beta) and the mean residence time from plasma were 8.67 and 11.19 hr after i.v. and 12.37 and 17.77 hr after po administration.",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,12.37,109516,DB04930,Permethrin
,1871768,mean residence time,"For permethrin, the elimination half-life (t1/2 beta) and the mean residence time from plasma were 8.67 and 11.19 hr after i.v. and 12.37 and 17.77 hr after po administration.",Toxicokinetics of permethrin in the rat. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,11.19,109517,DB04930,Permethrin
,1871768,mean residence time,"For permethrin, the elimination half-life (t1/2 beta) and the mean residence time from plasma were 8.67 and 11.19 hr after i.v. and 12.37 and 17.77 hr after po administration.",Toxicokinetics of permethrin in the rat. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,17.77,109518,DB04930,Permethrin
,1871768,total plasma clearance,The total plasma clearance was not influenced by dose concentration or route and reached a value of 0.058 liter/hr.,Toxicokinetics of permethrin in the rat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),[l] / [h],0.058,109519,DB04930,Permethrin
,1871768,Tmax,"After the single oral dose, permethrin was absorbed slowly with a Tmax of 3.52 hr.",Toxicokinetics of permethrin in the rat. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,3.52,109520,DB04930,Permethrin
,1871768,maximum plasma concentration,The maximum plasma concentration was 49.46 micrograms/ml.,Toxicokinetics of permethrin in the rat. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),[μg] / [ml],49.46,109521,DB04930,Permethrin
,1871768,oral bioavailability,The oral bioavailability of permethrin was found to be 60.69%.,Toxicokinetics of permethrin in the rat. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),%,60.69,109522,DB04930,Permethrin
,1871768,elimination half-life (t1/2el),"The elimination half-life (t1/2el) of permethrin was greater for the hippocampus, medulla oblongata, frontal cortex, and sciatic nerve (23.10, 22.36, 13.86, and 16.27 hr, respectively) than for plasma (t1/2 beta, 12.37 hr).",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,23.10,109523,DB04930,Permethrin
,1871768,elimination half-life (t1/2el),"The elimination half-life (t1/2el) of permethrin was greater for the hippocampus, medulla oblongata, frontal cortex, and sciatic nerve (23.10, 22.36, 13.86, and 16.27 hr, respectively) than for plasma (t1/2 beta, 12.37 hr).",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,22.36,109524,DB04930,Permethrin
,1871768,elimination half-life (t1/2el),"The elimination half-life (t1/2el) of permethrin was greater for the hippocampus, medulla oblongata, frontal cortex, and sciatic nerve (23.10, 22.36, 13.86, and 16.27 hr, respectively) than for plasma (t1/2 beta, 12.37 hr).",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,13.86,109525,DB04930,Permethrin
,1871768,elimination half-life (t1/2el),"The elimination half-life (t1/2el) of permethrin was greater for the hippocampus, medulla oblongata, frontal cortex, and sciatic nerve (23.10, 22.36, 13.86, and 16.27 hr, respectively) than for plasma (t1/2 beta, 12.37 hr).",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,16.27,109526,DB04930,Permethrin
,1871768,t1/2 beta,"The elimination half-life (t1/2el) of permethrin was greater for the hippocampus, medulla oblongata, frontal cortex, and sciatic nerve (23.10, 22.36, 13.86, and 16.27 hr, respectively) than for plasma (t1/2 beta, 12.37 hr).",Toxicokinetics of permethrin in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),h,12.37,109527,DB04930,Permethrin
,1871768,area under the concentration curve ratios,"Nervous tissue accumulation of permethrin was also reflected by the area under the concentration curve ratios of tissue/plasma (1.16, 3.71, 1.57, 4.27, 3.48, and 8.77, respectively).",Toxicokinetics of permethrin in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),,1.16,109528,DB04930,Permethrin
,1871768,area under the concentration curve ratios,"Nervous tissue accumulation of permethrin was also reflected by the area under the concentration curve ratios of tissue/plasma (1.16, 3.71, 1.57, 4.27, 3.48, and 8.77, respectively).",Toxicokinetics of permethrin in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),,3,109529,DB04930,Permethrin
,1871768,area under the concentration curve ratios,"Nervous tissue accumulation of permethrin was also reflected by the area under the concentration curve ratios of tissue/plasma (1.16, 3.71, 1.57, 4.27, 3.48, and 8.77, respectively).",Toxicokinetics of permethrin in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),,1,109530,DB04930,Permethrin
,1871768,area under the concentration curve ratios,"Nervous tissue accumulation of permethrin was also reflected by the area under the concentration curve ratios of tissue/plasma (1.16, 3.71, 1.57, 4.27, 3.48, and 8.77, respectively).",Toxicokinetics of permethrin in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),,4,109531,DB04930,Permethrin
,1871768,area under the concentration curve ratios,"Nervous tissue accumulation of permethrin was also reflected by the area under the concentration curve ratios of tissue/plasma (1.16, 3.71, 1.57, 4.27, 3.48, and 8.77, respectively).",Toxicokinetics of permethrin in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1871768/),,8,109532,DB04930,Permethrin
,29284785,absorbed doses,"According to best-fit scenarios, absorbed doses in workers reconstructed with the model reached a maximum of 2.4 µg/kg bw/day and were below the absorbed dose limits associated with an exposure to the reference dose values established by the U.S. Environmental Protection Agency (0.06 and 0.25 mg/kg bw/day for cypermethrin and permethrin, respectively) and the Acceptable Operator Exposure Level set by the European Commission (0.06 mg/kg bw/day for cypermethrin).",Dose reconstruction in workers exposed to two major pyrethroid pesticides and determination of biological reference values using a toxicokinetic model. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29284785/),,2,111685,DB04930,Permethrin
,31248885,total binding,Higher total binding of each pyrethroid to human (∼90%) than to rat (∼80%) plasma resulted from higher protein binding in human plasma.,Plasma Protein and Lipoprotein Binding of Cis- and Trans-Permethrin and Deltamethrin in Adult Humans and Rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31248885/),%,∼90,124016,DB04930,Permethrin
,31248885,total binding,Higher total binding of each pyrethroid to human (∼90%) than to rat (∼80%) plasma resulted from higher protein binding in human plasma.,Plasma Protein and Lipoprotein Binding of Cis- and Trans-Permethrin and Deltamethrin in Adult Humans and Rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31248885/),%,∼80,124017,DB04930,Permethrin
,24929057,Absolute recoveries,"Absolute recoveries of DLM, CIS and TRANS ranged from 86 to 95%.",Measurement of plasma protein and lipoprotein binding of pyrethroids. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24929057/),%,86 to 95,127507,DB04930,Permethrin
,25498136,apparent elimination half-life (t½),"In plasma, peak concentrations of cis-DCCA, trans-DCCA and 3-PBA were reached about ≈7 h post-dosing, and elimination appeared monophasic with a mean apparent elimination half-life (t½) of 6.2, 7.1 and 6.5 h, respectively.",Toxicokinetics of permethrin biomarkers of exposure in orally exposed volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25498136/),h,6.2,139232,DB04930,Permethrin
,25498136,apparent elimination half-life (t½),"In plasma, peak concentrations of cis-DCCA, trans-DCCA and 3-PBA were reached about ≈7 h post-dosing, and elimination appeared monophasic with a mean apparent elimination half-life (t½) of 6.2, 7.1 and 6.5 h, respectively.",Toxicokinetics of permethrin biomarkers of exposure in orally exposed volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25498136/),h,7.1,139233,DB04930,Permethrin
,25498136,apparent elimination half-life (t½),"In plasma, peak concentrations of cis-DCCA, trans-DCCA and 3-PBA were reached about ≈7 h post-dosing, and elimination appeared monophasic with a mean apparent elimination half-life (t½) of 6.2, 7.1 and 6.5 h, respectively.",Toxicokinetics of permethrin biomarkers of exposure in orally exposed volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25498136/),h,6.5,139234,DB04930,Permethrin
,25498136,apparent elimination t½,"In urine, elimination rate time courses of cis-DCCA, trans-DCCA and 3-PBA evolved in parallel with plasma, with respective mean apparent elimination t½ of 4.5, 5.4 and 5.7 h.",Toxicokinetics of permethrin biomarkers of exposure in orally exposed volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25498136/),h,4.5,139235,DB04930,Permethrin
,25498136,apparent elimination t½,"In urine, elimination rate time courses of cis-DCCA, trans-DCCA and 3-PBA evolved in parallel with plasma, with respective mean apparent elimination t½ of 4.5, 5.4 and 5.7 h.",Toxicokinetics of permethrin biomarkers of exposure in orally exposed volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25498136/),h,5.4,139236,DB04930,Permethrin
,25498136,apparent elimination t½,"In urine, elimination rate time courses of cis-DCCA, trans-DCCA and 3-PBA evolved in parallel with plasma, with respective mean apparent elimination t½ of 4.5, 5.4 and 5.7 h.",Toxicokinetics of permethrin biomarkers of exposure in orally exposed volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25498136/),h,5.7,139237,DB04930,Permethrin
,16257148,elimination half-life,CDCA was detected during the first 36 h after intake with elimination being most rapid during the first 4h (mean elimination half-life: 4.2h).,Biomarker of pyrethrum exposure. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16257148/),h,4.2,152519,DB04930,Permethrin
,31593217,Cmax ratio,"Together with age-specific physiological parameters, in particular liver blood flow, the efficient metabolic clearance of pyrethroids across ages results in comparable to or even lower internal exposure in the target tissue (brain) in children than that in adults in response to the same level of exposure to a given pyrethroid (Cmax ratio in brain between 1- and 25-year old = 0.69, 0.93, and 0.94 for DLM, bifenthrin, and CPM, respectively).",Development and Application of a Life-Stage Physiologically Based Pharmacokinetic (PBPK) Model to the Assessment of Internal Dose of Pyrethroids in Humans. ,Cmax ratio-Q33,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31593217/),,0.69,184089,DB04930,Permethrin
,31593217,Cmax ratio,"Together with age-specific physiological parameters, in particular liver blood flow, the efficient metabolic clearance of pyrethroids across ages results in comparable to or even lower internal exposure in the target tissue (brain) in children than that in adults in response to the same level of exposure to a given pyrethroid (Cmax ratio in brain between 1- and 25-year old = 0.69, 0.93, and 0.94 for DLM, bifenthrin, and CPM, respectively).",Development and Application of a Life-Stage Physiologically Based Pharmacokinetic (PBPK) Model to the Assessment of Internal Dose of Pyrethroids in Humans. ,Cmax ratio-Q33,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31593217/),,0.93,184090,DB04930,Permethrin
,31593217,Cmax ratio,"Together with age-specific physiological parameters, in particular liver blood flow, the efficient metabolic clearance of pyrethroids across ages results in comparable to or even lower internal exposure in the target tissue (brain) in children than that in adults in response to the same level of exposure to a given pyrethroid (Cmax ratio in brain between 1- and 25-year old = 0.69, 0.93, and 0.94 for DLM, bifenthrin, and CPM, respectively).",Development and Application of a Life-Stage Physiologically Based Pharmacokinetic (PBPK) Model to the Assessment of Internal Dose of Pyrethroids in Humans. ,Cmax ratio-Q33,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31593217/),,0.94,184091,DB04930,Permethrin
,31428841,Terminal T1/2,Terminal T1/2 and MRT for γ-HCH and β-HCH ranged from 74.5 h to 117.1 h; carbofuran phenol presented the shortest values with 4.3 h and 4.8 h.,Blood pharmacokinetic of 17 common pesticides in mixture following a single oral exposure in rats: implications for human biomonitoring and exposure assessment. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/31428841/),h,74.5,187622,DB04930,Permethrin
,31428841,Terminal T1/2,Terminal T1/2 and MRT for γ-HCH and β-HCH ranged from 74.5 h to 117.1 h; carbofuran phenol presented the shortest values with 4.3 h and 4.8 h.,Blood pharmacokinetic of 17 common pesticides in mixture following a single oral exposure in rats: implications for human biomonitoring and exposure assessment. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/31428841/),h,4.3,187623,DB04930,Permethrin
,31428841,MRT,Terminal T1/2 and MRT for γ-HCH and β-HCH ranged from 74.5 h to 117.1 h; carbofuran phenol presented the shortest values with 4.3 h and 4.8 h.,Blood pharmacokinetic of 17 common pesticides in mixture following a single oral exposure in rats: implications for human biomonitoring and exposure assessment. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31428841/),h,117.1,187624,DB04930,Permethrin
,31428841,MRT,Terminal T1/2 and MRT for γ-HCH and β-HCH ranged from 74.5 h to 117.1 h; carbofuran phenol presented the shortest values with 4.3 h and 4.8 h.,Blood pharmacokinetic of 17 common pesticides in mixture following a single oral exposure in rats: implications for human biomonitoring and exposure assessment. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31428841/),h,4.3,187625,DB04930,Permethrin
,31428841,MRT,Terminal T1/2 and MRT for γ-HCH and β-HCH ranged from 74.5 h to 117.1 h; carbofuran phenol presented the shortest values with 4.3 h and 4.8 h.,Blood pharmacokinetic of 17 common pesticides in mixture following a single oral exposure in rats: implications for human biomonitoring and exposure assessment. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31428841/),h,4.8,187626,DB04930,Permethrin
,21376790,excretion,The amount of urinary 3PBA excretion over 48 h after cis-permethrin administration in control was 21.5±5.1 μg (mean±S.D.).,Effect of DDVP on urinary excretion levels of pyrethroid metabolite 3-phenoxybenzoic acid in rats. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21376790/),μg,21.5,189929,DB04930,Permethrin
,15947923,time of maximal urinary excretion rate,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),h,12.3,247284,DB04930,Permethrin
,15947923,time of maximal urinary excretion rate,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),h,20.0,247285,DB04930,Permethrin
,15947923,time of maximal urinary excretion rate,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),h,14.6,247286,DB04930,Permethrin
,15947923,terminal elimination half-life,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),h,32.7,247287,DB04930,Permethrin
,15947923,terminal elimination half-life,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),h,28.8,247288,DB04930,Permethrin
,15947923,terminal elimination half-life,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),h,37.8,247289,DB04930,Permethrin
,15947923,urinary recovery,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),%·M,0.35,247290,DB04930,Permethrin
,15947923,urinary recovery,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),%·M,0.47,247291,DB04930,Permethrin
,15947923,urinary recovery,"The time of maximal urinary excretion rate was 12.3, 20.0 and 14.6 h, terminal elimination half-life was 32.7, 28.8 and 37.8 h and urinary recovery of the metabolite reached 0.35, 0.47 and 0.52 M percent of the permethrin dose, respectively, in parts 1, 2 and 3 (means).",Dermal absorption of permethrin following topical administration. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15947923/),%·M,0.52,247292,DB04930,Permethrin
