Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25459109,distribution half-life (t1/2α),(111)In-BzDTPA-pertuzumab exhibited a biphasic elimination from the blood with a distribution half-life (t1/2α) of 3.8h and an elimination half-life (t1/2β) of 228.2h.,"Preclinical pharmacokinetics, biodistribution, radiation dosimetry and acute toxicity studies required for regulatory approval of a Clinical Trial Application for a Phase I/II clinical trial of (111)In-BzDTPA-pertuzumab. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25459109/),h,3.8,22880,DB06366,Pertuzumab
,25459109,elimination half-life (t1/2β),(111)In-BzDTPA-pertuzumab exhibited a biphasic elimination from the blood with a distribution half-life (t1/2α) of 3.8h and an elimination half-life (t1/2β) of 228.2h.,"Preclinical pharmacokinetics, biodistribution, radiation dosimetry and acute toxicity studies required for regulatory approval of a Clinical Trial Application for a Phase I/II clinical trial of (111)In-BzDTPA-pertuzumab. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25459109/),h,228.2,22881,DB06366,Pertuzumab
,25459109,radiation absorbed dose,The projected whole-body radiation absorbed dose in humans was 0.05mSv/MBq corresponding to a total of 16.8mSv for three separate administrations of (111)In-BzDTPA-pertuzumab (111MBq) planned for the Phase I/II trial.,"Preclinical pharmacokinetics, biodistribution, radiation dosimetry and acute toxicity studies required for regulatory approval of a Clinical Trial Application for a Phase I/II clinical trial of (111)In-BzDTPA-pertuzumab. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25459109/),[msv] / [Mbq],0.05,22882,DB06366,Pertuzumab
,25459109,radiation absorbed dose,The projected whole-body radiation absorbed dose in humans was 0.05mSv/MBq corresponding to a total of 16.8mSv for three separate administrations of (111)In-BzDTPA-pertuzumab (111MBq) planned for the Phase I/II trial.,"Preclinical pharmacokinetics, biodistribution, radiation dosimetry and acute toxicity studies required for regulatory approval of a Clinical Trial Application for a Phase I/II clinical trial of (111)In-BzDTPA-pertuzumab. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25459109/),msv,16.8,22883,DB06366,Pertuzumab
,23969513,Cmin,"In the presence of trastuzumab and docetaxel, the mean pertuzumab Cmin and Cmax in cycle 3 were 63.6 and 183 µg/ml, respectively.",Absence of pharmacokinetic drug-drug interaction of pertuzumab with trastuzumab and docetaxel. ,Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23969513/),[μg] / [ml],63.6,38779,DB06366,Pertuzumab
,23969513,Cmax,"In the presence of trastuzumab and docetaxel, the mean pertuzumab Cmin and Cmax in cycle 3 were 63.6 and 183 µg/ml, respectively.",Absence of pharmacokinetic drug-drug interaction of pertuzumab with trastuzumab and docetaxel. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23969513/),[μg] / [ml],183,38780,DB06366,Pertuzumab
,28764748,overall response rate,The overall response rate was 22% (2/9 patients had partial response) and stable disease was seen in 56% (5/9 patients).,A phase I trial of ganetespib in combination with paclitaxel and trastuzumab in patients with human epidermal growth factor receptor-2 (HER2)-positive metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28764748/),%,22,81098,DB06366,Pertuzumab
,28764748,progression-free survival,The median progression-free survival was 20 weeks (range 8-55).,A phase I trial of ganetespib in combination with paclitaxel and trastuzumab in patients with human epidermal growth factor receptor-2 (HER2)-positive metastatic breast cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28764748/),weeks,20,81099,DB06366,Pertuzumab
,27052654,MTD,"Administered with T-DM1 (3.6 mg/kg), the docetaxel MTD was 60 mg/m(2) in MBC.",Trastuzumab emtansine (T-DM1) plus docetaxel with or without pertuzumab in patients with HER2-positive locally advanced or metastatic breast cancer: results from a phase Ib/IIa study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27052654/),,60,90200,DB06366,Pertuzumab
,27052654,objective response rate,"In MBC (median prior systemic agents = 5), the objective response rate was 80.0% (20/25; 95% confidence interval [CI] 59.3-93.2) and the median progression-free survival was 13.8 months (range, 1.6-33.5).",Trastuzumab emtansine (T-DM1) plus docetaxel with or without pertuzumab in patients with HER2-positive locally advanced or metastatic breast cancer: results from a phase Ib/IIa study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27052654/),%,80,90201,DB06366,Pertuzumab
