Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9808688,terminal elimination half-life,Anti-PCP Fab serum pharmacokinetics were best described using bi- or tri-exponential curves with a terminal elimination half-life of approximately 8 hr.,Pharmacokinetic mechanisms for obtaining high renal coelimination of phencyclidine and a monoclonal antiphencyclidine antigen-binding fragment of immunoglobulin G in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9808688/),h,8,7822,DB03575,Phencyclidine
,2868866,K0,High affinity antibodies (K0 = 3 X 10(9) M-1) against the widely abused drug phencyclidine (PCP) were produced in goats and then purified and extensively characterized for use in in vivo pharmacokinetic studies.,Phencyclidine-specific Fab fragments alter phencyclidine disposition in dogs. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2868866/),1/[M],3 X 10(9),19238,DB03575,Phencyclidine
,415768,m/e,"In the electron impact mode the most abundant fragments in the mass spectrum of phencyclidine were m/e 91 and 200, and 96 and 205 in the [2H5]phencyclidine spectrum.",Plasma phencyclidine pharmacokinetics in dog and monkey using a gas chromatography selected ion monitoring assay. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/415768/),,91,21359,DB03575,Phencyclidine
,415768,m/e,"In the electron impact mode the most abundant fragments in the mass spectrum of phencyclidine were m/e 91 and 200, and 96 and 205 in the [2H5]phencyclidine spectrum.",Plasma phencyclidine pharmacokinetics in dog and monkey using a gas chromatography selected ion monitoring assay. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/415768/),,200,21360,DB03575,Phencyclidine
,415768,m/e,"In the electron impact mode the most abundant fragments in the mass spectrum of phencyclidine were m/e 91 and 200, and 96 and 205 in the [2H5]phencyclidine spectrum.",Plasma phencyclidine pharmacokinetics in dog and monkey using a gas chromatography selected ion monitoring assay. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/415768/),,96,21361,DB03575,Phencyclidine
,415768,m/e,"In the electron impact mode the most abundant fragments in the mass spectrum of phencyclidine were m/e 91 and 200, and 96 and 205 in the [2H5]phencyclidine spectrum.",Plasma phencyclidine pharmacokinetics in dog and monkey using a gas chromatography selected ion monitoring assay. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/415768/),,205,21362,DB03575,Phencyclidine
,415768,half-life (beta phase),"In monkeys, the mean half-life (beta phase) was 2.36 h and in the dog it was 2.86 h.",Plasma phencyclidine pharmacokinetics in dog and monkey using a gas chromatography selected ion monitoring assay. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/415768/),h,2.36,21363,DB03575,Phencyclidine
,415768,half-life (beta phase),"In monkeys, the mean half-life (beta phase) was 2.36 h and in the dog it was 2.86 h.",Plasma phencyclidine pharmacokinetics in dog and monkey using a gas chromatography selected ion monitoring assay. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/415768/),h,2.86,21364,DB03575,Phencyclidine
,8014850,Kd,High affinity (Kd = 1.8 nM) anti-PCP monoclonal Fab fragments were purified from papain digested anti-PCP immunoglobulin produced in mouse ascites.,Anti-phencyclidine monoclonal Fab fragments markedly alter phencyclidine pharmacokinetics in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8014850/),nM,1.8,51876,DB03575,Phencyclidine
,8014850,volume of distribution at steady state,Fab treatment caused the [3H]PCP volume of distribution at steady state to decrease from 12.6 +/- 3.0 liters/kg (mean +/- S.D.) in control animals to 0.6 +/- 0.2 liters/kg in the Fab-treated animals (about 5% of control values).,Anti-phencyclidine monoclonal Fab fragments markedly alter phencyclidine pharmacokinetics in rats. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8014850/),[l] / [kg],12.6,51877,DB03575,Phencyclidine
