Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27085800,total run time,"The total run time was 3.5min and the elution of PZ and HZ occurred at 2.53, and 1.92min, respectively; this was achieved with a mobile phase consisting of 10mM ammonium acetate: acetonitrile (20:80, v/v) at a flow rate of 1.0mL/min on an Ace C18 column with a split ratio of 70:30.",Highly sensitive LC-MS/MS-ESI method for determination of phenelzine in human plasma and its application to a human pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27085800/),min,3.5,192267,DB00780,Phenelzine
,27085800,flow rate,"The total run time was 3.5min and the elution of PZ and HZ occurred at 2.53, and 1.92min, respectively; this was achieved with a mobile phase consisting of 10mM ammonium acetate: acetonitrile (20:80, v/v) at a flow rate of 1.0mL/min on an Ace C18 column with a split ratio of 70:30.",Highly sensitive LC-MS/MS-ESI method for determination of phenelzine in human plasma and its application to a human pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27085800/),[ml] / [min],1.0,192268,DB00780,Phenelzine
,27085800,split ratio,"The total run time was 3.5min and the elution of PZ and HZ occurred at 2.53, and 1.92min, respectively; this was achieved with a mobile phase consisting of 10mM ammonium acetate: acetonitrile (20:80, v/v) at a flow rate of 1.0mL/min on an Ace C18 column with a split ratio of 70:30.",Highly sensitive LC-MS/MS-ESI method for determination of phenelzine in human plasma and its application to a human pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27085800/),,70,192269,DB00780,Phenelzine
,6883204,"inhibition constant, Ki","The inhibition constant, Ki, varied between 0.06 to 0.25 mM depending on the substrate used.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),mM,0.06 to 0.25,202239,DB00780,Phenelzine
,6883204,Ks,Phenelzine induced a type II spectral change when combined with oxidized cytochrome P-450 with a Ks value of 0.4 mM.,Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),mM,0.4,202240,DB00780,Phenelzine
,6883204,serum half-life,"The serum half-life, apparent volume of distribution, and total body clearance of antipyrine were modified to 3.6 h, 294.1 mL X kg-1, and 56.8 mL X h-1 X kg-1, respectively, from 1.5 h, 666.7 mL X kg-1, and 312.5 mL X h-1 X kg-1 when antipyrine was administered alone.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),h,3.6,202241,DB00780,Phenelzine
,6883204,apparent volume of distribution,"The serum half-life, apparent volume of distribution, and total body clearance of antipyrine were modified to 3.6 h, 294.1 mL X kg-1, and 56.8 mL X h-1 X kg-1, respectively, from 1.5 h, 666.7 mL X kg-1, and 312.5 mL X h-1 X kg-1 when antipyrine was administered alone.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),[ml] / [kg],294.1,202242,DB00780,Phenelzine
,6883204,apparent volume of distribution,"The serum half-life, apparent volume of distribution, and total body clearance of antipyrine were modified to 3.6 h, 294.1 mL X kg-1, and 56.8 mL X h-1 X kg-1, respectively, from 1.5 h, 666.7 mL X kg-1, and 312.5 mL X h-1 X kg-1 when antipyrine was administered alone.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),h,1.5,202243,DB00780,Phenelzine
,6883204,apparent volume of distribution,"The serum half-life, apparent volume of distribution, and total body clearance of antipyrine were modified to 3.6 h, 294.1 mL X kg-1, and 56.8 mL X h-1 X kg-1, respectively, from 1.5 h, 666.7 mL X kg-1, and 312.5 mL X h-1 X kg-1 when antipyrine was administered alone.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),[ml] / [kg],666.7,202244,DB00780,Phenelzine
,6883204,total body clearance,"The serum half-life, apparent volume of distribution, and total body clearance of antipyrine were modified to 3.6 h, 294.1 mL X kg-1, and 56.8 mL X h-1 X kg-1, respectively, from 1.5 h, 666.7 mL X kg-1, and 312.5 mL X h-1 X kg-1 when antipyrine was administered alone.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),[ml] / [h·kg],56.8,202245,DB00780,Phenelzine
,6883204,total body clearance,"The serum half-life, apparent volume of distribution, and total body clearance of antipyrine were modified to 3.6 h, 294.1 mL X kg-1, and 56.8 mL X h-1 X kg-1, respectively, from 1.5 h, 666.7 mL X kg-1, and 312.5 mL X h-1 X kg-1 when antipyrine was administered alone.",Inhibitory effect of phenelzine on oxidative microsomal enzyme systems of rat liver. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6883204/),[ml] / [h·kg],312.5,202246,DB00780,Phenelzine
