Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7785434,maximal plasma concentration (Cmax),"Compared studies between the pharmacokinetics of phenylpropanolamine (PPA) controlled release suspension (CRS) and that of PPA conventional tablet in 10 healthy volunteers showed that the maximal plasma concentration (Cmax), the minimal plasma concentration (Cmin) and the fluctuation index (FI) values were 169.06 +/- 7.76 ng.",[Comparison of multiple dosage bioavailability between phenylpropanolamine controlled release suspension and conventional tablet in healthy volunteers]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7785434/),ng,169.06,22486,DB00397,Phenylpropanolamine
,9247842,time to peak serum concentration,Tolterodine was rapidly absorbed following oral administration (time to peak serum concentration 0.9 +/- 0.4 h).,Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),h,0.9,23438,DB00397,Phenylpropanolamine
,9247842,absolute bioavailability,"The absolute bioavailability was highly variable, ranging from 10 to 70%.",Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),%,10 to 70,23439,DB00397,Phenylpropanolamine
,9247842,volume of distribution at steady-state,"The volume of distribution at steady-state ranged from 0.9 to 1.6 l/kg and systemic clearance ranged from 0.23 to 0.52 l/h/kg, which resulted in a terminal half-life of 2-3 h.",Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),[l] / [kg],0.9 to 1.6,23440,DB00397,Phenylpropanolamine
,9247842,systemic clearance,"The volume of distribution at steady-state ranged from 0.9 to 1.6 l/kg and systemic clearance ranged from 0.23 to 0.52 l/h/kg, which resulted in a terminal half-life of 2-3 h.",Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),[l] / [h·kg],0.23 to 0.52,23441,DB00397,Phenylpropanolamine
,9247842,terminal half-life,"The volume of distribution at steady-state ranged from 0.9 to 1.6 l/kg and systemic clearance ranged from 0.23 to 0.52 l/h/kg, which resulted in a terminal half-life of 2-3 h.",Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),h,2-3,23442,DB00397,Phenylpropanolamine
,9247842,excretion,"Following oral administration of (14C)-tolterodine, the excretion of radioactivity into urine and feces was 77 +/- 4.0% and 17 +/- 3.5%, respectively.",Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),%,77,23443,DB00397,Phenylpropanolamine
,9247842,excretion,"Following oral administration of (14C)-tolterodine, the excretion of radioactivity into urine and feces was 77 +/- 4.0% and 17 +/- 3.5%, respectively.",Pharmacokinetics and pharmacodynamics of tolterodine in man: a new drug for the treatment of urinary bladder overactivity. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9247842/),%,17,23444,DB00397,Phenylpropanolamine
,10897096,Cmax,"For the reference formulation, Cmax and AUC values were higher for (+)S-chlorpheniramine ((+)S-CPAM) compared to (-)R-chlorpheniramine ((-)R-CPAM) (13.3 vs.",Stereospecific versus nonstereospecific assessments for the bioequivalence of two formulations of racemic chlorpheniramine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10897096/),,13,34973,DB00397,Phenylpropanolamine
,10897096,Clt/F,"222 ng/ml/h, respectively) while Clt/F and Vd/F were lower (9.8 vs. 17.6 l/h and 321 vs. 627 l, respectively).",Stereospecific versus nonstereospecific assessments for the bioequivalence of two formulations of racemic chlorpheniramine. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10897096/),[l] / [h],9.8,34974,DB00397,Phenylpropanolamine
,10897096,Vd/F,"222 ng/ml/h, respectively) while Clt/F and Vd/F were lower (9.8 vs. 17.6 l/h and 321 vs. 627 l, respectively).",Stereospecific versus nonstereospecific assessments for the bioequivalence of two formulations of racemic chlorpheniramine. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10897096/),l,321,34975,DB00397,Phenylpropanolamine
,10897096,Vd/F,"222 ng/ml/h, respectively) while Clt/F and Vd/F were lower (9.8 vs. 17.6 l/h and 321 vs. 627 l, respectively).",Stereospecific versus nonstereospecific assessments for the bioequivalence of two formulations of racemic chlorpheniramine. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10897096/),l,627,34976,DB00397,Phenylpropanolamine
,8930778,oral bioavailability,"Clemastine showed a first-pass reduction in the extent of absorption, with oral bioavailability calculated as 39.2 +/- 12.4%.",The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),%,39.2,35367,DB00397,Phenylpropanolamine
,8930778,volume of distribution,"Extravascular distribution of drug was suggested by the high volume of distribution (799 +/- 315 L) and low Cmax (0.577 +/- 0.252 ng/mL/mg) observed at 4.77 +/- 2.26 hours after administration, and by the biphasic decline in plasma concentration.",The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),l,799,35368,DB00397,Phenylpropanolamine
,8930778,Cmax,"Extravascular distribution of drug was suggested by the high volume of distribution (799 +/- 315 L) and low Cmax (0.577 +/- 0.252 ng/mL/mg) observed at 4.77 +/- 2.26 hours after administration, and by the biphasic decline in plasma concentration.",The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),[ng] / [mg·ml],0.577,35369,DB00397,Phenylpropanolamine
,8930778,terminal elimination half-life (t1/2),The terminal elimination half-life (t1/2) of clemastine was 21.3 +/- 11.6 hours.,The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),h,21.3,35370,DB00397,Phenylpropanolamine
,8917241,terminal elimination half-life,"In children, the mean (+/-SEM) terminal elimination half-life values for pseudoephedrine, 3.1 +/- 0.5 hours, and for phenylpropanolamine, 2.6 +/- 0.6 hours, were significantly shorter than those found by other investigators in adults.",Pharmacokinetics of the orally administered decongestants pseudoephedrine and phenylpropanolamine in children. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8917241/),h,3.1,52266,DB00397,Phenylpropanolamine
,8917241,terminal elimination half-life,"In children, the mean (+/-SEM) terminal elimination half-life values for pseudoephedrine, 3.1 +/- 0.5 hours, and for phenylpropanolamine, 2.6 +/- 0.6 hours, were significantly shorter than those found by other investigators in adults.",Pharmacokinetics of the orally administered decongestants pseudoephedrine and phenylpropanolamine in children. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8917241/),h,2.6,52267,DB00397,Phenylpropanolamine
,21352267,urinary excretion,"Mean urinary excretion of 5-HMT following fesoterodine 4 and 8 mg, respectively, was 0.44 and 0.89 mg in EMs and 0.60 and 1.32 mg in PMs.",Comparison of pharmacokinetic variability of fesoterodine vs. tolterodine extended release in cytochrome P450 2D6 extensive and poor metabolizers. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21352267/),mg,0.44,53675,DB00397,Phenylpropanolamine
