Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,4096611,half-life,"The half-life of Phy was found to be 21.6 +/- 1.8 min (mean +/- S.E.) as determined in bile, 52.1 +/- 9.1 min as determined from serum, and the systemic clearance of Phy was .63 +/- 2.6 ml/min.",Pharmacokinetics of biliary excretion of physostigmine in rat. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),min,21.6,7694,DB00981,Physostigmine
,4096611,half-life,"The half-life of Phy was found to be 21.6 +/- 1.8 min (mean +/- S.E.) as determined in bile, 52.1 +/- 9.1 min as determined from serum, and the systemic clearance of Phy was .63 +/- 2.6 ml/min.",Pharmacokinetics of biliary excretion of physostigmine in rat. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),min,52.1,7695,DB00981,Physostigmine
,4096611,systemic clearance,"The half-life of Phy was found to be 21.6 +/- 1.8 min (mean +/- S.E.) as determined in bile, 52.1 +/- 9.1 min as determined from serum, and the systemic clearance of Phy was .63 +/- 2.6 ml/min.",Pharmacokinetics of biliary excretion of physostigmine in rat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),[ml] / [min],.63,7696,DB00981,Physostigmine
,4096611,Kel,The mean Kel was found to be .012 min-1.,Pharmacokinetics of biliary excretion of physostigmine in rat. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),1/[min],.012,7697,DB00981,Physostigmine
,4096611,biliary excretion rate constant,The biliary excretion rate constant was determined to be .014 +/- .001 min-1 for total radioactivity and .008 +/- .002 min-1 for Phy.,Pharmacokinetics of biliary excretion of physostigmine in rat. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),1/[min],.014,7698,DB00981,Physostigmine
,4096611,biliary excretion rate constant,The biliary excretion rate constant was determined to be .014 +/- .001 min-1 for total radioactivity and .008 +/- .002 min-1 for Phy.,Pharmacokinetics of biliary excretion of physostigmine in rat. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),1/[min],.008,7699,DB00981,Physostigmine
,4096611,Biliary clearance,Biliary clearance of Phy was .18 ml/min.,Pharmacokinetics of biliary excretion of physostigmine in rat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),[ml] / [min],.18,7700,DB00981,Physostigmine
,4096611,serum to bile ratio,"The serum to bile ratio of Phy at 15-30 min was 5.11, indicating rapid concentration of Phy in the bile.",Pharmacokinetics of biliary excretion of physostigmine in rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4096611/),,5.11,7701,DB00981,Physostigmine
,2273462,Apparent volumes of distribution,Apparent volumes of distribution (assuming 100% bioavailability) ranged from 1.9 to 2.2 L/kg.,Pharmacokinetics of physostigmine intramuscularly administered to guinea pigs. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2273462/),[l] / [kg],1.9 to 2.2,16552,DB00981,Physostigmine
,2273462,Systemic clearances,"Systemic clearances and elimination half-lives were 30-36 mL/min/kg and 40-50 min, respectively.",Pharmacokinetics of physostigmine intramuscularly administered to guinea pigs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2273462/),[ml] / [kg·min],30-36,16553,DB00981,Physostigmine
,2273462,elimination half-lives,"Systemic clearances and elimination half-lives were 30-36 mL/min/kg and 40-50 min, respectively.",Pharmacokinetics of physostigmine intramuscularly administered to guinea pigs. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2273462/),min,40-50,16554,DB00981,Physostigmine
,10703994,limit of detection,The calibration graph was linear over the calibration range 0.2-12 microg ml(-1) plasma with a limit of detection of 0.1 microg ml(-1).,A comparative bioavailability study of different aspirin formulations using on-line multidimensional chromatography. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10703994/),[μg] / [ml],0.1,23623,DB00981,Physostigmine
,7480518,peak plasma concentrations,"Pharmacokinetic analysis following administration of 4 or 6 mg/kg velnacrine to three aged monkeys revealed peak plasma concentrations ranging from 27 to 166 ng/ml, 30-60 min after dosing.",Velnacrine maleate improves delayed matching performance by aged monkeys. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7480518/),[ng] / [ml],27 to 166,40200,DB00981,Physostigmine
,12505780,flow-rate,"Physostigmine and eseroline were separated on an Alltech Ultrasphere Silica column (250x4.6 mm I.D.; particle size 5 micrometer) at a flow-rate of 1 ml/min, with a mobile phase of 0.01 M sodium dihydrogenphosphate (pH 3)-acetonitrile (85:15).",Simple liquid chromatographic method for the determination of physostigmine and its metabolite eseroline in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12505780/),[ml] / [min],1,41975,DB00981,Physostigmine
,12505780,limits of detection,"The limits of detection were 10 and 25 ng/ml for physostigmine and eseroline, respectively; the signal-to-noise ratio for this concentration was approximately 3:1.",Simple liquid chromatographic method for the determination of physostigmine and its metabolite eseroline in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12505780/),[ng] / [ml],10,41976,DB00981,Physostigmine
,12505780,limits of detection,"The limits of detection were 10 and 25 ng/ml for physostigmine and eseroline, respectively; the signal-to-noise ratio for this concentration was approximately 3:1.",Simple liquid chromatographic method for the determination of physostigmine and its metabolite eseroline in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12505780/),[ng] / [ml],25,41977,DB00981,Physostigmine
,12505780,signal-to-noise ratio,"The limits of detection were 10 and 25 ng/ml for physostigmine and eseroline, respectively; the signal-to-noise ratio for this concentration was approximately 3:1.",Simple liquid chromatographic method for the determination of physostigmine and its metabolite eseroline in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12505780/),,3:1,41978,DB00981,Physostigmine
,12505780,percentage recovery,"The average percentage recovery from five spiked plasma samples was 88.0+/-2.9 and 61.1+/-5.6% for physostigmine and eseroline, respectively.",Simple liquid chromatographic method for the determination of physostigmine and its metabolite eseroline in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12505780/),%,88.0,41979,DB00981,Physostigmine
,12505780,percentage recovery,"The average percentage recovery from five spiked plasma samples was 88.0+/-2.9 and 61.1+/-5.6% for physostigmine and eseroline, respectively.",Simple liquid chromatographic method for the determination of physostigmine and its metabolite eseroline in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12505780/),%,61.1,41980,DB00981,Physostigmine
,3349492,t1/2 alpha,"Pharmacokinetic evaluation of SHM revealed a t1/2 alpha of 1.7 +/- 0.7 min, t1/2 beta of 16 +/- 8.3 min, and total body clearance of 2134 +/- 735 ml/min/m2.",A pediatric phase I and pharmacokinetic study of spirohydantoin mustard. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3349492/),min,1.7,51956,DB00981,Physostigmine
,3349492,t1/2 beta,"Pharmacokinetic evaluation of SHM revealed a t1/2 alpha of 1.7 +/- 0.7 min, t1/2 beta of 16 +/- 8.3 min, and total body clearance of 2134 +/- 735 ml/min/m2.",A pediatric phase I and pharmacokinetic study of spirohydantoin mustard. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3349492/),min,16,51957,DB00981,Physostigmine
,3349492,total body clearance,"Pharmacokinetic evaluation of SHM revealed a t1/2 alpha of 1.7 +/- 0.7 min, t1/2 beta of 16 +/- 8.3 min, and total body clearance of 2134 +/- 735 ml/min/m2.",A pediatric phase I and pharmacokinetic study of spirohydantoin mustard. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3349492/),[ml] / [m2·min],2134,51958,DB00981,Physostigmine
less,3349492,cerebrospinal fluid to plasma ratios,SHM cerebrospinal fluid to plasma ratios were less than 0.047.,A pediatric phase I and pharmacokinetic study of spirohydantoin mustard. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3349492/),,0.047,51959,DB00981,Physostigmine
,2810113,apparent volume of distribution,"The results were as follows: apparent volume of distribution = 5.9 liters/kg, absorption rate half-life = 2.7 min.",Development and application of a radioimmunoassay for physostigmine. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2810113/),[l] / [kg],5.9,59647,DB00981,Physostigmine
,2810113,absorption rate half-life,"The results were as follows: apparent volume of distribution = 5.9 liters/kg, absorption rate half-life = 2.7 min.",Development and application of a radioimmunoassay for physostigmine. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2810113/),min,2.7,59648,DB00981,Physostigmine
,2810113,elimination rate half-life,"elimination rate half-life = 17.4 min, area under the curve = 118 ng x min/ml, maximal plasma concentration = 3.5 ng/ml and time to maximal plasma concentration = 7.7 min.",Development and application of a radioimmunoassay for physostigmine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2810113/),min,17.4,59649,DB00981,Physostigmine
,2810113,area under the curve,"elimination rate half-life = 17.4 min, area under the curve = 118 ng x min/ml, maximal plasma concentration = 3.5 ng/ml and time to maximal plasma concentration = 7.7 min.",Development and application of a radioimmunoassay for physostigmine. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2810113/),[min·ng] / [ml],118,59650,DB00981,Physostigmine
,2810113,maximal plasma concentration,"elimination rate half-life = 17.4 min, area under the curve = 118 ng x min/ml, maximal plasma concentration = 3.5 ng/ml and time to maximal plasma concentration = 7.7 min.",Development and application of a radioimmunoassay for physostigmine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2810113/),[ng] / [ml],3.5,59651,DB00981,Physostigmine
,2810113,time to maximal plasma concentration,"elimination rate half-life = 17.4 min, area under the curve = 118 ng x min/ml, maximal plasma concentration = 3.5 ng/ml and time to maximal plasma concentration = 7.7 min.",Development and application of a radioimmunoassay for physostigmine. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2810113/),min,7.7,59652,DB00981,Physostigmine
,1791534,nasal bioavailability,"Physostigmine nasal bioavailability was 100% as compared with iv bioavailability, and that of arecoline was 85% when compared with bioavailability following im administration.",Intranasal absorption of physostigmine and arecoline. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1791534/),%,100,64189,DB00981,Physostigmine
,1791534,nasal bioavailability,"Physostigmine nasal bioavailability was 100% as compared with iv bioavailability, and that of arecoline was 85% when compared with bioavailability following im administration.",Intranasal absorption of physostigmine and arecoline. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1791534/),%,85,64190,DB00981,Physostigmine
,3699321,half-life,"The half-life of Phy in plasma and brain was 17 and 16 min, respectively.",Distribution and pharmacokinetics of physostigmine in rat after intramuscular administration. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3699321/),min,17,74045,DB00981,Physostigmine
,3699321,half-life,"The half-life of Phy in plasma and brain was 17 and 16 min, respectively.",Distribution and pharmacokinetics of physostigmine in rat after intramuscular administration. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3699321/),min,16,74046,DB00981,Physostigmine
,3699321,brain-to-plasma ratio,The brain-to-plasma ratio of Phy peaked (1.61) at 22 min.,Distribution and pharmacokinetics of physostigmine in rat after intramuscular administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3699321/),,1.61,74047,DB00981,Physostigmine
,3699321,peak plasma concentration,Phy concentration showed that the maximum enzymatic inhibition (47%) occurred at about the same time (7 min) as the peak plasma concentration (583 ng/ml at 5 min).,Distribution and pharmacokinetics of physostigmine in rat after intramuscular administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3699321/),[ng] / [ml],583,74048,DB00981,Physostigmine
,2778001,Extraction efficiency,Extraction efficiency was 99.6%.,Application of a new radiometric high-performance liquid chromatographic assay to define physostigmine pharmacokinetics in guinea pigs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2778001/),%,99.6,80353,DB00981,Physostigmine
,2778001,maximum serum concentration,Physostigmine (5 micrograms/kg) intramuscularly administered to the guinea pig (n = 6) reached maximum serum concentration (1.5 ng/ml) in 26 min.,Application of a new radiometric high-performance liquid chromatographic assay to define physostigmine pharmacokinetics in guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2778001/),[ng] / [ml],1.5,80354,DB00981,Physostigmine
,2778001,apparent volume of distribution,"The apparent volume of distribution and systemic clearance were 1.4 l/kg and 26 ml/min/kg, respectively.",Application of a new radiometric high-performance liquid chromatographic assay to define physostigmine pharmacokinetics in guinea pigs. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2778001/),[l] / [kg],1.4,80355,DB00981,Physostigmine
,2778001,systemic clearance,"The apparent volume of distribution and systemic clearance were 1.4 l/kg and 26 ml/min/kg, respectively.",Application of a new radiometric high-performance liquid chromatographic assay to define physostigmine pharmacokinetics in guinea pigs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2778001/),[ml] / [kg·min],26,80356,DB00981,Physostigmine
,2706318,absorption rate constant (ka),"The absorption rate constant (ka) and elimination rate constant (ke) were found to be 0.1 +/- 0.07 min-1 and 0.036 +/- 0.024 min-1, respectively.",Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),1/[min],0.1,80629,DB00981,Physostigmine
,2706318,elimination rate constant (ke),"The absorption rate constant (ka) and elimination rate constant (ke) were found to be 0.1 +/- 0.07 min-1 and 0.036 +/- 0.024 min-1, respectively.",Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),1/[min],0.036,80630,DB00981,Physostigmine
,2706318,Cpmax,Cpmax and tmax were 3.3 ng ml-1 and 16 min.,Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),[ng] / [ml],3.3,80631,DB00981,Physostigmine
,2706318,tmax,Cpmax and tmax were 3.3 ng ml-1 and 16 min.,Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),min,16,80632,DB00981,Physostigmine
,2706318,clearance (C1),The clearance (C1) was found to be 80.9 ml min-1kg-1.,Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),[ml] / [min],80.9,80633,DB00981,Physostigmine
,2706318,Half-life,"Half-life of Phy in brain, muscle, and liver were 33.4 min, 22.5, and 28 min, respectively.",Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),min,33.4,80634,DB00981,Physostigmine
,2706318,Half-life,"Half-life of Phy in brain, muscle, and liver were 33.4 min, 22.5, and 28 min, respectively.",Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),min,22.5,80635,DB00981,Physostigmine
,2706318,Half-life,"Half-life of Phy in brain, muscle, and liver were 33.4 min, 22.5, and 28 min, respectively.",Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),min,28,80636,DB00981,Physostigmine
,2706318,bioavailability (F),The bioavailability (F) was calculated to be 0.02 and the extraction ratio was found to be 0.98 indicating the 'first pass' effect.,Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),,0.02,80637,DB00981,Physostigmine
,2706318,extraction ratio,The bioavailability (F) was calculated to be 0.02 and the extraction ratio was found to be 0.98 indicating the 'first pass' effect.,Pharmacokinetics and pharmacodynamics of physostigmine in the rat after oral administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2706318/),,0.98,80638,DB00981,Physostigmine
