Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16867168,t1/2,The mean t1/2 of solifenacin was extended from 49.3 to 77.5 hr whereas time to Cmax did not change.,Pharmacokinetic effect of ketoconazole on solifenacin in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16867168/),h,49.3 to 77.5,435,DB00592,Piperazine
,9433654,Renal clearance,"Renal clearance was 0.50 +/- 0.05 ml/min/kg in healthy individuals vs 0.15 +/- 0.05 ml/min/kg in patients with severe renal impairment on day 1, while the corresponding values on day 7 were 0.46 +/- 0.04 ml/min/kg vs 0.14 +/- 0.08 ml/min/kg, respectively.",Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),[ml] / [kg·min],0.50,794,DB00592,Piperazine
,9433654,Renal clearance,"Renal clearance was 0.50 +/- 0.05 ml/min/kg in healthy individuals vs 0.15 +/- 0.05 ml/min/kg in patients with severe renal impairment on day 1, while the corresponding values on day 7 were 0.46 +/- 0.04 ml/min/kg vs 0.14 +/- 0.08 ml/min/kg, respectively.",Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),[ml] / [kg·min],0.15,795,DB00592,Piperazine
,9433654,Renal clearance,"Renal clearance was 0.50 +/- 0.05 ml/min/kg in healthy individuals vs 0.15 +/- 0.05 ml/min/kg in patients with severe renal impairment on day 1, while the corresponding values on day 7 were 0.46 +/- 0.04 ml/min/kg vs 0.14 +/- 0.08 ml/min/kg, respectively.",Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),[ml] / [kg·min],0.46,796,DB00592,Piperazine
,9433654,Renal clearance,"Renal clearance was 0.50 +/- 0.05 ml/min/kg in healthy individuals vs 0.15 +/- 0.05 ml/min/kg in patients with severe renal impairment on day 1, while the corresponding values on day 7 were 0.46 +/- 0.04 ml/min/kg vs 0.14 +/- 0.08 ml/min/kg, respectively.",Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),[ml] / [kg·min],0.14,797,DB00592,Piperazine
,9433654,percentage,The percentage of grepafloxacin excreted unchanged in urine on day 1 was 5.1 +/- 3.0 in the healthy individuals and 1.5 +/- 0.7 in those with severe renal impairment.,Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),,5.1,798,DB00592,Piperazine
,9433654,percentage,The percentage of grepafloxacin excreted unchanged in urine on day 1 was 5.1 +/- 3.0 in the healthy individuals and 1.5 +/- 0.7 in those with severe renal impairment.,Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),,1.5,799,DB00592,Piperazine
,9433654,excreted unchanged in,The percentage of grepafloxacin excreted unchanged in urine on day 1 was 5.1 +/- 3.0 in the healthy individuals and 1.5 +/- 0.7 in those with severe renal impairment.,Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),,5.1,800,DB00592,Piperazine
,9433654,excreted unchanged in,The percentage of grepafloxacin excreted unchanged in urine on day 1 was 5.1 +/- 3.0 in the healthy individuals and 1.5 +/- 0.7 in those with severe renal impairment.,Effect of renal impairment on the pharmacokinetics of grepafloxacin. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9433654/),,1.5,801,DB00592,Piperazine
,9088588,peak concentration,"Itraconazole treatment did not significantly change the peak concentration of astemizole (0.74 vs 0.81 ng ml-1) but it increased the area under the curve from 0 to 24 h (5.46 to 9.95 ng ml-1 h) and from 0 to infinity (17.4 to 48.2 ng ml-1 h), and the elimination half-life (2.1 to 3.6 days).",Influence of itraconazole on the pharmacokinetics and electrocardiographic effects of astemizole. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9088588/),[ng] / [ml],0.74,981,DB00592,Piperazine
,9088588,peak concentration,"Itraconazole treatment did not significantly change the peak concentration of astemizole (0.74 vs 0.81 ng ml-1) but it increased the area under the curve from 0 to 24 h (5.46 to 9.95 ng ml-1 h) and from 0 to infinity (17.4 to 48.2 ng ml-1 h), and the elimination half-life (2.1 to 3.6 days).",Influence of itraconazole on the pharmacokinetics and electrocardiographic effects of astemizole. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9088588/),[ng] / [ml],0.81,982,DB00592,Piperazine
,9088588,area under the curve from 0 to 24 h,"Itraconazole treatment did not significantly change the peak concentration of astemizole (0.74 vs 0.81 ng ml-1) but it increased the area under the curve from 0 to 24 h (5.46 to 9.95 ng ml-1 h) and from 0 to infinity (17.4 to 48.2 ng ml-1 h), and the elimination half-life (2.1 to 3.6 days).",Influence of itraconazole on the pharmacokinetics and electrocardiographic effects of astemizole. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9088588/),[h·ng] / [ml],5.46 to 9.95,983,DB00592,Piperazine
