Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1514924,total body clearance,"Pharmacokinetic data were calculated, giving a total body clearance of 0.57 +/- 0.27 l.kg-1.h-1 (mean +/- SD), an elimination half-life of 3.44 +/- 0.90 h, and a volume of distribution of 2.77 +/- 1.45 l.kg-1.",Plasma concentrations of pralidoxime methylsulphate in organophosphorus poisoned patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1514924/),[l] / [h·kg],0.57,10351,DB00733,Pralidoxime
,1514924,elimination half-life,"Pharmacokinetic data were calculated, giving a total body clearance of 0.57 +/- 0.27 l.kg-1.h-1 (mean +/- SD), an elimination half-life of 3.44 +/- 0.90 h, and a volume of distribution of 2.77 +/- 1.45 l.kg-1.",Plasma concentrations of pralidoxime methylsulphate in organophosphorus poisoned patients. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1514924/),h,3.44,10352,DB00733,Pralidoxime
,1514924,volume of distribution,"Pharmacokinetic data were calculated, giving a total body clearance of 0.57 +/- 0.27 l.kg-1.h-1 (mean +/- SD), an elimination half-life of 3.44 +/- 0.90 h, and a volume of distribution of 2.77 +/- 1.45 l.kg-1.",Plasma concentrations of pralidoxime methylsulphate in organophosphorus poisoned patients. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1514924/),[l] / [kg],2.77,10353,DB00733,Pralidoxime
,11920923,maximum plasma concentrations (Cmax),"The maximum plasma concentrations (Cmax) were 991 and 839 ng x ml(-1) for seizure terminated and not terminated, respectively.",Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],991,13442,DB00733,Pralidoxime
,11920923,maximum plasma concentrations (Cmax),"The maximum plasma concentrations (Cmax) were 991 and 839 ng x ml(-1) for seizure terminated and not terminated, respectively.",Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],839,13443,DB00733,Pralidoxime
,11920923,plasma Cmax,The plasma Cmax in seizure-terminated animals in this study is similar to the minimum range of plasma diazepam (200-800 ng x ml(-1)) reported to suppress seizure activity in humans.,Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],200-800,13444,DB00733,Pralidoxime
,11920923,Cmax,It has been reported in an earlier study that the minimum effective i.m. dose (0.1 mg x kg(-1)) required to prevent soman-induced convulsions in Rhesus monkeys produces a mean Cmax of 50 ng x ml(-1) for diazepam.,Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],50,13445,DB00733,Pralidoxime
,11432431,absorption half-life,"The absorption half-life, elimination half-life, apparent volume of distribution and total body clearance of 2-PAM were 1.08 +/- 0.19 h, 3.14-3.19 h, 0.83-1.01 L/kg and 184.9-252.1 ml/(kg h), respectively.",Intramuscular kinetics and dosage regimens for pralidoxime in buffalo calves (Bubalus bubalis). ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11432431/),h,1.08,50861,DB00733,Pralidoxime
,11432431,total body clearance,"The absorption half-life, elimination half-life, apparent volume of distribution and total body clearance of 2-PAM were 1.08 +/- 0.19 h, 3.14-3.19 h, 0.83-1.01 L/kg and 184.9-252.1 ml/(kg h), respectively.",Intramuscular kinetics and dosage regimens for pralidoxime in buffalo calves (Bubalus bubalis). ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11432431/),[ml] / [h·kg],184.9-252.1,50862,DB00733,Pralidoxime
,1949891,Faecal elimination,Faecal elimination was low (5.8-17.2% in 72 h).,"Disposition and metabolism of acetylcholinesterase reactivators 2PAM-I, TMB4 and R665 in rats submitted to organophosphate poisoning. ",k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1949891/),%,5.8-17.2,70336,DB00733,Pralidoxime
