Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7550984,detection limit,The assay allowed the simultaneous determination of all analytes in 1 ml of urine and the detection limit was 2 ng/ml with a signal-to-noise ratio of 3.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),[ng] / [ml],2,6147,DB01588,Prazepam
,7550984,signal-to-noise ratio,The assay allowed the simultaneous determination of all analytes in 1 ml of urine and the detection limit was 2 ng/ml with a signal-to-noise ratio of 3.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),,3,6148,DB01588,Prazepam
>,7550984,Recoveries,Recoveries of the analytes and the internal standard (prazepam) were > 82%.,Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,82,6149,DB01588,Prazepam
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,3.9,6150,DB01588,Prazepam
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,6.6,6151,DB01588,Prazepam
,7550984,cumulative urinary excretions,"The mean (+/- S.D.) cumulative urinary excretions of DMDZP, TZP and OZP over 96 h after a single oral administration of DZP were 3.9 +/- 0.4, 6.6 +/- 1.4 and 2.8 +/- 0.6% of the dose, respectively.",Development and preliminary application of high-performance liquid chromatographic assay of urinary metabolites of diazepam in humans. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7550984/),%,2.8,6152,DB01588,Prazepam
,6790396,elimination half life,"The time course of the active metabolite descyclopropylmethylprazepam (= norprazepam), representing 80-90% of all prazepam metabolites in plasma, can be described by an open one compartment model with a mean elimination half life of 70 h and a plasma clearance of 1.0-1.4 l/h.",[Pharmacokinetics of oral prazepam]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6790396/),h,70,73119,DB01588,Prazepam
,6790396,plasma clearance,"The time course of the active metabolite descyclopropylmethylprazepam (= norprazepam), representing 80-90% of all prazepam metabolites in plasma, can be described by an open one compartment model with a mean elimination half life of 70 h and a plasma clearance of 1.0-1.4 l/h.",[Pharmacokinetics of oral prazepam]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6790396/),[l] / [h],1.0-1.4,73120,DB01588,Prazepam
,6790396,peak levels,"3-5 h after single doses of 20 mg prazepam, the corresponding peak levels of norprazepam are 120-160 ng/ml.",[Pharmacokinetics of oral prazepam]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6790396/),[ng] / [ml],120-160,73121,DB01588,Prazepam
,6790396,steady state levels,Following repeated doses of daily 20 mg prazepam steady state levels of norprazepam are 600-800 ng/ml.,[Pharmacokinetics of oral prazepam]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6790396/),[ng] / [ml],600-800,73122,DB01588,Prazepam
,1673390,p,"However, benzodiazepines with a pKa (base) within the range 1.6-6.2 were stored in adipose tissue (ASI greater than 1), whereas those with pKa greater than 7 were not (ASI less than 1).",Kinetics of distribution and adipose tissue storage as a function of lipophilicity and chemical structure. II. Benzodiazepines. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1673390/),,1.6-6.2,85734,DB01588,Prazepam
,6114911,KD,Investigation of the binding of prazepam and metabolites to benzodiazepine receptors in rat brain homogenates reveals that prazepam has only a weak affinity to the receptor(s) with a KD of 1 microM.,[Molecular mechanism of action of benzodiazepines]. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6114911/),μM,1,115516,DB01588,Prazepam
,6114911,KD,"Its metabolite, descyclopropylmethyl-prazepam (= norprazepam) binds about 100 times more strongly (KD congruent to 15 nM).",[Molecular mechanism of action of benzodiazepines]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6114911/),nM,15,115517,DB01588,Prazepam
,6772370,Volume of distribution,"Volume of distribution of total DMDZ (range, 1.33 to 6.30 l/kg) and of unbound DMDZ after correction for protein binding (range, 43 to 243 l/kg) was larger in women than in men of all ages, and in the elderly as opposed to the young.",Desmethyldiazepam kinetics in the elderly after oral prazepam. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6772370/),[l] / [kg],1.33 to 6.30,248494,DB01588,Prazepam
,6772370,protein binding,"Volume of distribution of total DMDZ (range, 1.33 to 6.30 l/kg) and of unbound DMDZ after correction for protein binding (range, 43 to 243 l/kg) was larger in women than in men of all ages, and in the elderly as opposed to the young.",Desmethyldiazepam kinetics in the elderly after oral prazepam. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6772370/),[l] / [kg],43 to 243,248495,DB01588,Prazepam
,6772370,Elimination half-life,"Elimination half-life (range, 29 to 224 hr) rose with age in men (r = 0.66, p < 0.01) but not in women (r = -0.02).",Desmethyldiazepam kinetics in the elderly after oral prazepam. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6772370/),h,29 to 224,248496,DB01588,Prazepam
,6772370,Clearance of unbound,"Clearance of unbound DMDZ (range, 2.9 to 31.2 ml/min/kg) was greater in women than in men of all ages, and declined with age in men (r = -0.40) but not in women (r = -0.06).",Desmethyldiazepam kinetics in the elderly after oral prazepam. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6772370/),[ml] / [kg·min],2.9 to 31.2,248497,DB01588,Prazepam
