Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16840188,overall response rate,"Best response included five CR, six PR, one SD and one PD with an overall response rate of 85% and complete response rate of 38%.","Rituximab, bevacizumab and CHOP (RA-CHOP) in untreated diffuse large B-cell lymphoma: safety, biomarker and pharmacokinetic analysis. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16840188/),%,85,284,DB00635,Prednisone
,16840188,complete response rate,"Best response included five CR, six PR, one SD and one PD with an overall response rate of 85% and complete response rate of 38%.","Rituximab, bevacizumab and CHOP (RA-CHOP) in untreated diffuse large B-cell lymphoma: safety, biomarker and pharmacokinetic analysis. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16840188/),%,38,285,DB00635,Prednisone
,15049798,Half-life (T(1/2)),"Half-life (T(1/2)) and terminal T(1/2) were 9.7 (7.1-24.6) and 10.8 (4.4-95.2) hours (median, range) respectively at month 1, and were 9.6 (5-17.8) and 12.1 (4.7-71.0) hours respectively at month 3.",Short sirolimus half-life in pediatric renal transplant recipients on a calcineurin inhibitor-free protocol. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15049798/),h,9.7,1318,DB00635,Prednisone
,15049798,Half-life (T(1/2)),"Half-life (T(1/2)) and terminal T(1/2) were 9.7 (7.1-24.6) and 10.8 (4.4-95.2) hours (median, range) respectively at month 1, and were 9.6 (5-17.8) and 12.1 (4.7-71.0) hours respectively at month 3.",Short sirolimus half-life in pediatric renal transplant recipients on a calcineurin inhibitor-free protocol. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15049798/),h,9.6,1319,DB00635,Prednisone
,15049798,terminal T(1/2),"Half-life (T(1/2)) and terminal T(1/2) were 9.7 (7.1-24.6) and 10.8 (4.4-95.2) hours (median, range) respectively at month 1, and were 9.6 (5-17.8) and 12.1 (4.7-71.0) hours respectively at month 3.",Short sirolimus half-life in pediatric renal transplant recipients on a calcineurin inhibitor-free protocol. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15049798/),h,10.8,1320,DB00635,Prednisone
,15049798,terminal T(1/2),"Half-life (T(1/2)) and terminal T(1/2) were 9.7 (7.1-24.6) and 10.8 (4.4-95.2) hours (median, range) respectively at month 1, and were 9.6 (5-17.8) and 12.1 (4.7-71.0) hours respectively at month 3.",Short sirolimus half-life in pediatric renal transplant recipients on a calcineurin inhibitor-free protocol. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15049798/),h,12.1,1321,DB00635,Prednisone
,12780669,area under the concentration-time curve (AUC0-12),"The am and pm doses were independently adjusted to achieve a 12-h area under the concentration-time curve (AUC0-12) of 6600-7200 nghr/mL and morning trough level (C0) of 250-325 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[nghr] / [ml],6600-7200,3025,DB00635,Prednisone
,12780669,trough level (C0),"The am and pm doses were independently adjusted to achieve a 12-h area under the concentration-time curve (AUC0-12) of 6600-7200 nghr/mL and morning trough level (C0) of 250-325 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[ng] / [ml],250-325,3026,DB00635,Prednisone
,12780669,AUC0-12,"Mean AUC0-12 in 1 wk, 1, 3, 6, and 12 months were 7810 +/- 1880 nghr/mL, 9057 +/- 2097 nghr/mL, 7674 +/- 1912 nghr/mL, 7132 +/- 2040 nghr/mL, and 6503 +/- 1410 ngl/h with corresponding C0 of 301 +/- 79 ng/mL, 316 +/- 66 ng/mL, 275 +/- 59 ng/mL, 273 +/- 66 ng/mL, and 224 +/- 49 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[nghr] / [ml],7810,3027,DB00635,Prednisone
,12780669,AUC0-12,"Mean AUC0-12 in 1 wk, 1, 3, 6, and 12 months were 7810 +/- 1880 nghr/mL, 9057 +/- 2097 nghr/mL, 7674 +/- 1912 nghr/mL, 7132 +/- 2040 nghr/mL, and 6503 +/- 1410 ngl/h with corresponding C0 of 301 +/- 79 ng/mL, 316 +/- 66 ng/mL, 275 +/- 59 ng/mL, 273 +/- 66 ng/mL, and 224 +/- 49 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[nghr] / [ml],9057,3028,DB00635,Prednisone
,12780669,AUC0-12,"Mean AUC0-12 in 1 wk, 1, 3, 6, and 12 months were 7810 +/- 1880 nghr/mL, 9057 +/- 2097 nghr/mL, 7674 +/- 1912 nghr/mL, 7132 +/- 2040 nghr/mL, and 6503 +/- 1410 ngl/h with corresponding C0 of 301 +/- 79 ng/mL, 316 +/- 66 ng/mL, 275 +/- 59 ng/mL, 273 +/- 66 ng/mL, and 224 +/- 49 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[nghr] / [ml],7674,3029,DB00635,Prednisone
,12780669,AUC0-12,"Mean AUC0-12 in 1 wk, 1, 3, 6, and 12 months were 7810 +/- 1880 nghr/mL, 9057 +/- 2097 nghr/mL, 7674 +/- 1912 nghr/mL, 7132 +/- 2040 nghr/mL, and 6503 +/- 1410 ngl/h with corresponding C0 of 301 +/- 79 ng/mL, 316 +/- 66 ng/mL, 275 +/- 59 ng/mL, 273 +/- 66 ng/mL, and 224 +/- 49 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[nghr] / [ml],7132,3030,DB00635,Prednisone
,12780669,AUC0-12,"Mean AUC0-12 in 1 wk, 1, 3, 6, and 12 months were 7810 +/- 1880 nghr/mL, 9057 +/- 2097 nghr/mL, 7674 +/- 1912 nghr/mL, 7132 +/- 2040 nghr/mL, and 6503 +/- 1410 ngl/h with corresponding C0 of 301 +/- 79 ng/mL, 316 +/- 66 ng/mL, 275 +/- 59 ng/mL, 273 +/- 66 ng/mL, and 224 +/- 49 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[ngl] / [h],6503,3031,DB00635,Prednisone
,12780669,C0,"Mean AUC0-12 in 1 wk, 1, 3, 6, and 12 months were 7810 +/- 1880 nghr/mL, 9057 +/- 2097 nghr/mL, 7674 +/- 1912 nghr/mL, 7132 +/- 2040 nghr/mL, and 6503 +/- 1410 ngl/h with corresponding C0 of 301 +/- 79 ng/mL, 316 +/- 66 ng/mL, 275 +/- 59 ng/mL, 273 +/- 66 ng/mL, and 224 +/- 49 ng/mL, respectively.",Effect of cyclosporin pharmacokinetics on renal allograft outcome in African-Americans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12780669/),[ng] / [ml],301,3032,DB00635,Prednisone
