Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26538319,systemic clearance,"The systemic clearance was 0.47 ± 0.16 L/h/kg, the steady-state volume of the distribution was 1.21 ± 0.23 L/kg, and the elimination half-life was 2.85 ± 1.35 h.",Pharmacokinetics of procaterol in thoroughbred horses. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26538319/),[l] / [h·kg],0.47,17152,DB01366,Procaterol
,26538319,steady-state volume of the distribution,"The systemic clearance was 0.47 ± 0.16 L/h/kg, the steady-state volume of the distribution was 1.21 ± 0.23 L/kg, and the elimination half-life was 2.85 ± 1.35 h.",Pharmacokinetics of procaterol in thoroughbred horses. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26538319/),[l] / [kg],1.21,17153,DB01366,Procaterol
,26538319,elimination half-life,"The systemic clearance was 0.47 ± 0.16 L/h/kg, the steady-state volume of the distribution was 1.21 ± 0.23 L/kg, and the elimination half-life was 2.85 ± 1.35 h.",Pharmacokinetics of procaterol in thoroughbred horses. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/26538319/),h,2.85,17154,DB01366,Procaterol
,11360692,detection limit,The detection limit of plasma procaterol was 5 ng.L-1.,Determination of procaterol in human plasma by gas chromatography/electron impact ionization mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11360692/),[ng] / [l],5,38659,DB01366,Procaterol
,11360692,recovery,The average recovery of the assay was 99.1% +/- 1.3%.,Determination of procaterol in human plasma by gas chromatography/electron impact ionization mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11360692/),%,99.1,38660,DB01366,Procaterol
,26990656,urine concentrations,"Likewise, urine concentrations were higher (P ≤ 0.01) for asthmatics than non-asthmatics 4 (47 ± 12 vs. 28 ± 9 ng/mL) and 8 h (39 ± 9 vs. 15 ± 5 ng/mL) after oral administration.",Pharmacokinetics of nebulized and oral procaterol in asthmatic and non-asthmatic subjects in relation to doping analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26990656/),[ng] / [ml],47,46076,DB01366,Procaterol
,26990656,urine concentrations,"Likewise, urine concentrations were higher (P ≤ 0.01) for asthmatics than non-asthmatics 4 (47 ± 12 vs. 28 ± 9 ng/mL) and 8 h (39 ± 9 vs. 15 ± 5 ng/mL) after oral administration.",Pharmacokinetics of nebulized and oral procaterol in asthmatic and non-asthmatic subjects in relation to doping analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26990656/),[ng] / [ml],28,46077,DB01366,Procaterol
,26990656,urine concentrations,"Likewise, urine concentrations were higher (P ≤ 0.01) for asthmatics than non-asthmatics 4 (47 ± 12 vs. 28 ± 9 ng/mL) and 8 h (39 ± 9 vs. 15 ± 5 ng/mL) after oral administration.",Pharmacokinetics of nebulized and oral procaterol in asthmatic and non-asthmatic subjects in relation to doping analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26990656/),[ng] / [ml],39,46078,DB01366,Procaterol
,26990656,urine concentrations,"Likewise, urine concentrations were higher (P ≤ 0.01) for asthmatics than non-asthmatics 4 (47 ± 12 vs. 28 ± 9 ng/mL) and 8 h (39 ± 9 vs. 15 ± 5 ng/mL) after oral administration.",Pharmacokinetics of nebulized and oral procaterol in asthmatic and non-asthmatic subjects in relation to doping analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26990656/),[ng] / [ml],15,46079,DB01366,Procaterol
,8483846,Cmax,"Following tablet administration, the mean Cmax was 358 pg/mL and the corresponding mean tmax was 1.6 hr.",Clinical pharmacokinetics and relative bioavailability of oral procaterol. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8483846/),[pg] / [ml],358,149070,DB01366,Procaterol
