Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21749268,peak drug concentration-C(max),"The tablet displayed significantly (p < 0.05) optimized peak drug concentration-C(max) (45 ± 3.42 vs. 64.5 ± 4.03), extended half life-t(1/2) (16.071 ± 3.97 vs. 5.257 ± 1.314 h) and bioequivalence to the reference tablet taken three times a day (1409 ± 15 ng·h/mL vs. 1346 ± 23 ng h/mL).",Once daily controlled release matrix tablet of Prochlorperazine maleate: influence of Ethocel® and/or Methocel® on in vitro drug release and bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21749268/),,45,6413,DB00433,Prochlorperazine
,21749268,peak drug concentration-C(max),"The tablet displayed significantly (p < 0.05) optimized peak drug concentration-C(max) (45 ± 3.42 vs. 64.5 ± 4.03), extended half life-t(1/2) (16.071 ± 3.97 vs. 5.257 ± 1.314 h) and bioequivalence to the reference tablet taken three times a day (1409 ± 15 ng·h/mL vs. 1346 ± 23 ng h/mL).",Once daily controlled release matrix tablet of Prochlorperazine maleate: influence of Ethocel® and/or Methocel® on in vitro drug release and bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21749268/),,64.5,6414,DB00433,Prochlorperazine
,21749268,half life-t(1/2),"The tablet displayed significantly (p < 0.05) optimized peak drug concentration-C(max) (45 ± 3.42 vs. 64.5 ± 4.03), extended half life-t(1/2) (16.071 ± 3.97 vs. 5.257 ± 1.314 h) and bioequivalence to the reference tablet taken three times a day (1409 ± 15 ng·h/mL vs. 1346 ± 23 ng h/mL).",Once daily controlled release matrix tablet of Prochlorperazine maleate: influence of Ethocel® and/or Methocel® on in vitro drug release and bioavailability. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21749268/),h,16.071,6415,DB00433,Prochlorperazine
,21749268,half life-t(1/2),"The tablet displayed significantly (p < 0.05) optimized peak drug concentration-C(max) (45 ± 3.42 vs. 64.5 ± 4.03), extended half life-t(1/2) (16.071 ± 3.97 vs. 5.257 ± 1.314 h) and bioequivalence to the reference tablet taken three times a day (1409 ± 15 ng·h/mL vs. 1346 ± 23 ng h/mL).",Once daily controlled release matrix tablet of Prochlorperazine maleate: influence of Ethocel® and/or Methocel® on in vitro drug release and bioavailability. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21749268/),h,5.257,6416,DB00433,Prochlorperazine
,21749268,half life-t(1/2),"The tablet displayed significantly (p < 0.05) optimized peak drug concentration-C(max) (45 ± 3.42 vs. 64.5 ± 4.03), extended half life-t(1/2) (16.071 ± 3.97 vs. 5.257 ± 1.314 h) and bioequivalence to the reference tablet taken three times a day (1409 ± 15 ng·h/mL vs. 1346 ± 23 ng h/mL).",Once daily controlled release matrix tablet of Prochlorperazine maleate: influence of Ethocel® and/or Methocel® on in vitro drug release and bioavailability. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21749268/),[h·ng] / [ml],1409,6417,DB00433,Prochlorperazine
,21749268,half life-t(1/2),"The tablet displayed significantly (p < 0.05) optimized peak drug concentration-C(max) (45 ± 3.42 vs. 64.5 ± 4.03), extended half life-t(1/2) (16.071 ± 3.97 vs. 5.257 ± 1.314 h) and bioequivalence to the reference tablet taken three times a day (1409 ± 15 ng·h/mL vs. 1346 ± 23 ng h/mL).",Once daily controlled release matrix tablet of Prochlorperazine maleate: influence of Ethocel® and/or Methocel® on in vitro drug release and bioavailability. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21749268/),[h·ng] / [ml],1346,6418,DB00433,Prochlorperazine
,19682959,flow rate,"A mobile phase containing 10mM ammonium acetate (pH 3.6)-methanol-acetonitrile (27:68:5, v/v/v) was used isocratically eluting at a flow rate of 0.22ml/min.",Quantification of prochlorperazine maleate in human plasma by liquid chromatography-mass spectrometry: Application to a bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19682959/),[ml] / [min],0.22,26009,DB00433,Prochlorperazine
,19682959,extraction recovery,"The average extraction recovery of prochlorperazine and internal standard were 81.8+/-2.2% and 79.5+/-3.7%, respectively.",Quantification of prochlorperazine maleate in human plasma by liquid chromatography-mass spectrometry: Application to a bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19682959/),%,81.8,26010,DB00433,Prochlorperazine
,19682959,extraction recovery,"The average extraction recovery of prochlorperazine and internal standard were 81.8+/-2.2% and 79.5+/-3.7%, respectively.",Quantification of prochlorperazine maleate in human plasma by liquid chromatography-mass spectrometry: Application to a bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19682959/),%,79.5,26011,DB00433,Prochlorperazine
,1583079,peak serum concentrations,"The peak serum concentrations ranged from 402 to 5,608 ng/ml.",Pharmacokinetics and safety of prochlorperazine in paediatric patients receiving cancer chemotherapy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583079/),[ng] / [ml],"402 to 5,608",61691,DB00433,Prochlorperazine
,1583079,total clearance,"The total clearance and elimination half-life ranged from 0.03 to 0.28 (mean: 0.12) litre/kg/h, and from 1.2 to 15.5 (mean: 5.6) h, respectively.",Pharmacokinetics and safety of prochlorperazine in paediatric patients receiving cancer chemotherapy. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583079/),[l] / [h·kg],0.03 to 0.28,61692,DB00433,Prochlorperazine
,1583079,total clearance,"The total clearance and elimination half-life ranged from 0.03 to 0.28 (mean: 0.12) litre/kg/h, and from 1.2 to 15.5 (mean: 5.6) h, respectively.",Pharmacokinetics and safety of prochlorperazine in paediatric patients receiving cancer chemotherapy. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583079/),[l] / [h·kg],0.12,61693,DB00433,Prochlorperazine
,1583079,elimination half-life,"The total clearance and elimination half-life ranged from 0.03 to 0.28 (mean: 0.12) litre/kg/h, and from 1.2 to 15.5 (mean: 5.6) h, respectively.",Pharmacokinetics and safety of prochlorperazine in paediatric patients receiving cancer chemotherapy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583079/),[l] / [h·kg],0.12,61694,DB00433,Prochlorperazine
,1583079,elimination half-life,"The total clearance and elimination half-life ranged from 0.03 to 0.28 (mean: 0.12) litre/kg/h, and from 1.2 to 15.5 (mean: 5.6) h, respectively.",Pharmacokinetics and safety of prochlorperazine in paediatric patients receiving cancer chemotherapy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1583079/),h,5.6,61695,DB00433,Prochlorperazine
,21990013,run time,"Deproteinized plasma specimens were separated using a 3 µm particle size octadecylsilyl column, and the run time was 10 min.",Simultaneous determination of prochlorperazine and its metabolites in human plasma using isocratic liquid chromatography tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21990013/),min,10,71036,DB00433,Prochlorperazine
,2591437,maximum tolerated dose,The maximum tolerated dose was 1.2 mg/kg.,A dose finding study of prochlorperazine as an antiemetic for cancer chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2591437/),[mg] / [kg],1.2,89140,DB00433,Prochlorperazine
,2591437,terminal elimination half life,"The average terminal elimination half life was 7.6 +/- 0.4 h, plasma clearance 27 +/- 5 ml/min/kg and volume of distribution 17.7 +/- 4.5 l/kg.",A dose finding study of prochlorperazine as an antiemetic for cancer chemotherapy. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2591437/),h,7.6,89141,DB00433,Prochlorperazine
,2591437,plasma clearance,"The average terminal elimination half life was 7.6 +/- 0.4 h, plasma clearance 27 +/- 5 ml/min/kg and volume of distribution 17.7 +/- 4.5 l/kg.",A dose finding study of prochlorperazine as an antiemetic for cancer chemotherapy. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2591437/),[ml] / [kg·min],27,89142,DB00433,Prochlorperazine
,2591437,volume of distribution,"The average terminal elimination half life was 7.6 +/- 0.4 h, plasma clearance 27 +/- 5 ml/min/kg and volume of distribution 17.7 +/- 4.5 l/kg.",A dose finding study of prochlorperazine as an antiemetic for cancer chemotherapy. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2591437/),[l] / [kg],17.7,89143,DB00433,Prochlorperazine
,8453681,maximal tolerated dose (MTD),The maximal tolerated dose (MTD) of PCZ in this schedule was 75 mg/m2.,Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),[mg] / [m],75,123132,DB00433,Prochlorperazine
,8453681,peak plasma PCZ levels,Pharmacokinetic analysis indicated a large interpatient variation in peak plasma PCZ levels that ranged from 95 to 1100 ng/ml.,Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),[ng] / [ml],95 to 1100,123133,DB00433,Prochlorperazine
,8453681,t1/2 alpha,"The three plasma half-lives of PCZ were: t1/2 alpha (+/- SE), 20.9 +/- 5.3 min; t1/2 beta, 1.8 +/- 0.3 h; and t1/2 gamma, 21.9 +/- 5.3 h.",Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),min,20.9,123134,DB00433,Prochlorperazine
,8453681,t1/2 beta,"The three plasma half-lives of PCZ were: t1/2 alpha (+/- SE), 20.9 +/- 5.3 min; t1/2 beta, 1.8 +/- 0.3 h; and t1/2 gamma, 21.9 +/- 5.3 h.",Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),h,1.8,123135,DB00433,Prochlorperazine
,8453681,t1/2 gamma,"The three plasma half-lives of PCZ were: t1/2 alpha (+/- SE), 20.9 +/- 5.3 min; t1/2 beta, 1.8 +/- 0.3 h; and t1/2 gamma, 21.9 +/- 5.3 h.",Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),h,21.9,123136,DB00433,Prochlorperazine
,8453681,volume of distribution (Vd),"The volume of distribution (Vd), total clearance (ClT), and area under the curve (AUC) for PCZ were 2254 +/- 886 l/m2, 60.2 +/- 13.5 l m-2 h-1, and 1624 +/- 686 ng ml-1 h, respectively.",Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),[l] / [m2],2254,123137,DB00433,Prochlorperazine
,8453681,total clearance (ClT),"The volume of distribution (Vd), total clearance (ClT), and area under the curve (AUC) for PCZ were 2254 +/- 886 l/m2, 60.2 +/- 13.5 l m-2 h-1, and 1624 +/- 686 ng ml-1 h, respectively.",Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),[l] / [(m)^2·h],60.2,123138,DB00433,Prochlorperazine
,8453681,area under the curve (AUC),"The volume of distribution (Vd), total clearance (ClT), and area under the curve (AUC) for PCZ were 2254 +/- 886 l/m2, 60.2 +/- 13.5 l m-2 h-1, and 1624 +/- 686 ng ml-1 h, respectively.",Prochlorperazine as a doxorubicin-efflux blocker: phase I clinical and pharmacokinetics studies. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453681/),[h·ng] / [ml],1624,123139,DB00433,Prochlorperazine
