Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11108871,C(max),A single dose of 100 mg resulted in a mean C(max) of 31.53 +/- 9.15 nmol/l with a T(max) of 6.92 +/- 3.12 h.,Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),[nM] / [l],31.53,387,DB00396,Progesterone
,11108871,T(max),A single dose of 100 mg resulted in a mean C(max) of 31.53 +/- 9.15 nmol/l with a T(max) of 6.92 +/- 3.12 h.,Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),h,6.92,388,DB00396,Progesterone
,11108871,terminal half-life,The terminal half-life was 16.39 +/- 5.25 h.,Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),h,16.39,389,DB00396,Progesterone
,11108871,T(max),"Results indicated a similar mean T(max) of 6.92 +/- 3.12 and 6.23 +/- 6.57 h, respectively.",Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),h,6.92,390,DB00396,Progesterone
,11108871,T(max),"Results indicated a similar mean T(max) of 6.92 +/- 3.12 and 6.23 +/- 6.57 h, respectively.",Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),h,6.23,391,DB00396,Progesterone
,11108871,C(max),"However, a significantly higher C(max) was achieved by the vaginal tablet (31.95 +/- 9.15 and 23.85 +/- 9.57 nmol/l, respectively, P < 0.05).",Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),[nM] / [l],31.95,392,DB00396,Progesterone
,11108871,C(max),"However, a significantly higher C(max) was achieved by the vaginal tablet (31.95 +/- 9.15 and 23.85 +/- 9.57 nmol/l, respectively, P < 0.05).",Pharmacokinetics of the progesterone-containing vaginal tablet and its use in assisted reproduction. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11108871/),[nM] / [l],23.85,393,DB00396,Progesterone
,3572801,maximal levels,"After a single oral dose of 25 mg/kg (n = 11) or 10 mg/kg (n = 11) to normal volunteers, plasma concentrations of progesterone receptor-reactive material reached maximal levels of 754 +/- 288 (mean +/- S.D.) and 517 +/- 183 micrograms/dl.",Pharmacokinetic properties of the antiglucocorticoid and antiprogesterone steroid RU 486 in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3572801/),[μg] / [dl],754,479,DB00396,Progesterone
,3572801,maximal levels,"After a single oral dose of 25 mg/kg (n = 11) or 10 mg/kg (n = 11) to normal volunteers, plasma concentrations of progesterone receptor-reactive material reached maximal levels of 754 +/- 288 (mean +/- S.D.) and 517 +/- 183 micrograms/dl.",Pharmacokinetic properties of the antiglucocorticoid and antiprogesterone steroid RU 486 in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3572801/),[μg] / [dl],517,480,DB00396,Progesterone
,3572801,apparent plasma half-lives,The respective apparent plasma half-lives were 19.2 +/- 7.0 and 20.6 +/- 7.7 h.,Pharmacokinetic properties of the antiglucocorticoid and antiprogesterone steroid RU 486 in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3572801/),h,19.2,481,DB00396,Progesterone
