Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10945315,oral clearances,"In subjects in the extensive metabolizer group, coadministration of propafenone decreased oral clearances of R-(-)-mexiletine (from 41+/-11 L/h to 28+/-7 L/h) and S-(+)-mexiletine (from 43+/-15 L/h to 29+/-11 L/h) to an extent such that these values were no longer different between the extensive and the poor metabolizer groups.",Pharmacokinetic and pharmacodynamic interaction between mexiletine and propafenone in human beings. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10945315/),[l] / [h],41,6655,DB01182,Propafenone
,10945315,oral clearances,"In subjects in the extensive metabolizer group, coadministration of propafenone decreased oral clearances of R-(-)-mexiletine (from 41+/-11 L/h to 28+/-7 L/h) and S-(+)-mexiletine (from 43+/-15 L/h to 29+/-11 L/h) to an extent such that these values were no longer different between the extensive and the poor metabolizer groups.",Pharmacokinetic and pharmacodynamic interaction between mexiletine and propafenone in human beings. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10945315/),[l] / [h],28,6656,DB01182,Propafenone
,10945315,oral clearances,"In subjects in the extensive metabolizer group, coadministration of propafenone decreased oral clearances of R-(-)-mexiletine (from 41+/-11 L/h to 28+/-7 L/h) and S-(+)-mexiletine (from 43+/-15 L/h to 29+/-11 L/h) to an extent such that these values were no longer different between the extensive and the poor metabolizer groups.",Pharmacokinetic and pharmacodynamic interaction between mexiletine and propafenone in human beings. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10945315/),[l] / [h],43,6657,DB01182,Propafenone
,10945315,oral clearances,"In subjects in the extensive metabolizer group, coadministration of propafenone decreased oral clearances of R-(-)-mexiletine (from 41+/-11 L/h to 28+/-7 L/h) and S-(+)-mexiletine (from 43+/-15 L/h to 29+/-11 L/h) to an extent such that these values were no longer different between the extensive and the poor metabolizer groups.",Pharmacokinetic and pharmacodynamic interaction between mexiletine and propafenone in human beings. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10945315/),[l] / [h],29,6658,DB01182,Propafenone
<,15743979,Km,"In a substrate depletion assay without plasma, rat and human hepatocytes showed a concentration-dependent elimination of propafenone with low Km values (<0.4 microM).",Nonlinear pharmacokinetics of propafenone in rats and humans: application of a substrate depletion assay using hepatocytes for assessment of nonlinearity. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15743979/),μM,0.4,21094,DB01182,Propafenone
,15743979,plasma binding (unbound fraction,"The differing effect of adding plasma in rat and human hepatocytes can be explained by species differences in plasma binding (unbound fraction, 0.0071 versus 0.0754 for rats and humans, respectively, at 0.1 microg/ml).",Nonlinear pharmacokinetics of propafenone in rats and humans: application of a substrate depletion assay using hepatocytes for assessment of nonlinearity. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15743979/),,0.0071,21095,DB01182,Propafenone
,15743979,plasma binding (unbound fraction,"The differing effect of adding plasma in rat and human hepatocytes can be explained by species differences in plasma binding (unbound fraction, 0.0071 versus 0.0754 for rats and humans, respectively, at 0.1 microg/ml).",Nonlinear pharmacokinetics of propafenone in rats and humans: application of a substrate depletion assay using hepatocytes for assessment of nonlinearity. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15743979/),,0.0754,21096,DB01182,Propafenone
,10591535,bioavailability,"However, bioavailability of propafenone dropped from 30 +/- 15% to 10 +/- 8% in extensive metabolizers (P < 0.01) and from 81 +/- 6% to 48 +/- 8% in poor metabolizers (P < 0.001).",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),%,30,22338,DB01182,Propafenone
,10591535,bioavailability,"However, bioavailability of propafenone dropped from 30 +/- 15% to 10 +/- 8% in extensive metabolizers (P < 0.01) and from 81 +/- 6% to 48 +/- 8% in poor metabolizers (P < 0.001).",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),%,10,22339,DB01182,Propafenone
,10591535,bioavailability,"However, bioavailability of propafenone dropped from 30 +/- 15% to 10 +/- 8% in extensive metabolizers (P < 0.01) and from 81 +/- 6% to 48 +/- 8% in poor metabolizers (P < 0.001).",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),%,81,22340,DB01182,Propafenone
,10591535,bioavailability,"However, bioavailability of propafenone dropped from 30 +/- 15% to 10 +/- 8% in extensive metabolizers (P < 0.01) and from 81 +/- 6% to 48 +/- 8% in poor metabolizers (P < 0.001).",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),%,48,22341,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],4.1,22342,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],23.5,22343,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],3.4,22344,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],16.0,22345,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],123,22346,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],457,22347,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],43,22348,DB01182,Propafenone
,10591535,clearances,"Following propafenone p.o. clearances through N-dealkylation (4.1 +/- 2.1 ml/min versus 23.5 +/- 12.6 ml/min in extensive metabolizers, P < 0.01; 3.4 +/- 1.3 ml/min versus 16.0 +/- 5.5 ml/min in poor metabolizers, P < 0.001) and glucuronidation (123 +/- 48 ml/min versus 457 +/- 267 ml/min in extensive metabolizers, P < 0.05; 43 +/- 9 ml/min versus 112 +/- 34 ml/min in poor metabolizers, P < 0.01), but not 5-hydroxylation increased regardless of phenotype indicating substantial enzyme induction.",Consequences of rifampicin treatment on propafenone disposition in extensive and poor metabolizers of CYP2D6. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10591535/),[ml] / [min],112,22349,DB01182,Propafenone
,6872170,elimination half-life,"There was great intersubject variability in elimination half-life (mean 6 hr, range 2.4 to 11.8), steady-state mean concentration on 900 mg/day of propafenone (mean 1008 ng/ml, range 482 to 1812), and ""therapeutic"" plasma concentration (mean 588 ng/ml, range 64 to 1044).",Clinical pharmacology of propafenone. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6872170/),h,6,22753,DB01182,Propafenone
,6872170,steady-state mean concentration,"There was great intersubject variability in elimination half-life (mean 6 hr, range 2.4 to 11.8), steady-state mean concentration on 900 mg/day of propafenone (mean 1008 ng/ml, range 482 to 1812), and ""therapeutic"" plasma concentration (mean 588 ng/ml, range 64 to 1044).",Clinical pharmacology of propafenone. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6872170/),[ng] / [ml],1008,22754,DB01182,Propafenone
,6872170,plasma concentration,"There was great intersubject variability in elimination half-life (mean 6 hr, range 2.4 to 11.8), steady-state mean concentration on 900 mg/day of propafenone (mean 1008 ng/ml, range 482 to 1812), and ""therapeutic"" plasma concentration (mean 588 ng/ml, range 64 to 1044).",Clinical pharmacology of propafenone. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6872170/),[ng] / [ml],588,22755,DB01182,Propafenone
,4079594,t 1/2 alpha,"Mean values of main variables were t 1/2 alpha = 2.8 min, t 1/2 beta = 80 min, Kel = 0.12 min, -1, Vd beta = 1.6 1/kg, Cl = 1.03 1/h and AUR = 3.1 mg/h-1.",Pharmacokinetics of intravenous propafenone in patients with episodes of paroxysmal supraventricular tachycardia. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4079594/),min,2.8,23916,DB01182,Propafenone
,4079594,t 1/2 beta,"Mean values of main variables were t 1/2 alpha = 2.8 min, t 1/2 beta = 80 min, Kel = 0.12 min, -1, Vd beta = 1.6 1/kg, Cl = 1.03 1/h and AUR = 3.1 mg/h-1.",Pharmacokinetics of intravenous propafenone in patients with episodes of paroxysmal supraventricular tachycardia. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/4079594/),min,80,23917,DB01182,Propafenone
,4079594,Kel,"Mean values of main variables were t 1/2 alpha = 2.8 min, t 1/2 beta = 80 min, Kel = 0.12 min, -1, Vd beta = 1.6 1/kg, Cl = 1.03 1/h and AUR = 3.1 mg/h-1.",Pharmacokinetics of intravenous propafenone in patients with episodes of paroxysmal supraventricular tachycardia. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4079594/),"-1·min,",0.12,23918,DB01182,Propafenone
,4079594,Vd beta,"Mean values of main variables were t 1/2 alpha = 2.8 min, t 1/2 beta = 80 min, Kel = 0.12 min, -1, Vd beta = 1.6 1/kg, Cl = 1.03 1/h and AUR = 3.1 mg/h-1.",Pharmacokinetics of intravenous propafenone in patients with episodes of paroxysmal supraventricular tachycardia. ,Vb-Q62,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4079594/),[1] / [kg],1.6,23919,DB01182,Propafenone
,4079594,Cl,"Mean values of main variables were t 1/2 alpha = 2.8 min, t 1/2 beta = 80 min, Kel = 0.12 min, -1, Vd beta = 1.6 1/kg, Cl = 1.03 1/h and AUR = 3.1 mg/h-1.",Pharmacokinetics of intravenous propafenone in patients with episodes of paroxysmal supraventricular tachycardia. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4079594/),[1] / [h],1.03,23920,DB01182,Propafenone
,4079594,AUR,"Mean values of main variables were t 1/2 alpha = 2.8 min, t 1/2 beta = 80 min, Kel = 0.12 min, -1, Vd beta = 1.6 1/kg, Cl = 1.03 1/h and AUR = 3.1 mg/h-1.",Pharmacokinetics of intravenous propafenone in patients with episodes of paroxysmal supraventricular tachycardia. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4079594/),[mg] / [h],3.1,23921,DB01182,Propafenone
,1442090,flow rate,"Separation of PPF, 5-OHP and NDP was achieved by reversed phase chromatography using a mobile phase consisting of 57% methanol and 43% 10 mmol/L potassium dibasic phosphate (pH 2.7) at a flow rate of 1.0 ml/min on a 5 microns ODS-C18 column.",[Simultaneous determination of propafenone and its active metabolite in serum by high performance liquid chromatography]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1442090/),[ml] / [min],1.0,26628,DB01182,Propafenone
