Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2614685,EC(50),"The normotensive group of rabbits had a calculated EC(50) of 12.7 ng/ml, while the hypertensive group had an EC(50) of 6.9 ng/ml, indicating that the hypertensive rabbits were much more sensitive to the propranolol than the normotensive group.",Effect of propranolol on the myocardial contractility of normotensive and spontaneously hypertensive rabbits: relationship of pharmacokinetics and pharmacodynamics. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2614685/),[ng] / [ml],12.7,1518,DB00571,Propranolol
,2614685,EC(50),"The normotensive group of rabbits had a calculated EC(50) of 12.7 ng/ml, while the hypertensive group had an EC(50) of 6.9 ng/ml, indicating that the hypertensive rabbits were much more sensitive to the propranolol than the normotensive group.",Effect of propranolol on the myocardial contractility of normotensive and spontaneously hypertensive rabbits: relationship of pharmacokinetics and pharmacodynamics. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2614685/),[ng] / [ml],6.9,1519,DB00571,Propranolol
,24783511,m/,"The detection used the transitions of protonated molecules at m/z 234.2-->84.1 for MPH and m/z 260.3-->183.1 for propranolol (IS), separately.",[LC-MS/MS assay of methylphenidate: stability and pharmacokinetics in human]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24783511/),,234.2,1575,DB00571,Propranolol
,24783511,m/z,"The detection used the transitions of protonated molecules at m/z 234.2-->84.1 for MPH and m/z 260.3-->183.1 for propranolol (IS), separately.",[LC-MS/MS assay of methylphenidate: stability and pharmacokinetics in human]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24783511/),,260.3,1576,DB00571,Propranolol
,24783511,m/z,"The detection used the transitions of protonated molecules at m/z 234.2-->84.1 for MPH and m/z 260.3-->183.1 for propranolol (IS), separately.",[LC-MS/MS assay of methylphenidate: stability and pharmacokinetics in human]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24783511/),,183.1,1577,DB00571,Propranolol
,18379090,lag time,"In addition, a lag time of 4 h was observed in in vivo experiment, which indicated that the DRCOPT can be used in therapeutic regimens with the characteristics of chronotherapy.",A novel time-controlled release system based on drug-resin complexes and elementary osmotic pump. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18379090/),h,4,1977,DB00571,Propranolol
,6639842,oral clearance,"Rifampicin (600 mg/day) caused a large increase in propranolol's oral clearance (35.7 +/- 16.3 vs 96.1 +/- 26.9 ml min-1 kg-1, mean +/- s.d.), but neither the elimination half-life nor extent of plasma binding were affected.",Induction of propranolol metabolism by rifampicin. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6639842/),[ml] / [kg·min],35.7,2502,DB00571,Propranolol
,6639842,oral clearance,"Rifampicin (600 mg/day) caused a large increase in propranolol's oral clearance (35.7 +/- 16.3 vs 96.1 +/- 26.9 ml min-1 kg-1, mean +/- s.d.), but neither the elimination half-life nor extent of plasma binding were affected.",Induction of propranolol metabolism by rifampicin. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6639842/),[ml] / [kg·min],96.1,2503,DB00571,Propranolol
,7224706,overall distribution volume,"Extensive tissue uptake of propranolol occurred after intravenous dosing, the overall distribution volume was 11 liters/kg.",Bioavailability of propranolol in the dog. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7224706/),[l] / [kg],11,3004,DB00571,Propranolol
,7224706,Biological half-life,"Biological half-life was 1.5 hr, but was prolonged after oral and intraportal drug administration.",Bioavailability of propranolol in the dog. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7224706/),h,1.5,3005,DB00571,Propranolol
,7224706,overall oral bioavailability,"Accordingly, the overall oral bioavailability was 27%.",Bioavailability of propranolol in the dog. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7224706/),%,27,3006,DB00571,Propranolol
,7236871,sensitivity,A radioimmunoassay has been developed for propranolol with a sensitivity of 2.37 nmol l-1 in unextracted plasma using a 50 microliter sample.,A propranolol radioimmunoassay and its use in the study of its pharmacokinetics following low doses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7236871/),[nM] / [l],2.37,4215,DB00571,Propranolol
,2897462,AUC0-infinity,"Comparison of the pharmacokinetic parameters of propranolol between etintidine and the placebo groups indicates that etintidine significantly increased the AUC0-infinity values (573.5 vs. 146.4 ng.hr/ml, p = 0.0001) and prolonged the elimination half-life (4.61 vs. 2.33 hr) of propranolol.",Etintidine-propranolol interaction study in humans. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2897462/),[h·ng] / [ml],573.5,6731,DB00571,Propranolol
