Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30522550,retention times,"HPLC chromatograms show retention times for propylthiouracil and methylthiouracil (internal standard) of 5.97 and 2.75 min, respectively at 20 °C, providing adequate separation from each other and from endogenous serum components.",Bioavailability of propylthiouracil from two formulation tablets. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30522550/),min,5.97,40157,DB00550,Propylthiouracil
,30522550,retention times,"HPLC chromatograms show retention times for propylthiouracil and methylthiouracil (internal standard) of 5.97 and 2.75 min, respectively at 20 °C, providing adequate separation from each other and from endogenous serum components.",Bioavailability of propylthiouracil from two formulation tablets. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30522550/),min,2.75,40158,DB00550,Propylthiouracil
,6689066,Peak values,Peak values ranged from 7.2 to 18 micrograms/ml with administered dose (100 to 280 mg/m2 BSA) and plasma half-life was 1.3 +/- 0.41 hr (mean +/- SD).,Pharmacokinetics of propylthiouracil in children and adolescents with Graves disease after a single oral dose. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6689066/),[μg] / [ml],7.2 to 18,69952,DB00550,Propylthiouracil
,6689066,plasma half-life,Peak values ranged from 7.2 to 18 micrograms/ml with administered dose (100 to 280 mg/m2 BSA) and plasma half-life was 1.3 +/- 0.41 hr (mean +/- SD).,Pharmacokinetics of propylthiouracil in children and adolescents with Graves disease after a single oral dose. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6689066/),h,1.3,69953,DB00550,Propylthiouracil
,12193309,time to peak levels (T(max)),"The pharmacokinetic study revealed earlier time to peak levels (T(max)) and significantly greater maximal peak levels (C(max)) in group 1 than in group 2, (85.71 +/- 12.12 minutes vs. 172.5 +/- 26.24 minutes for T(max) and 3.89 +/- 0.34 vs. 2.01 +/- 0.38 microg/mL, p < 0.05 for C(max), respectively).",Rectal administration of propylthiouracil in hyperthyroid patients: comparison of suspension enema and suppository form. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12193309/),min,85.71,107871,DB00550,Propylthiouracil
,12193309,T(max),"The pharmacokinetic study revealed earlier time to peak levels (T(max)) and significantly greater maximal peak levels (C(max)) in group 1 than in group 2, (85.71 +/- 12.12 minutes vs. 172.5 +/- 26.24 minutes for T(max) and 3.89 +/- 0.34 vs. 2.01 +/- 0.38 microg/mL, p < 0.05 for C(max), respectively).",Rectal administration of propylthiouracil in hyperthyroid patients: comparison of suspension enema and suppository form. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12193309/),min,172.5,107872,DB00550,Propylthiouracil
,12193309,T(max),"The pharmacokinetic study revealed earlier time to peak levels (T(max)) and significantly greater maximal peak levels (C(max)) in group 1 than in group 2, (85.71 +/- 12.12 minutes vs. 172.5 +/- 26.24 minutes for T(max) and 3.89 +/- 0.34 vs. 2.01 +/- 0.38 microg/mL, p < 0.05 for C(max), respectively).",Rectal administration of propylthiouracil in hyperthyroid patients: comparison of suspension enema and suppository form. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12193309/),[μg] / [ml],2.01,107873,DB00550,Propylthiouracil
,12193309,C(max),"The pharmacokinetic study revealed earlier time to peak levels (T(max)) and significantly greater maximal peak levels (C(max)) in group 1 than in group 2, (85.71 +/- 12.12 minutes vs. 172.5 +/- 26.24 minutes for T(max) and 3.89 +/- 0.34 vs. 2.01 +/- 0.38 microg/mL, p < 0.05 for C(max), respectively).",Rectal administration of propylthiouracil in hyperthyroid patients: comparison of suspension enema and suppository form. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12193309/),[μg] / [ml],3.89,107874,DB00550,Propylthiouracil
,12193309,C(max),"The pharmacokinetic study revealed earlier time to peak levels (T(max)) and significantly greater maximal peak levels (C(max)) in group 1 than in group 2, (85.71 +/- 12.12 minutes vs. 172.5 +/- 26.24 minutes for T(max) and 3.89 +/- 0.34 vs. 2.01 +/- 0.38 microg/mL, p < 0.05 for C(max), respectively).",Rectal administration of propylthiouracil in hyperthyroid patients: comparison of suspension enema and suppository form. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12193309/),[μg] / [ml],2.01,107875,DB00550,Propylthiouracil
,12193309,area under the curve,"However, the area under the curve (635.16 +/- 105.71 vs.",Rectal administration of propylthiouracil in hyperthyroid patients: comparison of suspension enema and suppository form. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12193309/),,635.16,107876,DB00550,Propylthiouracil
