Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15303659,recovery,"The within-day and between-day RSD were less than 12.4%, and the average recovery was between 97.3% - 109.4%.",[Simultaneous determination of pseudoephedrine and chlorpheniramine in human plasma by HPLC-UV detection method]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15303659/),%,97.3,14290,DB00852,Pseudoephedrine
,15303659,recovery,"The within-day and between-day RSD were less than 12.4%, and the average recovery was between 97.3% - 109.4%.",[Simultaneous determination of pseudoephedrine and chlorpheniramine in human plasma by HPLC-UV detection method]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15303659/),%,109.4,14291,DB00852,Pseudoephedrine
,32133778,Maximum plasma concentration,"Maximum plasma concentration of triprolidine for the 2.5 mg and dose-normalized 5 mg single-agent tablets were comparable (8.4 versus 7.1 ng/mL, respectively) and higher for the combination tablet (9.5 ng/mL).","Bioavailability of Triprolidine as a Single Agent or in Combination With Pseudoephedrine: A Randomized, Open-Label Crossover Study in Healthy Volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32133778/),[ng] / [ml],8.4,16697,DB00852,Pseudoephedrine
,32133778,Maximum plasma concentration,"Maximum plasma concentration of triprolidine for the 2.5 mg and dose-normalized 5 mg single-agent tablets were comparable (8.4 versus 7.1 ng/mL, respectively) and higher for the combination tablet (9.5 ng/mL).","Bioavailability of Triprolidine as a Single Agent or in Combination With Pseudoephedrine: A Randomized, Open-Label Crossover Study in Healthy Volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32133778/),[ng] / [ml],7.1,16698,DB00852,Pseudoephedrine
,32133778,Maximum plasma concentration,"Maximum plasma concentration of triprolidine for the 2.5 mg and dose-normalized 5 mg single-agent tablets were comparable (8.4 versus 7.1 ng/mL, respectively) and higher for the combination tablet (9.5 ng/mL).","Bioavailability of Triprolidine as a Single Agent or in Combination With Pseudoephedrine: A Randomized, Open-Label Crossover Study in Healthy Volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32133778/),[ng] / [ml],9.5,16699,DB00852,Pseudoephedrine
,32133778,time to maximum plasma concentration,"PK parameters, including time to maximum plasma concentration (∼1.5 hours) and elimination half-life (∼4 hours), were comparable between the 3 treatment arms.","Bioavailability of Triprolidine as a Single Agent or in Combination With Pseudoephedrine: A Randomized, Open-Label Crossover Study in Healthy Volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32133778/),h,∼1.5,16700,DB00852,Pseudoephedrine
,25427591,detection limit,It was found that the CL intensity of luminol-Pep reaction could be remarkably inhibited by pseudoephedrine (PE); the decrement of CL intensity was linear to the logarithm of PE concentration in the range of 0.1∼100.0 nmol L(-1) with a detection limit of 0.03 nmol mL(-1) (3σ).,Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),[nM] / [ml],0.03,20892,DB00852,Pseudoephedrine
,25427591,flow rate,"At a flow rate of 2.0 mL min(-1), the complete process including washing and sampling was performed within 40 s, offering a sample throughput of 90 h(-1).",Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),[ml] / [min],2.0,20893,DB00852,Pseudoephedrine
,25427591,sample throughput,"At a flow rate of 2.0 mL min(-1), the complete process including washing and sampling was performed within 40 s, offering a sample throughput of 90 h(-1).",Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),1/[h],90,20894,DB00852,Pseudoephedrine
,25427591,elimination ratio,This proposed method was successfully applied to determining PE in rat serum for 18 h after intragastric administration with the elimination ratio of 42.34 % and recoveries from 90.3 to 110.6 %.,Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),%,42.34,20895,DB00852,Pseudoephedrine
,25427591,recoveries,This proposed method was successfully applied to determining PE in rat serum for 18 h after intragastric administration with the elimination ratio of 42.34 % and recoveries from 90.3 to 110.6 %.,Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),%,90.3 to 110.6,20896,DB00852,Pseudoephedrine
,25427591,peak concentration (C max),"The pharmacokinetic results showed that PE could be rapidly absorbed into serum with peak concentration (C max) of 1.45 ± 0.18 g L(-1) at the time (T max) of 1.49 ± 0.02 h; the absorption half-life (0.35 ± 0.04 h), elimination half-life (1.86 ± 0.24 h), the area under curve (109.81 ± 6.03 mg L(-1) h(-1)), mean residence time (3.82 ± 0.27 h), and elimination rate constant (2.26 ± 0.23 L g(-1) h(-1)) in rats vivo were derived, respectively.",Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),[g] / [l],1.45,20897,DB00852,Pseudoephedrine
,25427591,time (T max),"The pharmacokinetic results showed that PE could be rapidly absorbed into serum with peak concentration (C max) of 1.45 ± 0.18 g L(-1) at the time (T max) of 1.49 ± 0.02 h; the absorption half-life (0.35 ± 0.04 h), elimination half-life (1.86 ± 0.24 h), the area under curve (109.81 ± 6.03 mg L(-1) h(-1)), mean residence time (3.82 ± 0.27 h), and elimination rate constant (2.26 ± 0.23 L g(-1) h(-1)) in rats vivo were derived, respectively.",Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),h,1.49,20898,DB00852,Pseudoephedrine
,25427591,absorption half-life,"The pharmacokinetic results showed that PE could be rapidly absorbed into serum with peak concentration (C max) of 1.45 ± 0.18 g L(-1) at the time (T max) of 1.49 ± 0.02 h; the absorption half-life (0.35 ± 0.04 h), elimination half-life (1.86 ± 0.24 h), the area under curve (109.81 ± 6.03 mg L(-1) h(-1)), mean residence time (3.82 ± 0.27 h), and elimination rate constant (2.26 ± 0.23 L g(-1) h(-1)) in rats vivo were derived, respectively.",Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),h,0.35,20899,DB00852,Pseudoephedrine
,25427591,elimination half-life,"The pharmacokinetic results showed that PE could be rapidly absorbed into serum with peak concentration (C max) of 1.45 ± 0.18 g L(-1) at the time (T max) of 1.49 ± 0.02 h; the absorption half-life (0.35 ± 0.04 h), elimination half-life (1.86 ± 0.24 h), the area under curve (109.81 ± 6.03 mg L(-1) h(-1)), mean residence time (3.82 ± 0.27 h), and elimination rate constant (2.26 ± 0.23 L g(-1) h(-1)) in rats vivo were derived, respectively.",Pharmacokinetic of pseudoephedrine in rat serum with luminol-pepsin chemiluminescence system by flow injection analysis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/25427591/),h,1.86,20900,DB00852,Pseudoephedrine
