Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6540381,bioavailability,"The bioavailability of oral pyridostigmine was 3.6%, estimated by replacing one dose with an intravenous dose amounting to 1/30 of the oral dose.",Steady state kinetics of pyridostigmine in myasthenia gravis. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6540381/),%,3.6,4214,DB00545,Pyridostigmine
,17015495,half-life,"Pharmacokinetic evaluation revealed a short half-life of 2.29 hours, similar to the 2.0 +/- 0.63 hours in the patients with myasthenia.",Pharmacokinetics of pyridostigmine in a child with postural tachycardia syndrome. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17015495/),h,2.29,10409,DB00545,Pyridostigmine
,17015495,half-life,"Pharmacokinetic evaluation revealed a short half-life of 2.29 hours, similar to the 2.0 +/- 0.63 hours in the patients with myasthenia.",Pharmacokinetics of pyridostigmine in a child with postural tachycardia syndrome. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17015495/),h,2.0,10410,DB00545,Pyridostigmine
,11920923,maximum plasma concentrations (Cmax),"The maximum plasma concentrations (Cmax) were 991 and 839 ng x ml(-1) for seizure terminated and not terminated, respectively.",Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],991,13442,DB00545,Pyridostigmine
,11920923,maximum plasma concentrations (Cmax),"The maximum plasma concentrations (Cmax) were 991 and 839 ng x ml(-1) for seizure terminated and not terminated, respectively.",Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],839,13443,DB00545,Pyridostigmine
,11920923,plasma Cmax,The plasma Cmax in seizure-terminated animals in this study is similar to the minimum range of plasma diazepam (200-800 ng x ml(-1)) reported to suppress seizure activity in humans.,Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],200-800,13444,DB00545,Pyridostigmine
,11920923,Cmax,It has been reported in an earlier study that the minimum effective i.m. dose (0.1 mg x kg(-1)) required to prevent soman-induced convulsions in Rhesus monkeys produces a mean Cmax of 50 ng x ml(-1) for diazepam.,Intramuscular diazepam pharmacokinetics in soman-exposed guinea pigs. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11920923/),[ng] / [ml],50,13445,DB00545,Pyridostigmine
,22477197,X(1),"Multiple linear regression analysis for process optimization revealed that the optimal PBPLC was obtained when the values of X(1), X(2), and X(3) were 8, 40°C, and 4 mg/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),°c,8,16555,DB00545,Pyridostigmine
,22477197,X(2),"Multiple linear regression analysis for process optimization revealed that the optimal PBPLC was obtained when the values of X(1), X(2), and X(3) were 8, 40°C, and 4 mg/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),°c,40,16556,DB00545,Pyridostigmine
,22477197,X(3),"Multiple linear regression analysis for process optimization revealed that the optimal PBPLC was obtained when the values of X(1), X(2), and X(3) were 8, 40°C, and 4 mg/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),[mg] / [m],4,16557,DB00545,Pyridostigmine
,22477197,particle size,"The average particle size and zeta potential of PBPLC with the optimized formulation were 204.60 nm and -25.12 mV, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),nm,204.60,16558,DB00545,Pyridostigmine
,22477197,zeta potential,"The average particle size and zeta potential of PBPLC with the optimized formulation were 204.60 nm and -25.12 mV, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),mv,-,16559,DB00545,Pyridostigmine
,22477197,zeta potential,"The average particle size and zeta potential of PBPLC with the optimized formulation were 204.60 nm and -25.12 mV, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),mv,25.12,16560,DB00545,Pyridostigmine
,22477197,peak time (T(max)),"The values of pharmacokinetic parameters of PBPLC and free PB were the peak time (T(max)) 2 h vs 2 h, the maximum concentration (C(max)) 22.79 μg/mL vs 6.00 μg/mL, and the value of the area under the concentration vs time curve (AUC(0-∞)) 7128.21 μg·min/mL vs 1772.36 μg·min/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),h,2,16561,DB00545,Pyridostigmine
,22477197,maximum concentration (C(max)),"The values of pharmacokinetic parameters of PBPLC and free PB were the peak time (T(max)) 2 h vs 2 h, the maximum concentration (C(max)) 22.79 μg/mL vs 6.00 μg/mL, and the value of the area under the concentration vs time curve (AUC(0-∞)) 7128.21 μg·min/mL vs 1772.36 μg·min/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),[μg] / [ml],22.79,16562,DB00545,Pyridostigmine
,22477197,maximum concentration (C(max)),"The values of pharmacokinetic parameters of PBPLC and free PB were the peak time (T(max)) 2 h vs 2 h, the maximum concentration (C(max)) 22.79 μg/mL vs 6.00 μg/mL, and the value of the area under the concentration vs time curve (AUC(0-∞)) 7128.21 μg·min/mL vs 1772.36 μg·min/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),[μg] / [ml],6.00,16563,DB00545,Pyridostigmine
,22477197,area under the concentration vs time curve (AUC(0-∞)),"The values of pharmacokinetic parameters of PBPLC and free PB were the peak time (T(max)) 2 h vs 2 h, the maximum concentration (C(max)) 22.79 μg/mL vs 6.00 μg/mL, and the value of the area under the concentration vs time curve (AUC(0-∞)) 7128.21 μg·min/mL vs 1772.36 μg·min/mL, respectively.",Role of a novel pyridostigmine bromide-phospholipid nanocomplex in improving oral bioavailability. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22477197/),[min·μg] / [ml],7128.21,16564,DB00545,Pyridostigmine
