Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15025739,CL,"The final population mean estimates were 2.17 l h(-1)[95% confidence interval (CI) 2.06, 2.28] and 6.36 l (95% CI 6.02, 6.70) for CL and V, respectively.",Population pharmacokinetics of raltitrexed in patients with advanced solid tumours. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15025739/),[l] / [h],2.17,4024,DB00293,Raltitrexed
,15025739,CL,"The final population mean estimates were 2.17 l h(-1)[95% confidence interval (CI) 2.06, 2.28] and 6.36 l (95% CI 6.02, 6.70) for CL and V, respectively.",Population pharmacokinetics of raltitrexed in patients with advanced solid tumours. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15025739/),l,6.36,4025,DB00293,Raltitrexed
,15025739,V,"The final population mean estimates were 2.17 l h(-1)[95% confidence interval (CI) 2.06, 2.28] and 6.36 l (95% CI 6.02, 6.70) for CL and V, respectively.",Population pharmacokinetics of raltitrexed in patients with advanced solid tumours. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15025739/),l,6.36,4026,DB00293,Raltitrexed
,8622063,terminal half-life (t1/2gamma),"PK analysis showed that plasma elimination was triexponential, with pronounced variability in the mean terminal half-life (t1/2gamma) for a given dose ranging from 8.2 to 105 hours.","Phase I trial of ZD1694, a new folate-based thymidylate synthase inhibitor, in patients with solid tumors. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8622063/),h,8.2 to 105,11711,DB00293,Raltitrexed
,15014016,steady-state concentration,"Indeed, the steady-state concentration of irinotecan, SN-38, and SN-38glu were 42.7 +/- 25.2, 14.9 +/- 1.9, and 31.7 +/- 3.5 nmol/liter, respectively, and the area under the time-concentration curves of irinotecan, SN-38, and SN-38glu were 6.94 +/- 0.41, 1.92 +/- 0.30, and 4.23 +/- 0.52 hx micro mol/liter, respectively.",A phase I and pharmacokinetic study of irinotecan given as a 7-day continuous infusion in metastatic colorectal cancer patients pretreated with 5-fluorouracil or raltitrexed. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014016/),[nM] / [l],42.7,12481,DB00293,Raltitrexed
,15014016,steady-state concentration,"Indeed, the steady-state concentration of irinotecan, SN-38, and SN-38glu were 42.7 +/- 25.2, 14.9 +/- 1.9, and 31.7 +/- 3.5 nmol/liter, respectively, and the area under the time-concentration curves of irinotecan, SN-38, and SN-38glu were 6.94 +/- 0.41, 1.92 +/- 0.30, and 4.23 +/- 0.52 hx micro mol/liter, respectively.",A phase I and pharmacokinetic study of irinotecan given as a 7-day continuous infusion in metastatic colorectal cancer patients pretreated with 5-fluorouracil or raltitrexed. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014016/),[nM] / [l],14.9,12482,DB00293,Raltitrexed
,15014016,steady-state concentration,"Indeed, the steady-state concentration of irinotecan, SN-38, and SN-38glu were 42.7 +/- 25.2, 14.9 +/- 1.9, and 31.7 +/- 3.5 nmol/liter, respectively, and the area under the time-concentration curves of irinotecan, SN-38, and SN-38glu were 6.94 +/- 0.41, 1.92 +/- 0.30, and 4.23 +/- 0.52 hx micro mol/liter, respectively.",A phase I and pharmacokinetic study of irinotecan given as a 7-day continuous infusion in metastatic colorectal cancer patients pretreated with 5-fluorouracil or raltitrexed. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014016/),[nM] / [l],31.7,12483,DB00293,Raltitrexed
,15014016,area under the time-concentration curves,"Indeed, the steady-state concentration of irinotecan, SN-38, and SN-38glu were 42.7 +/- 25.2, 14.9 +/- 1.9, and 31.7 +/- 3.5 nmol/liter, respectively, and the area under the time-concentration curves of irinotecan, SN-38, and SN-38glu were 6.94 +/- 0.41, 1.92 +/- 0.30, and 4.23 +/- 0.52 hx micro mol/liter, respectively.",A phase I and pharmacokinetic study of irinotecan given as a 7-day continuous infusion in metastatic colorectal cancer patients pretreated with 5-fluorouracil or raltitrexed. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014016/),[h·μmol] / [l],6.94,12484,DB00293,Raltitrexed
,15014016,area under the time-concentration curves,"Indeed, the steady-state concentration of irinotecan, SN-38, and SN-38glu were 42.7 +/- 25.2, 14.9 +/- 1.9, and 31.7 +/- 3.5 nmol/liter, respectively, and the area under the time-concentration curves of irinotecan, SN-38, and SN-38glu were 6.94 +/- 0.41, 1.92 +/- 0.30, and 4.23 +/- 0.52 hx micro mol/liter, respectively.",A phase I and pharmacokinetic study of irinotecan given as a 7-day continuous infusion in metastatic colorectal cancer patients pretreated with 5-fluorouracil or raltitrexed. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014016/),[h·μmol] / [l],1.92,12485,DB00293,Raltitrexed
,15014016,area under the time-concentration curves,"Indeed, the steady-state concentration of irinotecan, SN-38, and SN-38glu were 42.7 +/- 25.2, 14.9 +/- 1.9, and 31.7 +/- 3.5 nmol/liter, respectively, and the area under the time-concentration curves of irinotecan, SN-38, and SN-38glu were 6.94 +/- 0.41, 1.92 +/- 0.30, and 4.23 +/- 0.52 hx micro mol/liter, respectively.",A phase I and pharmacokinetic study of irinotecan given as a 7-day continuous infusion in metastatic colorectal cancer patients pretreated with 5-fluorouracil or raltitrexed. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014016/),[h·μmol] / [l],4.23,12486,DB00293,Raltitrexed
,25272859,AUC(0-t),"When comparing the pharmacokinetics parameters between the multidose group and the RTX group, the average of AUC(0-t) and half-life(t1/2) of multidose group were decreased from 56 080 microg x min x L(-1) and 15.07 min to 35 834 microg x min x L(-1) and 8.95 min, respectively, while the clearance (CL) was increased from 0.51 to 0.83 mL x h(-1).",[Pharmacokinetics behavior of raltitrexed in rats after repeatedly injected with Huangqi injection]. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25272859/),[min·μg] / [l],56 080,40188,DB00293,Raltitrexed
,25272859,AUC(0-t),"When comparing the pharmacokinetics parameters between the multidose group and the RTX group, the average of AUC(0-t) and half-life(t1/2) of multidose group were decreased from 56 080 microg x min x L(-1) and 15.07 min to 35 834 microg x min x L(-1) and 8.95 min, respectively, while the clearance (CL) was increased from 0.51 to 0.83 mL x h(-1).",[Pharmacokinetics behavior of raltitrexed in rats after repeatedly injected with Huangqi injection]. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25272859/),[min·μg] / [l],35 834,40189,DB00293,Raltitrexed
,25272859,half-life(t1/2),"When comparing the pharmacokinetics parameters between the multidose group and the RTX group, the average of AUC(0-t) and half-life(t1/2) of multidose group were decreased from 56 080 microg x min x L(-1) and 15.07 min to 35 834 microg x min x L(-1) and 8.95 min, respectively, while the clearance (CL) was increased from 0.51 to 0.83 mL x h(-1).",[Pharmacokinetics behavior of raltitrexed in rats after repeatedly injected with Huangqi injection]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25272859/),min,15.07,40190,DB00293,Raltitrexed
,25272859,half-life(t1/2),"When comparing the pharmacokinetics parameters between the multidose group and the RTX group, the average of AUC(0-t) and half-life(t1/2) of multidose group were decreased from 56 080 microg x min x L(-1) and 15.07 min to 35 834 microg x min x L(-1) and 8.95 min, respectively, while the clearance (CL) was increased from 0.51 to 0.83 mL x h(-1).",[Pharmacokinetics behavior of raltitrexed in rats after repeatedly injected with Huangqi injection]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25272859/),min,8.95,40191,DB00293,Raltitrexed
,25272859,clearance (CL),"When comparing the pharmacokinetics parameters between the multidose group and the RTX group, the average of AUC(0-t) and half-life(t1/2) of multidose group were decreased from 56 080 microg x min x L(-1) and 15.07 min to 35 834 microg x min x L(-1) and 8.95 min, respectively, while the clearance (CL) was increased from 0.51 to 0.83 mL x h(-1).",[Pharmacokinetics behavior of raltitrexed in rats after repeatedly injected with Huangqi injection]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25272859/),[ml] / [h],0.51,40192,DB00293,Raltitrexed
,25272859,clearance (CL),"When comparing the pharmacokinetics parameters between the multidose group and the RTX group, the average of AUC(0-t) and half-life(t1/2) of multidose group were decreased from 56 080 microg x min x L(-1) and 15.07 min to 35 834 microg x min x L(-1) and 8.95 min, respectively, while the clearance (CL) was increased from 0.51 to 0.83 mL x h(-1).",[Pharmacokinetics behavior of raltitrexed in rats after repeatedly injected with Huangqi injection]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25272859/),[ml] / [h],0.83,40193,DB00293,Raltitrexed
>,32614660,maximum loadability,"Results: Vinorelbine loading efficiency quickly reached 90% within 10 min with maximum loadability >90% by CB with both two sizes, and vinorelbine release rate gradually increased to ∼100% within 1 h.",Loadability and Releasing Profiles In Vitro and Pharmacokinetics In Vivo of Vinorelbine and Raltitrexed by CalliSpheres Beads. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32614660/),%,90,60654,DB00293,Raltitrexed
,31237202,clearance,"The clearance was 0.27 L/min, and the volumes of distribution were 0.35 and 6.65 L for the HA and PV compartments, respectively.",Hepatic Artery and Peripheral Vein Pharmacokinetics of Raltitrexed in Swine After the Administration of a Hepatic Arterial Infusion. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31237202/),[l] / [min],0.27,86465,DB00293,Raltitrexed
,31237202,volumes of distribution,"The clearance was 0.27 L/min, and the volumes of distribution were 0.35 and 6.65 L for the HA and PV compartments, respectively.",Hepatic Artery and Peripheral Vein Pharmacokinetics of Raltitrexed in Swine After the Administration of a Hepatic Arterial Infusion. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31237202/),l,0.35,86466,DB00293,Raltitrexed
,31237202,volumes of distribution,"The clearance was 0.27 L/min, and the volumes of distribution were 0.35 and 6.65 L for the HA and PV compartments, respectively.",Hepatic Artery and Peripheral Vein Pharmacokinetics of Raltitrexed in Swine After the Administration of a Hepatic Arterial Infusion. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31237202/),l,6.65,86467,DB00293,Raltitrexed
,9820178,AUC(0-tldc),The AUCs were greater for patients with renal impairment than for patients with normal renal function (2452.2 compared with 1247.3 ng h ml(-1) for AUC(0-tldc) (ratio 1.97; 95% CI 1.36-2.84); 2961.5 compared with 1457.0 ng h ml(-1) for AUC(0-infinity) (ratio 2.03; 1.25-3.29).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),[h·ng] / [ml],2452.2,89624,DB00293,Raltitrexed
,9820178,AUC(0-tldc),The AUCs were greater for patients with renal impairment than for patients with normal renal function (2452.2 compared with 1247.3 ng h ml(-1) for AUC(0-tldc) (ratio 1.97; 95% CI 1.36-2.84); 2961.5 compared with 1457.0 ng h ml(-1) for AUC(0-infinity) (ratio 2.03; 1.25-3.29).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),[h·ng] / [ml],1247.3,89625,DB00293,Raltitrexed
,9820178,AUC(0-infinity),The AUCs were greater for patients with renal impairment than for patients with normal renal function (2452.2 compared with 1247.3 ng h ml(-1) for AUC(0-tldc) (ratio 1.97; 95% CI 1.36-2.84); 2961.5 compared with 1457.0 ng h ml(-1) for AUC(0-infinity) (ratio 2.03; 1.25-3.29).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),[h·ng] / [ml],2961.5,89626,DB00293,Raltitrexed
,9820178,AUC(0-infinity),The AUCs were greater for patients with renal impairment than for patients with normal renal function (2452.2 compared with 1247.3 ng h ml(-1) for AUC(0-tldc) (ratio 1.97; 95% CI 1.36-2.84); 2961.5 compared with 1457.0 ng h ml(-1) for AUC(0-infinity) (ratio 2.03; 1.25-3.29).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),[h·ng] / [ml],1457.0,89627,DB00293,Raltitrexed
,9820178,Terminal half-life,Terminal half-life was longer for the renally impaired patients (271.2 compared with 143.3; P = 0.030).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),,271.2,89628,DB00293,Raltitrexed
,9820178,Terminal half-life,Terminal half-life was longer for the renally impaired patients (271.2 compared with 143.3; P = 0.030).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),,143.3,89629,DB00293,Raltitrexed
,9820178,Cmax,There was no significant statistical difference between the groups for Cmax (652.9 compared with 564.7 ng ml(-1) for patients with impaired and normal renal function respectively: ratio 1.16; 0.91-1.46; P = 0.204).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),[ng] / [ml],652.9,89630,DB00293,Raltitrexed
,9820178,Cmax,There was no significant statistical difference between the groups for Cmax (652.9 compared with 564.7 ng ml(-1) for patients with impaired and normal renal function respectively: ratio 1.16; 0.91-1.46; P = 0.204).,Effects of impaired renal function on the pharmacokinetics of raltitrexed (Tomudex ZD1694). ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9820178/),[ng] / [ml],564.7,89631,DB00293,Raltitrexed
,12451472,Hill constant,"In contrast, there was a highly significant relationship between the mean VRB AUC (days 1-5) and the absolute neutrophil count decrease (Emax model, Hill constant=4.38+/-2.59, EC(50)=508+/-53.2 micro g.h/l, r=0.75, P=0.0013).",The raltitrexed-vinorelbine combination: a phase I pharmacokinetic and pharmacodynamic trial in advanced breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12451472/),,4.38,106375,DB00293,Raltitrexed
,12451472,EC(50),"In contrast, there was a highly significant relationship between the mean VRB AUC (days 1-5) and the absolute neutrophil count decrease (Emax model, Hill constant=4.38+/-2.59, EC(50)=508+/-53.2 micro g.h/l, r=0.75, P=0.0013).",The raltitrexed-vinorelbine combination: a phase I pharmacokinetic and pharmacodynamic trial in advanced breast cancer. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12451472/),[h·μg] / [l],508,106376,DB00293,Raltitrexed
,11192475,maximum tolerated dose (MTD),The maximum tolerated dose (MTD) for the 3-weekly schedule was 3.5 to 4.5 mg/m2 in adults and 6 mg/m2 in a paediatric population.,Clinical and preclinical pharmacokinetics of raltitrexed. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11192475/),[mg] / [m2],3.5 to 4.5,108797,DB00293,Raltitrexed
,11192475,maximum tolerated dose (MTD),The maximum tolerated dose (MTD) for the 3-weekly schedule was 3.5 to 4.5 mg/m2 in adults and 6 mg/m2 in a paediatric population.,Clinical and preclinical pharmacokinetics of raltitrexed. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11192475/),[mg] / [m],6,108798,DB00293,Raltitrexed
,11192475,terminal half-life (t1/2gamma),"The disposition of raltitrexed in patients is best described by a 3-compartment model with a terminal half-life (t1/2gamma) of 260 hours, the latter being subject to significant interpatient variability.",Clinical and preclinical pharmacokinetics of raltitrexed. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11192475/),h,260,108799,DB00293,Raltitrexed
,11192475,clearance,"The average clearance of raltitrexed is 2.4 L/h (40 ml/min), and this value is significantly reduced in patients with compromised renal function (glomerular filtration rate of 25 to 65 ml/min).",Clinical and preclinical pharmacokinetics of raltitrexed. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11192475/),[l] / [h],2.4,108800,DB00293,Raltitrexed
,9838910,maximum tolerated dose (MTD),These results suggested that the maximum tolerated dose (MTD) of ZD-1694 was 3.5 n (3.5 mg/m2).,[Phase I study of raltitrexed (ZD-1694)]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9838910/),n,3.5,115146,DB00293,Raltitrexed
,9838910,elimination half life,A pharmacokinetic investigation showed the mean elimination half life of ZD-1694 plasma concentration was 91.5 hours in the single-dose group and 119.1 hours in the repeated dose group.,[Phase I study of raltitrexed (ZD-1694)]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9838910/),h,91.5,115147,DB00293,Raltitrexed
,9838910,elimination half life,A pharmacokinetic investigation showed the mean elimination half life of ZD-1694 plasma concentration was 91.5 hours in the single-dose group and 119.1 hours in the repeated dose group.,[Phase I study of raltitrexed (ZD-1694)]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9838910/),h,119.1,115148,DB00293,Raltitrexed
,10632324,duration of response,Median duration of response in colorectal cancer patients was 12 months.,Phase I and pharmacokinetic study of tomudex combined with 5-fluorouracil plus levofolinic acid in advanced head and neck cancer and colorectal cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10632324/),month,12,149163,DB00293,Raltitrexed
,12552235,Cmax,"Cmax in plasma were of 28 ng/ml and 54 ng/ml for group 1 and 2, respectively.",Pharmacokinetics studies and toxicity profile of raltitrexed used by intraperitoneal route in normothermia in a pig model. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12552235/),[ng] / [ml],28,169133,DB00293,Raltitrexed
,12552235,Cmax,"Cmax in plasma were of 28 ng/ml and 54 ng/ml for group 1 and 2, respectively.",Pharmacokinetics studies and toxicity profile of raltitrexed used by intraperitoneal route in normothermia in a pig model. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12552235/),[ng] / [ml],54,169134,DB00293,Raltitrexed
,12552235,Tmax,Tmax were 180 min for both groups.,Pharmacokinetics studies and toxicity profile of raltitrexed used by intraperitoneal route in normothermia in a pig model. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12552235/),min,180,169135,DB00293,Raltitrexed
>,10550563,terminal elimination phase (t(1/2),"The plasma concentration-time profile of raltitrexed was triexponential with a rapid initial decline and a prolonged terminal elimination phase (t(1/2) > 24 h), which was related to retention of raltitrexed in a deep tissue compartment.",The plasma pharmacokinetics and cerebrospinal fluid penetration of the thymidylate synthase inhibitor raltitrexed (Tomudex) in a nonhuman primate model. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10550563/),h,24,175156,DB00293,Raltitrexed
,10550563,peak (end of,"The mean peak (end of infusion) plasma concentrations after the 3, 6, and 10 mg/m(2) doses were 1.5, 2.4 and 4.8 microM, respectively.",The plasma pharmacokinetics and cerebrospinal fluid penetration of the thymidylate synthase inhibitor raltitrexed (Tomudex) in a nonhuman primate model. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10550563/),μM,1.5,175157,DB00293,Raltitrexed
,10550563,peak (end of,"The mean peak (end of infusion) plasma concentrations after the 3, 6, and 10 mg/m(2) doses were 1.5, 2.4 and 4.8 microM, respectively.",The plasma pharmacokinetics and cerebrospinal fluid penetration of the thymidylate synthase inhibitor raltitrexed (Tomudex) in a nonhuman primate model. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10550563/),μM,2.4,175158,DB00293,Raltitrexed
,10550563,peak (end of,"The mean peak (end of infusion) plasma concentrations after the 3, 6, and 10 mg/m(2) doses were 1.5, 2.4 and 4.8 microM, respectively.",The plasma pharmacokinetics and cerebrospinal fluid penetration of the thymidylate synthase inhibitor raltitrexed (Tomudex) in a nonhuman primate model. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10550563/),μM,4.8,175159,DB00293,Raltitrexed
,10550563,clearance,"The clearance of raltitrexed ranged from 110 to 165 ml/min per m(2), and the steady-state volume of distribution exceeded 200 l/m(2).",The plasma pharmacokinetics and cerebrospinal fluid penetration of the thymidylate synthase inhibitor raltitrexed (Tomudex) in a nonhuman primate model. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10550563/),[min·ml] / [m(2],110 to 165,175160,DB00293,Raltitrexed
exceeded,10550563,steady-state volume of distribution,"The clearance of raltitrexed ranged from 110 to 165 ml/min per m(2), and the steady-state volume of distribution exceeded 200 l/m(2).",The plasma pharmacokinetics and cerebrospinal fluid penetration of the thymidylate synthase inhibitor raltitrexed (Tomudex) in a nonhuman primate model. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10550563/),[l] / [m(2],200,175161,DB00293,Raltitrexed
