Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30773662,flow rate,"After extraction from 200 μL of plasma by protein precipitation, the analytes and internal standard (IS) diazepam were separated on a Hedera ODS-2 (5 μm, 150 × 2.1 mm) column with a mobile phase consisted of methanol-0.1% formic acid in 10 mm ammonium acetate solution (85:15, v/v) delivered at a flow rate of 0.5 mL/min.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),[ml] / [min],0.5,146902,DB00980,Ramelteon
,30773662,maximum plasma concentration (Cmax ),"The maximum plasma concentration (Cmax ), the time to the Cmax and the elimination half-life for ramelteon were 4.50 ± 4.64ng/mL, 0.8 ± 0.4h and 1.0 ± 0.9 h, respectively, and for M-II were 136 ± 36 ng/mL, 1.1 ± 0.5 h, 2.1 ± 0.4 h, respectively.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),[ng] / [ml],4.50,146903,DB00980,Ramelteon
,30773662,time to the Cmax,"The maximum plasma concentration (Cmax ), the time to the Cmax and the elimination half-life for ramelteon were 4.50 ± 4.64ng/mL, 0.8 ± 0.4h and 1.0 ± 0.9 h, respectively, and for M-II were 136 ± 36 ng/mL, 1.1 ± 0.5 h, 2.1 ± 0.4 h, respectively.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),h,0.8,146904,DB00980,Ramelteon
,30773662,time to the Cmax,"The maximum plasma concentration (Cmax ), the time to the Cmax and the elimination half-life for ramelteon were 4.50 ± 4.64ng/mL, 0.8 ± 0.4h and 1.0 ± 0.9 h, respectively, and for M-II were 136 ± 36 ng/mL, 1.1 ± 0.5 h, 2.1 ± 0.4 h, respectively.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),[ng] / [ml],136,146905,DB00980,Ramelteon
,30773662,time to the Cmax,"The maximum plasma concentration (Cmax ), the time to the Cmax and the elimination half-life for ramelteon were 4.50 ± 4.64ng/mL, 0.8 ± 0.4h and 1.0 ± 0.9 h, respectively, and for M-II were 136 ± 36 ng/mL, 1.1 ± 0.5 h, 2.1 ± 0.4 h, respectively.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),h,1.1,146906,DB00980,Ramelteon
,30773662,elimination half-life,"The maximum plasma concentration (Cmax ), the time to the Cmax and the elimination half-life for ramelteon were 4.50 ± 4.64ng/mL, 0.8 ± 0.4h and 1.0 ± 0.9 h, respectively, and for M-II were 136 ± 36 ng/mL, 1.1 ± 0.5 h, 2.1 ± 0.4 h, respectively.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),h,1.0,146907,DB00980,Ramelteon
,30773662,elimination half-life,"The maximum plasma concentration (Cmax ), the time to the Cmax and the elimination half-life for ramelteon were 4.50 ± 4.64ng/mL, 0.8 ± 0.4h and 1.0 ± 0.9 h, respectively, and for M-II were 136 ± 36 ng/mL, 1.1 ± 0.5 h, 2.1 ± 0.4 h, respectively.",LC-MS/MS method for simultaneous determination of ramelteon and its metabolite M-II in human plasma: Application to a clinical pharmacokinetic study in healthy Chinese volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/30773662/),h,2.1,146908,DB00980,Ramelteon
,17389558,clearance,"Ramelteon clearance was significantly reduced in elderly vs young volunteers (384 vs 883 mL/min/kg, P<.01) and half-life significantly increased (1.9 vs 1.3 h, P<.001).","Age and gender effects on the pharmacokinetics and pharmacodynamics of ramelteon, a hypnotic agent acting via melatonin receptors MT1 and MT2. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17389558/),[ml] / [kg·min],384,192469,DB00980,Ramelteon
,17389558,clearance,"Ramelteon clearance was significantly reduced in elderly vs young volunteers (384 vs 883 mL/min/kg, P<.01) and half-life significantly increased (1.9 vs 1.3 h, P<.001).","Age and gender effects on the pharmacokinetics and pharmacodynamics of ramelteon, a hypnotic agent acting via melatonin receptors MT1 and MT2. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17389558/),[ml] / [kg·min],883,192470,DB00980,Ramelteon
,17389558,half-life,"Ramelteon clearance was significantly reduced in elderly vs young volunteers (384 vs 883 mL/min/kg, P<.01) and half-life significantly increased (1.9 vs 1.3 h, P<.001).","Age and gender effects on the pharmacokinetics and pharmacodynamics of ramelteon, a hypnotic agent acting via melatonin receptors MT1 and MT2. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17389558/),h,1.9,192471,DB00980,Ramelteon
,17389558,half-life,"Ramelteon clearance was significantly reduced in elderly vs young volunteers (384 vs 883 mL/min/kg, P<.01) and half-life significantly increased (1.9 vs 1.3 h, P<.001).","Age and gender effects on the pharmacokinetics and pharmacodynamics of ramelteon, a hypnotic agent acting via melatonin receptors MT1 and MT2. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17389558/),h,1.3,192472,DB00980,Ramelteon
,18603221,elimination half-life,"It is a melatonin 1/2 receptor agonist with rapid absorption, extensive first-pass metabolism and an elimination half-life of just over 1h.",Efficacy and clinical safety of ramelteon: an evidence-based review. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/18603221/),h,1,224723,DB00980,Ramelteon
,16432265,C(max),"C(max) and AUC(infinity) (mean [%CV]) increased with each dose: C(max) = 1.15 (109), 5.73 (97), 6.92 (77), 17.4 (76), and 25.9 (77) ng/mL, respectively, and AUC(infinity) = 1.71 (114), 6.95 (108), 9.88 (78), 22.5 (80), and 36.1 (71 n x h/mL), respectively.","Disposition kinetics and tolerance of escalating single doses of ramelteon, a high-affinity MT1 and MT2 melatonin receptor agonist indicated for treatment of insomnia. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16432265/),[ng] / [ml],1.15,264463,DB00980,Ramelteon
