Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29403764,total run time,The total run time was 3.0 min.,Bio-analytical method development and validation of Rasagiline by high performance liquid chromatography tandem mass spectrometry detection and its application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29403764/),min,3.0,3120,DB01367,Rasagiline
,29403764,overall recovery,The overall recovery for Rasagiline and Rasagiline-13C3 mesylate analog was 96.9% and 96.7% respectively.,Bio-analytical method development and validation of Rasagiline by high performance liquid chromatography tandem mass spectrometry detection and its application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29403764/),%,96.9,3121,DB01367,Rasagiline
,29403764,overall recovery,The overall recovery for Rasagiline and Rasagiline-13C3 mesylate analog was 96.9% and 96.7% respectively.,Bio-analytical method development and validation of Rasagiline by high performance liquid chromatography tandem mass spectrometry detection and its application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29403764/),%,96.7,3122,DB01367,Rasagiline
,24786489,polydispersity index (PDI),"The mean particles size, polydispersity index (PDI) and encapsulation efficiency was found to be 151.1 ± 10.31, 0.380 ± 0.01 and 96.43 ± 4.23, respectively.",Brain targeted nanoparticulate drug delivery system of rasagiline via intranasal route. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24786489/),,0.380,30610,DB01367,Rasagiline
,24786489,encapsulation efficiency,"The mean particles size, polydispersity index (PDI) and encapsulation efficiency was found to be 151.1 ± 10.31, 0.380 ± 0.01 and 96.43 ± 4.23, respectively.",Brain targeted nanoparticulate drug delivery system of rasagiline via intranasal route. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24786489/),,96.43,30611,DB01367,Rasagiline
,24786489,Cmax,The Cmax (999.25 ng/ml) and AUC (2086.60 ng h/ml) of formulation CG-NPs (i.n) were found to be significantly higher than CG-NPs (i.v.) and RAS solution (i.n.).,Brain targeted nanoparticulate drug delivery system of rasagiline via intranasal route. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24786489/),[ng] / [ml],999.25,30612,DB01367,Rasagiline
,24786489,AUC,The Cmax (999.25 ng/ml) and AUC (2086.60 ng h/ml) of formulation CG-NPs (i.n) were found to be significantly higher than CG-NPs (i.v.) and RAS solution (i.n.).,Brain targeted nanoparticulate drug delivery system of rasagiline via intranasal route. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24786489/),[h·ng] / [ml],2086.60,30613,DB01367,Rasagiline
,24786489,direct transport percentage (DTP%),The direct transport percentage (DTP%) values of RAS-loaded CG-NPs (i.n.) as compared to drug solution (i.n.) increased from 66.27 ± 1.8 to 69.27 ± 2.1%.,Brain targeted nanoparticulate drug delivery system of rasagiline via intranasal route. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24786489/),,66.27,30614,DB01367,Rasagiline
,24786489,direct transport percentage (DTP%),The direct transport percentage (DTP%) values of RAS-loaded CG-NPs (i.n.) as compared to drug solution (i.n.) increased from 66.27 ± 1.8 to 69.27 ± 2.1%.,Brain targeted nanoparticulate drug delivery system of rasagiline via intranasal route. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24786489/),,69.27,30615,DB01367,Rasagiline
,26704630,flow rate,"Chromatography was performed on Hibar C18 column with mobile phase of ammonium acetate (10mM, pH 8.0 adjusted with ammonia) and ACN at a flow rate of 1mL/min.","Pharmacokinetic and tissue distribution studies of 1,9-pyrazoloanthrone, a c-Jun-N-terminal kinase inhibitor in Wistar rats by a simple and sensitive HPLC method. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26704630/),[ml] / [min],1,38101,DB01367,Rasagiline
>,18952510,recoveries,The average recoveries in plasma and urine samples were both >85%.,"Rapid and sensitive liquid chromatography-tandem mass spectrometry: assay development, validation and application to a human pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18952510/),%,85,62010,DB01367,Rasagiline
,23339547,plasma half-life (t1/2),"3. The plasma half-life (t1/2) of rasagiline (1.25 mg patch: 11.8 ± 6.5 h, 2.5 mg patch: 12.5 ± 4.7 h) in minipig following transdermal administration was significantly prolonged as compared with that following the oral administration (1 mg tablet: 4.7 ± 2.5 h).",Comparative single-dose pharmacokinetics of rasagiline in minipigs after oral dosing or transdermal administration via a newly developed patch. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23339547/),h,11.8,120131,DB01367,Rasagiline
