Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11557914,heart rate,"As expected, heart rate increased from baseline (approximately 8-11 beats/min) at > or =8 mg reboxetine daily.",Lack of effect of reboxetine on cardiac repolarization. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11557914/),[beats] / [min],8-11,2265,DB00234,Reboxetine
,9176997,tmax,After reboxetine administration mean tmax was about 1 h for both enantiomers.,Pharmacokinetics of reboxetine enantiomers in the dog. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),h,1,16294,DB00234,Reboxetine
,9176997,Cmax,"Cmax and AUC were about 1.5 times higher for the (R,R)- than for the (S,S)-enantiomer, mean values +/- SD being 704 +/- 330 and 427 +/- 175 ng/ml for Cmax and 2,876 +/- 1,354 and 1,998 +/- 848 ng.h/ml for AUC, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),[ng] / [ml],704,16295,DB00234,Reboxetine
,9176997,AUC,"Cmax and AUC were about 1.5 times higher for the (R,R)- than for the (S,S)-enantiomer, mean values +/- SD being 704 +/- 330 and 427 +/- 175 ng/ml for Cmax and 2,876 +/- 1,354 and 1,998 +/- 848 ng.h/ml for AUC, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),[ng] / [ml],427,16296,DB00234,Reboxetine
,9176997,Cmax,"Cmax and AUC were about 1.5 times higher for the (R,R)- than for the (S,S)-enantiomer, mean values +/- SD being 704 +/- 330 and 427 +/- 175 ng/ml for Cmax and 2,876 +/- 1,354 and 1,998 +/- 848 ng.h/ml for AUC, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),[ng] / [ml],427,16297,DB00234,Reboxetine
,9176997,AUC,"Cmax and AUC were about 1.5 times higher for the (R,R)- than for the (S,S)-enantiomer, mean values +/- SD being 704 +/- 330 and 427 +/- 175 ng/ml for Cmax and 2,876 +/- 1,354 and 1,998 +/- 848 ng.h/ml for AUC, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),[h·ng] / [ml],"2,876",16298,DB00234,Reboxetine
,9176997,AUC,"Cmax and AUC were about 1.5 times higher for the (R,R)- than for the (S,S)-enantiomer, mean values +/- SD being 704 +/- 330 and 427 +/- 175 ng/ml for Cmax and 2,876 +/- 1,354 and 1,998 +/- 848 ng.h/ml for AUC, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),[h·ng] / [ml],"1,998",16299,DB00234,Reboxetine
,9176997,t1/2,"No differences between the (R,R)- and (S,S)-enantiomers were observed in t1/2 (3.9 h).",Pharmacokinetics of reboxetine enantiomers in the dog. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),h,3.9,16300,DB00234,Reboxetine
,9176997,Ae,"Total recovery of the two enantiomers in urine was similar, the Ae (0-48 h) being 1.3 +/- 0.7 and 1.1 +/- 0.7% of the enantiomer dose for the (R,R)- and the (S,S)-enantiomers, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),%,1.3,16301,DB00234,Reboxetine
,9176997,Ae,"Total recovery of the two enantiomers in urine was similar, the Ae (0-48 h) being 1.3 +/- 0.7 and 1.1 +/- 0.7% of the enantiomer dose for the (R,R)- and the (S,S)-enantiomers, respectively.",Pharmacokinetics of reboxetine enantiomers in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9176997/),%,1.1,16302,DB00234,Reboxetine
,8148996,analysis time,The HPLC analysis time was about 90 min.,Sensitive procedure for the determination of reboxetine enantiomers in human plasma by reversed-phase high-performance liquid chromatography with fluorimetric detection after chiral derivatization with (+)-1-(9-fluorenyl)ethyl chloroformate. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8148996/),min,90,40409,DB00234,Reboxetine
,10839469,total urinary recovery,Mean total urinary recovery ranged from 4.06 to 6.17%.,Pharmacokinetics of reboxetine in elderly patients with depressive disorders. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10839469/),%,4.06 to 6.17,54674,DB00234,Reboxetine
,10839469,AUCtau,"The mean area under the plasma concentration-time curve (AUCtau) and the maximum plasma drug concentration (Cmax) showed considerable variation between patients; at a dosage of 4 mg/day, AUCtau was 1,466-6,866 ngxh/ml and Cmax ranged from 169 to 663 ng/ml.",Pharmacokinetics of reboxetine in elderly patients with depressive disorders. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10839469/),[h·ng] / [ml],"1,466-6,866",54675,DB00234,Reboxetine
,10839469,Cmax,"The mean area under the plasma concentration-time curve (AUCtau) and the maximum plasma drug concentration (Cmax) showed considerable variation between patients; at a dosage of 4 mg/day, AUCtau was 1,466-6,866 ngxh/ml and Cmax ranged from 169 to 663 ng/ml.",Pharmacokinetics of reboxetine in elderly patients with depressive disorders. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10839469/),[ng] / [ml],169 to 663,54676,DB00234,Reboxetine
,16699799,M/P,"The mean (95% CI) M/P was 0.06 (0.03, 0.09).","Transfer of reboxetine into breastmilk, its plasma concentrations and lack of adverse effects in the breastfed infant. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16699799/),,0.06,55377,DB00234,Reboxetine
,16699799,Absolute infant dose,"Absolute infant dose was 1.7 (0.7, 2.4) microg/kg/day for reboxetine while the relative infant dose was 2.0% (1.3, 2.7%).","Transfer of reboxetine into breastmilk, its plasma concentrations and lack of adverse effects in the breastfed infant. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16699799/),[μg] / [d·kg],1.7,55378,DB00234,Reboxetine
,25522383,plasma EC50,"TD-9855 engaged norepinephrine transporters (NET) and serotonin transporters (SERT) in rat spinal cord, with a plasma EC50 of 11.7 ng/mL and 50.8 ng/mL, respectively, consistent with modest selectivity for NET in vivo.","Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),[ng] / [ml],11.7,55633,DB00234,Reboxetine
,25522383,plasma EC50,"TD-9855 engaged norepinephrine transporters (NET) and serotonin transporters (SERT) in rat spinal cord, with a plasma EC50 of 11.7 ng/mL and 50.8 ng/mL, respectively, consistent with modest selectivity for NET in vivo.","Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),[ng] / [ml],50.8,55634,DB00234,Reboxetine
,25522383,plasma EC50,"Accounting for species differences in protein binding, the projected human NET and SERT plasma EC50 values were 5.5 ng/mL and 23.9 ng/mL, respectively.","Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),[ng] / [ml],5.5,55635,DB00234,Reboxetine
,25522383,plasma EC50,"Accounting for species differences in protein binding, the projected human NET and SERT plasma EC50 values were 5.5 ng/mL and 23.9 ng/mL, respectively.","Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),[ng] / [ml],23.9,55636,DB00234,Reboxetine
,25522383,half-life,The long pharmacokinetic half-life (30-40 h) of TD-9855 allowed for sequential assessment of SERT and NET occupancy in the same subject.,"Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),h,30-40,55637,DB00234,Reboxetine
,25522383,plasma EC50,"The plasma EC50 for NET was estimated to be 1.21 ng/mL, and at doses of greater than 4 mg the projected steady-state NET occupancy is high (>75%).","Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),[ng] / [ml],1.21,55638,DB00234,Reboxetine
,25522383,occupancy,"After a single oral dose of 20mg, SERT occupancy was 25 (±8)% at a plasma level of 6.35 ng/mL.","Preclinical to clinical translation of CNS transporter occupancy of TD-9855, a novel norepinephrine and serotonin reuptake inhibitor. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25522383/),%,25,55639,DB00234,Reboxetine
,20006083,flow rate,"The derivatized plasma samples were injected into the HPLC system where an on-line sample clean up was achieved on the pre-treatment column (Co-sense Shim-pack MAYI-ODS) with a washing mobile phase (acetonitrile:2% acetic acid; 40:60, v/v) at a flow rate of 5mLmin(-1) for 1min.",A highly sensitive HPLC method with automated on-line sample pre-treatment and fluorescence detection for determination of reboxetine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20006083/),1/[mlmin],5,59116,DB00234,Reboxetine
,20006083,flow rate,"After an automated on-line column switching to the analytical Hypersil phenyl 120A column (250mmx4.6mm, 5microm), the separation of the derivatized RBX and PXT was performed using a mobile phase consisting of sodium acetate buffer (pH 3.5):tetrahydrofuran:acetonitrile (55:35:10, v/v/v) at a flow rate of 2.0mLmin(-1).",A highly sensitive HPLC method with automated on-line sample pre-treatment and fluorescence detection for determination of reboxetine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20006083/),1/[mlmin],2.0,59117,DB00234,Reboxetine
,20006083,recovery,"The accuracy of the method proved as the mean recovery values were 100.11+/-2.24% and 100.99+/-2.98% for the intra- and inter-day assay runs, respectively.",A highly sensitive HPLC method with automated on-line sample pre-treatment and fluorescence detection for determination of reboxetine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20006083/),%,100.11,59118,DB00234,Reboxetine
,20006083,recovery,"The accuracy of the method proved as the mean recovery values were 100.11+/-2.24% and 100.99+/-2.98% for the intra- and inter-day assay runs, respectively.",A highly sensitive HPLC method with automated on-line sample pre-treatment and fluorescence detection for determination of reboxetine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20006083/),%,100.99,59119,DB00234,Reboxetine
,10546921,terminal half-life,Mean terminal half-life after administration of ketoconazole (21.5 hours and 18.9 hours) was significantly longer than after reboxetine alone (14.8 hours and 14.4 hours; P < or = .005).,Ketoconazole inhibits the clearance of the enantiomers of the antidepressant reboxetine in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10546921/),h,21.5,59195,DB00234,Reboxetine
,10546921,terminal half-life,Mean terminal half-life after administration of ketoconazole (21.5 hours and 18.9 hours) was significantly longer than after reboxetine alone (14.8 hours and 14.4 hours; P < or = .005).,Ketoconazole inhibits the clearance of the enantiomers of the antidepressant reboxetine in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10546921/),h,18.9,59196,DB00234,Reboxetine
,10546921,terminal half-life,Mean terminal half-life after administration of ketoconazole (21.5 hours and 18.9 hours) was significantly longer than after reboxetine alone (14.8 hours and 14.4 hours; P < or = .005).,Ketoconazole inhibits the clearance of the enantiomers of the antidepressant reboxetine in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10546921/),h,14.8,59197,DB00234,Reboxetine
,10546921,terminal half-life,Mean terminal half-life after administration of ketoconazole (21.5 hours and 18.9 hours) was significantly longer than after reboxetine alone (14.8 hours and 14.4 hours; P < or = .005).,Ketoconazole inhibits the clearance of the enantiomers of the antidepressant reboxetine in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10546921/),h,14.4,59198,DB00234,Reboxetine
,10546921,AUC ratio,"The AUC ratio for R,R(-)-reboxetine to S,S(+)-reboxetine was reduced by ketoconazole administration (2.76 after ketoconazole versus 2.39; P < .003).",Ketoconazole inhibits the clearance of the enantiomers of the antidepressant reboxetine in humans. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10546921/),,2.76,59199,DB00234,Reboxetine
