Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,31536852,PFS,"At the cut-off date, the median PFS was 4.4 months (95% confidence interval [CI], 2.8-6.0) and 12-week progression-free rate was 73.4% (95% CI, 58.1-88.7).","Efficacy and safety of TAS-116, an oral inhibitor of heat shock protein 90, in patients with metastatic or unresectable gastrointestinal stromal tumour refractory to imatinib, sunitinib and regorafenib: a phase II, single-arm trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31536852/),month,4,16206,DB08896,Regorafenib
,31536852,OS,"The median OS was 11.5 months (95% CI, 7.0-not reached).","Efficacy and safety of TAS-116, an oral inhibitor of heat shock protein 90, in patients with metastatic or unresectable gastrointestinal stromal tumour refractory to imatinib, sunitinib and regorafenib: a phase II, single-arm trial. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31536852/),month,11.5,16207,DB08896,Regorafenib
≥,33830408,PFS,The median PFS was significantly longer in patients achieving total trough concentrations (Ctrough) of regorafenib and M-2/M-5 ≥2.9 µg/mL than those who did not (112 vs. 57 days; p = 0.044).,Pharmacokinetics of the oral multikinase inhibitor regorafenib and its association with real-world treatment outcomes. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33830408/),[μg] / [ml],2.9,23143,DB08896,Regorafenib
≥,33830408,total trough concentrations (Ctrough),The median PFS was significantly longer in patients achieving total trough concentrations (Ctrough) of regorafenib and M-2/M-5 ≥2.9 µg/mL than those who did not (112 vs. 57 days; p = 0.044).,Pharmacokinetics of the oral multikinase inhibitor regorafenib and its association with real-world treatment outcomes. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33830408/),[μg] / [ml],2.9,23144,DB08896,Regorafenib
,33830408,total trough concentrations (Ctrough),The median PFS was significantly longer in patients achieving total trough concentrations (Ctrough) of regorafenib and M-2/M-5 ≥2.9 µg/mL than those who did not (112 vs. 57 days; p = 0.044).,Pharmacokinetics of the oral multikinase inhibitor regorafenib and its association with real-world treatment outcomes. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33830408/),d,112,23145,DB08896,Regorafenib
,33830408,total trough concentrations (Ctrough),The median PFS was significantly longer in patients achieving total trough concentrations (Ctrough) of regorafenib and M-2/M-5 ≥2.9 µg/mL than those who did not (112 vs. 57 days; p = 0.044).,Pharmacokinetics of the oral multikinase inhibitor regorafenib and its association with real-world treatment outcomes. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33830408/),d,57,23146,DB08896,Regorafenib
,33830408,Ctrough,"Conclusions Dose titration of regorafenib to achieve drug-related Ctrough levels between 2.9 and 4.3 µg/mL in Cycle 1 may improve efficacy and safety, warranting further investigation in a larger patient population.",Pharmacokinetics of the oral multikinase inhibitor regorafenib and its association with real-world treatment outcomes. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33830408/),[μg] / [ml],2.9 and 4.3,23147,DB08896,Regorafenib
,23666093,AUC,Comparable reductions of the AUC to 0.69 ± 0.12 (iopromide) and 0.76 ± 0.11 (Gadomer) were found 24 hours after the therapy.,Dynamic contrast-enhanced computed tomography to assess antitumor treatment effects: comparison of two contrast agents with different pharmacokinetics. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23666093/),,0.69,36258,DB08896,Regorafenib
,23666093,AUC,Comparable reductions of the AUC to 0.69 ± 0.12 (iopromide) and 0.76 ± 0.11 (Gadomer) were found 24 hours after the therapy.,Dynamic contrast-enhanced computed tomography to assess antitumor treatment effects: comparison of two contrast agents with different pharmacokinetics. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23666093/),,0.76,36259,DB08896,Regorafenib
,23666093,Ktrans,A significant higher Ktrans was detected with iopromide (14.3 ± 2.7 mL per 100 mL/min) compared with Gadomer (1.8 ± 0.2 mL per 100 mL/min).,Dynamic contrast-enhanced computed tomography to assess antitumor treatment effects: comparison of two contrast agents with different pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23666093/),[ml] / [100·min·ml],14.3,36260,DB08896,Regorafenib
,23666093,Ktrans,A significant higher Ktrans was detected with iopromide (14.3 ± 2.7 mL per 100 mL/min) compared with Gadomer (1.8 ± 0.2 mL per 100 mL/min).,Dynamic contrast-enhanced computed tomography to assess antitumor treatment effects: comparison of two contrast agents with different pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23666093/),[ml] / [100·min·ml],1.8,36261,DB08896,Regorafenib
,34157616,MTD,The MTD was defined as 82 mg/m2.,Phase 1 dose-escalation and pharmacokinetic study of regorafenib in paediatric patients with recurrent or refractory solid malignancies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34157616/),[mg] / [m2],82,59749,DB08896,Regorafenib
,31290566,PFS,In patients with no/nonsignificant gastrectomy the median PFS was 145 (interquartile range 43-281) days.,The effect of gastrectomy on regorafenib exposure and progression-free survival in patients with advanced gastrointestinal stromal tumours. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31290566/),d,145,79966,DB08896,Regorafenib
,31290566,PFS,The PFS in patients with a major gastrectomy was 172 (interquartile range 57-280) days.,The effect of gastrectomy on regorafenib exposure and progression-free survival in patients with advanced gastrointestinal stromal tumours. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31290566/),d,172,79967,DB08896,Regorafenib
,31290566,total concentration,The average ± standard deviation total concentration of regorafenib including the metabolites M-2 and M-5 was 6.9 ± 1.53 μmol/L and 6.7 ± 1.56 μmol/L in patient with major gastrectomy and no/nonsignificant gastrectomy respectively.,The effect of gastrectomy on regorafenib exposure and progression-free survival in patients with advanced gastrointestinal stromal tumours. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31290566/),[μM] / [l],6.9,79968,DB08896,Regorafenib
,31290566,total concentration,The average ± standard deviation total concentration of regorafenib including the metabolites M-2 and M-5 was 6.9 ± 1.53 μmol/L and 6.7 ± 1.56 μmol/L in patient with major gastrectomy and no/nonsignificant gastrectomy respectively.,The effect of gastrectomy on regorafenib exposure and progression-free survival in patients with advanced gastrointestinal stromal tumours. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31290566/),[μM] / [l],6.7,79969,DB08896,Regorafenib
