Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,27113864,shelf life,A stability analysis has also been carried out according to ICH guidelines (Q1AR2) and shelf life was found to be 1year and 4 months for the prepared formulation.,Revisiting bone targeting potential of novel hydroxyapatite based surface modified PLGA nanoparticles of risedronate: Pharmacokinetic and biochemical assessment. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27113864/),year,1,102308,DB00884,Risedronate
,27113864,shelf life,A stability analysis has also been carried out according to ICH guidelines (Q1AR2) and shelf life was found to be 1year and 4 months for the prepared formulation.,Revisiting bone targeting potential of novel hydroxyapatite based surface modified PLGA nanoparticles of risedronate: Pharmacokinetic and biochemical assessment. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27113864/),month,4,102309,DB00884,Risedronate
,23851998,ﬂow rate,"The mobile phase consisted of sodium phosphate buffer, 1 mM etidronate-acetonitrile (95:5, v/v), pH 9.0, and was pumped at a ﬂow rate of 0.3 mL/min.",UPLC-UV method for determination of risedronate in human urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),[ml] / [min],0.3,103424,DB00884,Risedronate
,23851998,Aet (accumulated excretion amount),"Aet (accumulated excretion amount) of risedronate in the urine after 5, 35 and 150 mg administration was 35.08, 246.67 and 1.413.85 μg within 36 h and Umax (maximal excretion rate) was 12.11, 77.7 and 374.24 μg/h, respectively.",UPLC-UV method for determination of risedronate in human urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),μg,35.08,103425,DB00884,Risedronate
,23851998,Aet (accumulated excretion amount),"Aet (accumulated excretion amount) of risedronate in the urine after 5, 35 and 150 mg administration was 35.08, 246.67 and 1.413.85 μg within 36 h and Umax (maximal excretion rate) was 12.11, 77.7 and 374.24 μg/h, respectively.",UPLC-UV method for determination of risedronate in human urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),μg,246.67,103426,DB00884,Risedronate
,23851998,Aet (accumulated excretion amount),"Aet (accumulated excretion amount) of risedronate in the urine after 5, 35 and 150 mg administration was 35.08, 246.67 and 1.413.85 μg within 36 h and Umax (maximal excretion rate) was 12.11, 77.7 and 374.24 μg/h, respectively.",UPLC-UV method for determination of risedronate in human urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),μg,1.413.85,103427,DB00884,Risedronate
,23851998,Umax (maximal excretion rate),"Aet (accumulated excretion amount) of risedronate in the urine after 5, 35 and 150 mg administration was 35.08, 246.67 and 1.413.85 μg within 36 h and Umax (maximal excretion rate) was 12.11, 77.7 and 374.24 μg/h, respectively.",UPLC-UV method for determination of risedronate in human urine. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),[μg] / [h],12.11,103428,DB00884,Risedronate
,23851998,Umax (maximal excretion rate),"Aet (accumulated excretion amount) of risedronate in the urine after 5, 35 and 150 mg administration was 35.08, 246.67 and 1.413.85 μg within 36 h and Umax (maximal excretion rate) was 12.11, 77.7 and 374.24 μg/h, respectively.",UPLC-UV method for determination of risedronate in human urine. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),[μg] / [h],77.7,103429,DB00884,Risedronate
,23851998,Umax (maximal excretion rate),"Aet (accumulated excretion amount) of risedronate in the urine after 5, 35 and 150 mg administration was 35.08, 246.67 and 1.413.85 μg within 36 h and Umax (maximal excretion rate) was 12.11, 77.7 and 374.24 μg/h, respectively.",UPLC-UV method for determination of risedronate in human urine. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23851998/),[μg] / [h],374.24,103430,DB00884,Risedronate
less,26594027,oral bioavailability (BA),"The oral bioavailability (BA) of risedronate sodium (RS), an antiresorptive agent, is less than 1% due to its low membrane permeability as well as the formation of non-absorbable complexes with multivalent cations such as calcium ion (Ca(2+)) in the gastrointestinal tract.","Enteric-coated tablet of risedronate sodium in combination with phytic acid, a natural chelating agent, for improved oral bioavailability. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26594027/),%,1,113422,DB00884,Risedronate
