Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,23250851,occupancies,"RO(thr) estimated occupancies were 0.288, 0.385, 0.771 for rats, rhesus, and cynomolgus monkeys, respectively.",Pharmacokinetic and pharmacodynamic modeling of romiplostim in animals. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23250851/),,0,240114,DB05332,Romiplostim
,23250851,occupancies,"RO(thr) estimated occupancies were 0.288, 0.385, 0.771 for rats, rhesus, and cynomolgus monkeys, respectively.",Pharmacokinetic and pharmacodynamic modeling of romiplostim in animals. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23250851/),,0.771,240115,DB05332,Romiplostim
,23250851,K(D),"The analogous estimated values of K(D) were 4.05, 2320, and 429 ng/mL, implying that romiplostim was much more potent in rats, which was confirmed by a dose-response (ratio of peak platelet count to baseline) relationship.",Pharmacokinetic and pharmacodynamic modeling of romiplostim in animals. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23250851/),[ng] / [ml],4.05,240116,DB05332,Romiplostim
,23250851,K(D),"The analogous estimated values of K(D) were 4.05, 2320, and 429 ng/mL, implying that romiplostim was much more potent in rats, which was confirmed by a dose-response (ratio of peak platelet count to baseline) relationship.",Pharmacokinetic and pharmacodynamic modeling of romiplostim in animals. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23250851/),[ng] / [ml],2320,240117,DB05332,Romiplostim
,23250851,K(D),"The analogous estimated values of K(D) were 4.05, 2320, and 429 ng/mL, implying that romiplostim was much more potent in rats, which was confirmed by a dose-response (ratio of peak platelet count to baseline) relationship.",Pharmacokinetic and pharmacodynamic modeling of romiplostim in animals. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23250851/),[ng] / [ml],429,240118,DB05332,Romiplostim
,20963535,maximal concentration of receptors,"The maximal concentration of receptors (assumed to be proportional to the platelet count), the equilibrium dissociation constant, and the first-order internalization rate constant for endocytosis of the drug-receptor complex were 0.022 fg/platelet, 0.131 ng/mL, and 0.173 h⁻¹, respectively.",Pharmacodynamics-mediated drug disposition (PDMDD) and precursor pool lifespan model for single dose of romiplostim in healthy subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20963535/),[fg] / [platelet],0.022,269529,DB05332,Romiplostim
,20963535,equilibrium dissociation constant,"The maximal concentration of receptors (assumed to be proportional to the platelet count), the equilibrium dissociation constant, and the first-order internalization rate constant for endocytosis of the drug-receptor complex were 0.022 fg/platelet, 0.131 ng/mL, and 0.173 h⁻¹, respectively.",Pharmacodynamics-mediated drug disposition (PDMDD) and precursor pool lifespan model for single dose of romiplostim in healthy subjects. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20963535/),[ng] / [ml],0.131,269530,DB05332,Romiplostim
,20963535,first-order internalization rate constant,"The maximal concentration of receptors (assumed to be proportional to the platelet count), the equilibrium dissociation constant, and the first-order internalization rate constant for endocytosis of the drug-receptor complex were 0.022 fg/platelet, 0.131 ng/mL, and 0.173 h⁻¹, respectively.",Pharmacodynamics-mediated drug disposition (PDMDD) and precursor pool lifespan model for single dose of romiplostim in healthy subjects. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20963535/),h⁻¹,0.173,269531,DB05332,Romiplostim
,20963535,SC₅₀,"Romiplostim concentration stimulates the production of platelet precursors via the Hill function, where the SC₅₀ was 0.052 ng/mL and S (max) was 11.2.",Pharmacodynamics-mediated drug disposition (PDMDD) and precursor pool lifespan model for single dose of romiplostim in healthy subjects. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20963535/),[ng] / [ml],0.052,269532,DB05332,Romiplostim
,20963535,S (max),"Romiplostim concentration stimulates the production of platelet precursors via the Hill function, where the SC₅₀ was 0.052 ng/mL and S (max) was 11.2.",Pharmacodynamics-mediated drug disposition (PDMDD) and precursor pool lifespan model for single dose of romiplostim in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20963535/),,11.2,269533,DB05332,Romiplostim
,20963535,lifespans,"The estimated precursor cell and platelet lifespans were 5.9 and 10.5 days, respectively.",Pharmacodynamics-mediated drug disposition (PDMDD) and precursor pool lifespan model for single dose of romiplostim in healthy subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20963535/),d,10.5,269534,DB05332,Romiplostim
