Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10319782,duration of analgesia,"A significantly longer (P < 0.0001) duration of analgesia (median [range]) was observed in the R0.5 group (1,440 [335-1,440] min), whereas the R0.25 group (208 [175-340] min) and the B0.25 group (220 [100-390] min) were comparable.",The dose-response of caudal ropivacaine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10319782/),min,"1,440",6338,DB00296,Ropivacaine
,10319782,duration of analgesia,"A significantly longer (P < 0.0001) duration of analgesia (median [range]) was observed in the R0.5 group (1,440 [335-1,440] min), whereas the R0.25 group (208 [175-340] min) and the B0.25 group (220 [100-390] min) were comparable.",The dose-response of caudal ropivacaine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10319782/),min,208,6339,DB00296,Ropivacaine
,10319782,duration of analgesia,"A significantly longer (P < 0.0001) duration of analgesia (median [range]) was observed in the R0.5 group (1,440 [335-1,440] min), whereas the R0.25 group (208 [175-340] min) and the B0.25 group (220 [100-390] min) were comparable.",The dose-response of caudal ropivacaine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10319782/),min,220,6340,DB00296,Ropivacaine
,16101704,clearance of unbound,Because of lower clearance of unbound ropivacaine in neonates (mean 33 ml.min(-1).,Pharmacokinetics and efficacy of ropivacaine for continuous epidural infusion in neonates and infants. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16101704/),[ml] / [min],33,6830,DB00296,Ropivacaine
,16101704,unbound ropivacaine,"kg(-1), respectively, in the age groups 31-90, 91-180, and 180-365 days), unbound ropivacaine concentrations at the end of infusion were higher in neonates [median 0.10 mg.l(-1) (0.04-0.21 mg.l(-1))] than in infants >30 days [median 0.03 mg.l(-1) (0.003-0.10 mg.l(-1))].",Pharmacokinetics and efficacy of ropivacaine for continuous epidural infusion in neonates and infants. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16101704/),[mg] / [l],0.10,6831,DB00296,Ropivacaine
,16101704,unbound ropivacaine,"kg(-1), respectively, in the age groups 31-90, 91-180, and 180-365 days), unbound ropivacaine concentrations at the end of infusion were higher in neonates [median 0.10 mg.l(-1) (0.04-0.21 mg.l(-1))] than in infants >30 days [median 0.03 mg.l(-1) (0.003-0.10 mg.l(-1))].",Pharmacokinetics and efficacy of ropivacaine for continuous epidural infusion in neonates and infants. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16101704/),[mg] / [l],0.03,6832,DB00296,Ropivacaine
,16101704,concentrations,"kg(-1), respectively, in the age groups 31-90, 91-180, and 180-365 days), unbound ropivacaine concentrations at the end of infusion were higher in neonates [median 0.10 mg.l(-1) (0.04-0.21 mg.l(-1))] than in infants >30 days [median 0.03 mg.l(-1) (0.003-0.10 mg.l(-1))].",Pharmacokinetics and efficacy of ropivacaine for continuous epidural infusion in neonates and infants. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16101704/),[mg] / [l],0.10,6833,DB00296,Ropivacaine
,16101704,concentrations,"kg(-1), respectively, in the age groups 31-90, 91-180, and 180-365 days), unbound ropivacaine concentrations at the end of infusion were higher in neonates [median 0.10 mg.l(-1) (0.04-0.21 mg.l(-1))] than in infants >30 days [median 0.03 mg.l(-1) (0.003-0.10 mg.l(-1))].",Pharmacokinetics and efficacy of ropivacaine for continuous epidural infusion in neonates and infants. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16101704/),[mg] / [l],0.03,6834,DB00296,Ropivacaine
,9338908,terminal elimination half-life,"The terminal elimination half-life in serum was about 3.5-4.0 hours and 6 hours for ropivacaine and bupivacaine, respectively.",Comparative local anesthetic efficacy and pharmacokinetics of epidurally administered ropivacaine and bupivacaine in the sheep. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9338908/),h,3.5-4.0,8044,DB00296,Ropivacaine
,9338908,terminal elimination half-life,"The terminal elimination half-life in serum was about 3.5-4.0 hours and 6 hours for ropivacaine and bupivacaine, respectively.",Comparative local anesthetic efficacy and pharmacokinetics of epidurally administered ropivacaine and bupivacaine in the sheep. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9338908/),h,6,8045,DB00296,Ropivacaine
