Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26317076,flow rate,"The chromatographic separation was achieved with Thermo Hypurity C18 column (50 mm × 4.6 mm, 5 μ) using a mobile phase composition containing 0.1% v/v formic acid in water and acetonitrile (30:70, v/v) at a flow rate of 0.4 mL/min.","Development, validation of liquid chromatography-tandem mass spectrometry method for simultaneous determination of rosuvastatin and metformin in human plasma and its application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26317076/),[ml] / [min],0.4,2211,DB01098,Rosuvastatin
,26317076,total run time,The total run time was 3.5 min.,"Development, validation of liquid chromatography-tandem mass spectrometry method for simultaneous determination of rosuvastatin and metformin in human plasma and its application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26317076/),min,3.5,2212,DB01098,Rosuvastatin
,28892871,emulsification time,"D-optimal mixture design was used for systematic optimization of L-SNEDDS, which exhibited emulsification time of 131s, globule size <100nm and faster drug release rate >80% in 15min.",Formulation by design approach for development of ultrafine self-nanoemulsifying systems of rosuvastatin calcium containing long-chain lipophiles for hyperlipidemia management. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28892871/),s,131,2566,DB01098,Rosuvastatin
,12610743,steady-state AUC(0-24),"In subjects with CP-A, and in four of six subjects with CP-B, rosuvastatin steady-state AUC(0-24) and C(max) were similar to subjects with normal hepatic function (geometric mean values 60.7 ng h/ml and 6.02 ng/ml, respectively).",Pharmacokinetics and pharmacodynamics of rosuvastatin in subjects with hepatic impairment. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12610743/),[h·ng] / [ml],60.7,3499,DB01098,Rosuvastatin
,12610743,C(max),"In subjects with CP-A, and in four of six subjects with CP-B, rosuvastatin steady-state AUC(0-24) and C(max) were similar to subjects with normal hepatic function (geometric mean values 60.7 ng h/ml and 6.02 ng/ml, respectively).",Pharmacokinetics and pharmacodynamics of rosuvastatin in subjects with hepatic impairment. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12610743/),[ng] / [ml],6.02,3500,DB01098,Rosuvastatin
,12610743,AUC(0-24),Two of six subjects with CP-B who had the highest CP scores (i.e. the highest degrees of hepatic impairment) had the highest AUC(0-24) (128 ng h/ml and 242 ng h/ml) and C(max) (23.4 ng/ml and 96.7 ng/ml) values.,Pharmacokinetics and pharmacodynamics of rosuvastatin in subjects with hepatic impairment. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12610743/),[h·ng] / [ml],128,3501,DB01098,Rosuvastatin
,12610743,AUC(0-24),Two of six subjects with CP-B who had the highest CP scores (i.e. the highest degrees of hepatic impairment) had the highest AUC(0-24) (128 ng h/ml and 242 ng h/ml) and C(max) (23.4 ng/ml and 96.7 ng/ml) values.,Pharmacokinetics and pharmacodynamics of rosuvastatin in subjects with hepatic impairment. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12610743/),[h·ng] / [ml],242,3502,DB01098,Rosuvastatin
,12610743,C(max),Two of six subjects with CP-B who had the highest CP scores (i.e. the highest degrees of hepatic impairment) had the highest AUC(0-24) (128 ng h/ml and 242 ng h/ml) and C(max) (23.4 ng/ml and 96.7 ng/ml) values.,Pharmacokinetics and pharmacodynamics of rosuvastatin in subjects with hepatic impairment. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12610743/),[ng] / [ml],23.4,3503,DB01098,Rosuvastatin
,12610743,C(max),Two of six subjects with CP-B who had the highest CP scores (i.e. the highest degrees of hepatic impairment) had the highest AUC(0-24) (128 ng h/ml and 242 ng h/ml) and C(max) (23.4 ng/ml and 96.7 ng/ml) values.,Pharmacokinetics and pharmacodynamics of rosuvastatin in subjects with hepatic impairment. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12610743/),[ng] / [ml],96.7,3504,DB01098,Rosuvastatin
,23767355,run time,A run time of 4 min made it possible to determine many plasma samples/day.,Development and validation of a liquid chromatography/ mass spectrometry method for the simultaneous quantitation of rosuvastatin and ezetimibe in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23767355/),min,4,8468,DB01098,Rosuvastatin
,21712498,AUC(0-24 h),The geometric mean AUC(0-24 h) of rosuvastatin increased from 109 to 161 ng·h/mL (P < .005) and C(max) increased 6.7 to 16.3 ng/mL (P < .001) when coadministered with darunavir/ritonavir.,Steady-state pharmacokinetic interactions of darunavir/ritonavir with lipid-lowering agent rosuvastatin. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21712498/),[h·ng] / [ml],109 to 161,16124,DB01098,Rosuvastatin
,21712498,C(max),The geometric mean AUC(0-24 h) of rosuvastatin increased from 109 to 161 ng·h/mL (P < .005) and C(max) increased 6.7 to 16.3 ng/mL (P < .001) when coadministered with darunavir/ritonavir.,Steady-state pharmacokinetic interactions of darunavir/ritonavir with lipid-lowering agent rosuvastatin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21712498/),[ng] / [ml],6.7 to 16.3,16125,DB01098,Rosuvastatin
,21549539,flow rate,The flow rate was 0.4mL/min and the total run time was 6min.,Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),[ml] / [min],0.4,16760,DB01098,Rosuvastatin
,21549539,total run time,The flow rate was 0.4mL/min and the total run time was 6min.,Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),min,6,16761,DB01098,Rosuvastatin
,21549539,m/z,"The MS/MS ion transitions monitored were m/z 543.3→198.9 and 481.9→258.3 for chamaechromone and rosuvastatin, respectively.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),,543.3,16762,DB01098,Rosuvastatin
,21549539,m/z,"The MS/MS ion transitions monitored were m/z 543.3→198.9 and 481.9→258.3 for chamaechromone and rosuvastatin, respectively.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),,198.9,16763,DB01098,Rosuvastatin
,21549539,m/z,"The MS/MS ion transitions monitored were m/z 543.3→198.9 and 481.9→258.3 for chamaechromone and rosuvastatin, respectively.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),,481.9,16764,DB01098,Rosuvastatin
,21549539,maximum mean concentration in plasma (C(max),"The maximum mean concentration in plasma (C(max), 795.9±14.6ng/L) was achieved at 11.3±0.8h (T(max)) and the area under curve (AUC(0-60)) was 6976.7±1026.9ngh/L.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),[ng] / [l],795.9,16765,DB01098,Rosuvastatin
,21549539,T(max),"The maximum mean concentration in plasma (C(max), 795.9±14.6ng/L) was achieved at 11.3±0.8h (T(max)) and the area under curve (AUC(0-60)) was 6976.7±1026.9ngh/L.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),h,11.3,16766,DB01098,Rosuvastatin
,21549539,area under curve (AUC(0-60)),"The maximum mean concentration in plasma (C(max), 795.9±14.6ng/L) was achieved at 11.3±0.8h (T(max)) and the area under curve (AUC(0-60)) was 6976.7±1026.9ngh/L.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),[ngh] / [l],6976.7,16767,DB01098,Rosuvastatin
,21549539,C(max),"After single intravenously administration of chamaechromone, the essential pharmacokinetic parameters C(max), AUC(0-48) were 4300.7±113.6ng/L and 3672.1±225.4ngh/L, respectively.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),[ng] / [l],4300.7,16768,DB01098,Rosuvastatin
,21549539,AUC(0-48),"After single intravenously administration of chamaechromone, the essential pharmacokinetic parameters C(max), AUC(0-48) were 4300.7±113.6ng/L and 3672.1±225.4ngh/L, respectively.",Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),[ngh] / [l],3672.1,16769,DB01098,Rosuvastatin
,21549539,absolute bioavailability,The result showed that the compound was poorly absorbed with an absolute bioavailability being approximately 8.9%.,Determination of chamaechromone in rat plasma by liquid chromatography-tandem mass spectrometry: application to pharmacokinetic study. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21549539/),%,8.9,16770,DB01098,Rosuvastatin
,29701749,total runtime,Polarity switch (negative-positive-negative ionization mode) was performed in a total runtime of 5.0 min.,"Simultaneous determination of rosuvastatin, naringin and naringenin in rat plasma by RRLC-MS/MS and its application to a pharmacokinetic drug interaction study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29701749/),min,5.0,18963,DB01098,Rosuvastatin
,29692602,steady-state ratios,"In the case of free and total ezetimibe, the steady-state ratios of AUCτ,ss and concentration at steady-state were 1.131 (1.051-1.218) and 1.182 (1.038-1.346), and 1.055 (0.969-1.148) and 0.996 (0.873-1.135), respectively.","Pharmacokinetic interactions and tolerability of rosuvastatin and ezetimibe: an open-label, randomized, multiple-dose, crossover study in healthy male volunteers. ",Css ratio-Q35,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29692602/),,1,20157,DB01098,Rosuvastatin
,16838266,flow gradient,"The chromatographic run time was less than 20 min using flow gradient (0.0-1.60 mL/min) with a mobile phase consisting of 0.01 M ammonium acetate:acetonitrile:methanol (50:40:10, v/v/v) and UV detection at 275 nm.",Simultaneous quantitation of rosuvastatin and gemfibrozil in human plasma by high-performance liquid chromatography and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16838266/),[ml] / [min],0.0-1.60,22411,DB01098,Rosuvastatin
,16838266,Nominal retention times,"Nominal retention times of RST, GFZ and IS were 6.7, 13.9 and 16.4 min, respectively.",Simultaneous quantitation of rosuvastatin and gemfibrozil in human plasma by high-performance liquid chromatography and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16838266/),min,6.7,22412,DB01098,Rosuvastatin
,16838266,Nominal retention times,"Nominal retention times of RST, GFZ and IS were 6.7, 13.9 and 16.4 min, respectively.",Simultaneous quantitation of rosuvastatin and gemfibrozil in human plasma by high-performance liquid chromatography and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16838266/),min,13.9,22413,DB01098,Rosuvastatin
,16838266,Nominal retention times,"Nominal retention times of RST, GFZ and IS were 6.7, 13.9 and 16.4 min, respectively.",Simultaneous quantitation of rosuvastatin and gemfibrozil in human plasma by high-performance liquid chromatography and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16838266/),min,16.4,22414,DB01098,Rosuvastatin
greater,16838266,Absolute recovery,Absolute recovery of both analytes and IS was greater than 90%.,Simultaneous quantitation of rosuvastatin and gemfibrozil in human plasma by high-performance liquid chromatography and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16838266/),%,90,22415,DB01098,Rosuvastatin
