Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
<,19608695,Renal elimination,Renal elimination of the parent compound was <1%.,"Absorption, disposition, metabolic fate, and elimination of the dopamine agonist rotigotine in man: administration by intravenous infusion or transdermal delivery. ",CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19608695/),%,1,17255,DB05271,Rotigotine
,19608695,Absolute bioavailability,Absolute bioavailability of transdermally applied rotigotine was 37%.,"Absorption, disposition, metabolic fate, and elimination of the dopamine agonist rotigotine in man: administration by intravenous infusion or transdermal delivery. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19608695/),%,37,17256,DB05271,Rotigotine
,25791613,AUC0-24h,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of unconjugated rotigotine were 5.88 ng·h/mL and 0.347 ng/mL, respectively; at the 4 mg/24 h dose, the corresponding values were 13.74 ng·h/mL and 0.838 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[h·ng] / [ml],5.88,21036,DB05271,Rotigotine
,25791613,AUC0-24h,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of unconjugated rotigotine were 5.88 ng·h/mL and 0.347 ng/mL, respectively; at the 4 mg/24 h dose, the corresponding values were 13.74 ng·h/mL and 0.838 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[h·ng] / [ml],13.74,21037,DB05271,Rotigotine
,25791613,AUC0-24h,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of unconjugated rotigotine were 5.88 ng·h/mL and 0.347 ng/mL, respectively; at the 4 mg/24 h dose, the corresponding values were 13.74 ng·h/mL and 0.838 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[ng] / [ml],0.838,21038,DB05271,Rotigotine
,25791613,Cmax,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of unconjugated rotigotine were 5.88 ng·h/mL and 0.347 ng/mL, respectively; at the 4 mg/24 h dose, the corresponding values were 13.74 ng·h/mL and 0.838 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[ng] / [ml],0.347,21039,DB05271,Rotigotine
,25791613,Cmax,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of unconjugated rotigotine were 5.88 ng·h/mL and 0.347 ng/mL, respectively; at the 4 mg/24 h dose, the corresponding values were 13.74 ng·h/mL and 0.838 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[h·ng] / [ml],13.74,21040,DB05271,Rotigotine
,25791613,Cmax,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of unconjugated rotigotine were 5.88 ng·h/mL and 0.347 ng/mL, respectively; at the 4 mg/24 h dose, the corresponding values were 13.74 ng·h/mL and 0.838 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[ng] / [ml],0.838,21041,DB05271,Rotigotine
,25791613,t½,The mean t½ of rotigotine was 4.96 hours.,Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),h,4.96,21042,DB05271,Rotigotine
,25791613,AUC0-24h,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of total rotigotine were 14.02 ng·h/mL and 0.776 ng/mL; at the 4-mg/24 h dose, 32.38 ng·h/mL and 1.867 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[h·ng] / [ml],14.02,21043,DB05271,Rotigotine
,25791613,AUC0-24h,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of total rotigotine were 14.02 ng·h/mL and 0.776 ng/mL; at the 4-mg/24 h dose, 32.38 ng·h/mL and 1.867 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[h·ng] / [ml],32.38,21044,DB05271,Rotigotine
,25791613,Cmax,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of total rotigotine were 14.02 ng·h/mL and 0.776 ng/mL; at the 4-mg/24 h dose, 32.38 ng·h/mL and 1.867 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[ng] / [ml],0.776,21045,DB05271,Rotigotine
,25791613,Cmax,"At the 2 mg/24 h dose at steady state, the geometric mean AUC0-24h and Cmax values of total rotigotine were 14.02 ng·h/mL and 0.776 ng/mL; at the 4-mg/24 h dose, 32.38 ng·h/mL and 1.867 ng/mL.",Pharmacokinetic properties and tolerability of rotigotine transdermal patch after repeated-dose application in healthy korean volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25791613/),[ng] / [ml],1.867,21046,DB05271,Rotigotine
,34224964,enrichment factor (EF),The enrichment factor (EF) of the reversed lipid micelle-based HF-LPME for rotigotine reached 126.,Reversed lipid micellar hollow-fiber liquid-phase microextraction of rotigotine in rat plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34224964/),,126,58450,DB05271,Rotigotine
,16485914,elimination half-life (t(1/2)),The elimination half-life (t(1/2)) of levodopa from plasma (in combination with a decarboxylase inhibitor) of about 1.5 hours becomes more influential as the disease progresses.,Pharmacokinetic optimisation in the treatment of Parkinson's disease : an update. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16485914/),h,1.5,61864,DB05271,Rotigotine
,9756144,elimination half-life,The short elimination half-life of N-0923 (90 min) would allow for the rapid initiation of drug effect when necessary and at the same time permit the effect to be terminated quickly if necessary.,"N-0923, a novel soluble dopamine D2 agonist in the treatment of parkinsonism. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9756144/),min,90,76131,DB05271,Rotigotine
,25795100,Absolute bioavailability,Absolute bioavailability after 24 h transdermal delivery is 37 % of the applied rotigotine dose.,"An update on pharmacological, pharmacokinetic properties and drug-drug interactions of rotigotine transdermal system in Parkinson's disease and restless legs syndrome. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25795100/),%,37,99596,DB05271,Rotigotine
>,25795100,apparent volume of distribution,The drug shows a high apparent volume of distribution (>2500 L) and a total body clearance of 300-600 L/h.,"An update on pharmacological, pharmacokinetic properties and drug-drug interactions of rotigotine transdermal system in Parkinson's disease and restless legs syndrome. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25795100/),l,2500,99597,DB05271,Rotigotine
,25795100,total body clearance,The drug shows a high apparent volume of distribution (>2500 L) and a total body clearance of 300-600 L/h.,"An update on pharmacological, pharmacokinetic properties and drug-drug interactions of rotigotine transdermal system in Parkinson's disease and restless legs syndrome. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25795100/),[l] / [h],300-600,99598,DB05271,Rotigotine
