Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24561338,flow rate,"Chromatographic separation of analytes was performed on YMC pack ODS AM (150mm×4.6mm, 5μm) column under gradient conditions with acetonitrile:2.0mM ammonium acetate buffer as the mobile phase at a flow rate of 1ml/min.",Simultaneous quantification of ruxolitinib and nilotinib in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24561338/),[ml] / [min],1,3650,DB08877,Ruxolitinib
,24561338,extraction recovery,"Mean extraction recovery for ruxolitinib, nilotinib, and IS of 99.6%, 97.6% and 90.3% were consistent across low, medium, and high QC levels.",Simultaneous quantification of ruxolitinib and nilotinib in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24561338/),%,99.6,3651,DB08877,Ruxolitinib
,24561338,extraction recovery,"Mean extraction recovery for ruxolitinib, nilotinib, and IS of 99.6%, 97.6% and 90.3% were consistent across low, medium, and high QC levels.",Simultaneous quantification of ruxolitinib and nilotinib in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24561338/),%,97.6,3652,DB08877,Ruxolitinib
,24561338,extraction recovery,"Mean extraction recovery for ruxolitinib, nilotinib, and IS of 99.6%, 97.6% and 90.3% were consistent across low, medium, and high QC levels.",Simultaneous quantification of ruxolitinib and nilotinib in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24561338/),%,90.3,3653,DB08877,Ruxolitinib
<,20699411,time to reach the maximal drug concentration,"INCB018424 and total radioactivity were absorbed rapidly (mean time to reach the maximal drug concentration <1 h), declining in a monophasic or biphasic fashion (mean t(1/2) of 2.32 and 5.81 h, respectively).","Metabolism, excretion, and pharmacokinetics of [14C]INCB018424, a selective Janus tyrosine kinase 1/2 inhibitor, in humans. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20699411/),h,1,8963,DB08877,Ruxolitinib
,20699411,t(1/2),"INCB018424 and total radioactivity were absorbed rapidly (mean time to reach the maximal drug concentration <1 h), declining in a monophasic or biphasic fashion (mean t(1/2) of 2.32 and 5.81 h, respectively).","Metabolism, excretion, and pharmacokinetics of [14C]INCB018424, a selective Janus tyrosine kinase 1/2 inhibitor, in humans. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20699411/),h,2.32,8964,DB08877,Ruxolitinib
,20699411,t(1/2),"INCB018424 and total radioactivity were absorbed rapidly (mean time to reach the maximal drug concentration <1 h), declining in a monophasic or biphasic fashion (mean t(1/2) of 2.32 and 5.81 h, respectively).","Metabolism, excretion, and pharmacokinetics of [14C]INCB018424, a selective Janus tyrosine kinase 1/2 inhibitor, in humans. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20699411/),h,5.81,8965,DB08877,Ruxolitinib
,28344057,Overall response rate,Overall response rate was 45%.,Ruxolitinib as Salvage Therapy in Steroid-Refractory Acute Graft-versus-Host Disease in Pediatric Hematopoietic Stem Cell Transplant Patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28344057/),%,45,61156,DB08877,Ruxolitinib
,30849661,time to peak plasma concentrations at steady-state,"Following administration of glasdegib 100 mg once daily, the median time to peak plasma concentrations at steady-state generally occurred at 1 h post-dose.",Phase 1/2 trial of glasdegib in patients with primary or secondary myelofibrosis previously treated with ruxolitinib. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30849661/),h,1,73729,DB08877,Ruxolitinib
,23677817,Apparent oral clearance,"Apparent oral clearance was 22.1 and 17.7 L/h for a typical male and female subject, respectively, with 39.1% unexplained inter-individual variability (IIV).","Population pharmacokinetic analysis of orally-administered ruxolitinib (INCB018424 Phosphate) in patients with primary myelofibrosis (PMF), post-polycythemia vera myelofibrosis (PPV-MF) or post-essential thrombocythemia myelofibrosis (PET MF). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23677817/),[l] / [h],22.1,74266,DB08877,Ruxolitinib
