Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10823093,peripheral volume of distribution,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw],612,381,DB01236,Sevoflurane
,10823093,peripheral volume of distribution,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw],4112,382,DB01236,Sevoflurane
,10823093,peripheral volume of distribution,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",V2-Q64,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw],1634,383,DB01236,Sevoflurane
,10823093,transport clearance from,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw·min],7.0,384,DB01236,Sevoflurane
,10823093,transport clearance from,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw·min],30.7,385,DB01236,Sevoflurane
,10823093,transport clearance from,"Although isoflurane and sevoflurane have almost the same tissue/blood partition coefficients, significant differences between substances were observed for the peripheral volume of distribution (medians and ranges: desflurane, 612 (343-1850) mlvapour kgbw-1; isoflurane, 4112 (1472-9396) mlvapour kgbw-1; sevoflurane, 1634 (762-8843) mlvapour kgbw-1) and the transport clearance from the central to the peripheral compartment (desflurane, 7.0 (4.4-11.1) mlvapour kgbw-1 min-1; isoflurane, 30.7 (15.9-38.7) mlvapour kgbw-1 min-1; sevoflurane, 13.0 (9.8-22.4) mlvapour kgbw-1 min-1).","Pharmacokinetics of inhaled anaesthetics in a clinical setting: comparison of desflurane, isoflurane and sevoflurane. ",CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10823093/),[mlvapour] / [kgbw·min],13.0,386,DB01236,Sevoflurane
,2400116,blood/gas partition coefficient,"The blood/gas partition coefficient of desflurane (0.35 +/- 0.02) was significantly smaller (P less than 0.01) than that of sevoflurane (0.45 +/- 0.02), isoflurane (0.94 +/- 0.05), and halothane (2.54 +/- 0.21).","Pharmacokinetics of desflurane, sevoflurane, isoflurane, and halothane in pigs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2400116/),,0.35,2177,DB01236,Sevoflurane
,2400116,blood/gas partition coefficient,"The blood/gas partition coefficient of desflurane (0.35 +/- 0.02) was significantly smaller (P less than 0.01) than that of sevoflurane (0.45 +/- 0.02), isoflurane (0.94 +/- 0.05), and halothane (2.54 +/- 0.21).","Pharmacokinetics of desflurane, sevoflurane, isoflurane, and halothane in pigs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2400116/),,0.45,2178,DB01236,Sevoflurane
,2400116,blood/gas partition coefficient,"The blood/gas partition coefficient of desflurane (0.35 +/- 0.02) was significantly smaller (P less than 0.01) than that of sevoflurane (0.45 +/- 0.02), isoflurane (0.94 +/- 0.05), and halothane (2.54 +/- 0.21).","Pharmacokinetics of desflurane, sevoflurane, isoflurane, and halothane in pigs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2400116/),,0.94,2179,DB01236,Sevoflurane
,2400116,blood/gas partition coefficient,"The blood/gas partition coefficient of desflurane (0.35 +/- 0.02) was significantly smaller (P less than 0.01) than that of sevoflurane (0.45 +/- 0.02), isoflurane (0.94 +/- 0.05), and halothane (2.54 +/- 0.21).","Pharmacokinetics of desflurane, sevoflurane, isoflurane, and halothane in pigs. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2400116/),,2.54,2180,DB01236,Sevoflurane
