Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
>,24947446,CL,"2. The clearance (CL) values of high CL compounds (CL > 50 mL/min/kg, namely propranolol, diazepam, phenytoin, ethinylestradiol, lorcaserin and fenfluramine) decreased significantly (1.5- to 6-fold) in DIO and AM rats as compared to lean rats, while there was no clear trend for change in CL for the low-to-moderate CL compounds (CL < 50 mL/min/kg, namely atenolol, chlorzoxazone, vancomycin and sibutramine).","Role of hepatic blood flow and metabolism in the pharmacokinetics of ten drugs in lean, aged and obese rats. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24947446/),[ml] / [kg·min],50,34154,DB01105,Sibutramine
<,24947446,CL,"2. The clearance (CL) values of high CL compounds (CL > 50 mL/min/kg, namely propranolol, diazepam, phenytoin, ethinylestradiol, lorcaserin and fenfluramine) decreased significantly (1.5- to 6-fold) in DIO and AM rats as compared to lean rats, while there was no clear trend for change in CL for the low-to-moderate CL compounds (CL < 50 mL/min/kg, namely atenolol, chlorzoxazone, vancomycin and sibutramine).","Role of hepatic blood flow and metabolism in the pharmacokinetics of ten drugs in lean, aged and obese rats. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24947446/),[ml] / [kg·min],50,34155,DB01105,Sibutramine
,20118553,maximum drug solubility,The sibutramine-loaded solid dispersion at the weight ratio of sibutramine base/HPMC/poloxamer/citric acid of 5/3/3/0.2 gave the maximum drug solubility of about 3 mg/ml.,Enhanced solubility and bioavailability of sibutramine base by solid dispersion system with aqueous medium. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20118553/),[mg] / [ml],3,44915,DB01105,Sibutramine
,12554132,flow-rate,"Chromatography was performed on an ODS MS column with a mobile phase consisting of acetonitrile (containing 0.1% trifluoroacetic acid, v/v)-0.1% trifluoroacetic acid (55:45, v/v) at a flow-rate of 0.3 ml/min.",Determination of the active metabolite of sibutramine by liquid chromatography-electrospray ionization tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12554132/),[ml] / [min],0.3,45326,DB01105,Sibutramine
,15171657,T1/2,"The main pharmacokinetic parameters of T1/2, Tmax and Cmax were (9.2 +/- 2.8) h, (1.0 +/- 0.3) h and (40 +/- 20) microg x L(-1) for the reference tablet; (9.2 +/- 2.3) h, (0.9 +/- 0.4) h and (41 +/- 20) microg x L(-1) for the test tablet.",[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),h,9.2,81464,DB01105,Sibutramine
,15171657,Tmax,"The main pharmacokinetic parameters of T1/2, Tmax and Cmax were (9.2 +/- 2.8) h, (1.0 +/- 0.3) h and (40 +/- 20) microg x L(-1) for the reference tablet; (9.2 +/- 2.3) h, (0.9 +/- 0.4) h and (41 +/- 20) microg x L(-1) for the test tablet.",[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),h,1.0,81465,DB01105,Sibutramine
,15171657,Tmax,"The main pharmacokinetic parameters of T1/2, Tmax and Cmax were (9.2 +/- 2.8) h, (1.0 +/- 0.3) h and (40 +/- 20) microg x L(-1) for the reference tablet; (9.2 +/- 2.3) h, (0.9 +/- 0.4) h and (41 +/- 20) microg x L(-1) for the test tablet.",[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),h,9.2,81466,DB01105,Sibutramine
,15171657,Tmax,"The main pharmacokinetic parameters of T1/2, Tmax and Cmax were (9.2 +/- 2.8) h, (1.0 +/- 0.3) h and (40 +/- 20) microg x L(-1) for the reference tablet; (9.2 +/- 2.3) h, (0.9 +/- 0.4) h and (41 +/- 20) microg x L(-1) for the test tablet.",[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),h,0.9,81467,DB01105,Sibutramine
,15171657,Cmax,"The main pharmacokinetic parameters of T1/2, Tmax and Cmax were (9.2 +/- 2.8) h, (1.0 +/- 0.3) h and (40 +/- 20) microg x L(-1) for the reference tablet; (9.2 +/- 2.3) h, (0.9 +/- 0.4) h and (41 +/- 20) microg x L(-1) for the test tablet.",[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),[μg] / [l],40,81468,DB01105,Sibutramine
,15171657,Cmax,"The main pharmacokinetic parameters of T1/2, Tmax and Cmax were (9.2 +/- 2.8) h, (1.0 +/- 0.3) h and (40 +/- 20) microg x L(-1) for the reference tablet; (9.2 +/- 2.3) h, (0.9 +/- 0.4) h and (41 +/- 20) microg x L(-1) for the test tablet.",[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),[μg] / [l],41,81469,DB01105,Sibutramine
,15171657,relative bioavalability,The relative bioavalability of the test tablet was (97 +/- 13)%.,[Pharmacokinetics and bioequivalence of trimebutine dispersive tablet in healthy subjects]. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15171657/),%,97,81470,DB01105,Sibutramine
,20350955,M1,"The mean value of M1 t(1/2) in *1/*6 (33.3 ± 10.5 hours) was about 58% and 61% greater than that of the *1/*1 group (21.0 ± 7.4 hours) and the *1/*4 group (20.7 ± 9.8 hours), respectively.",Effect of CYP2B6 genotype on the pharmacokinetics of sibutramine and active metabolites in healthy subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20350955/),h,33.3,95904,DB01105,Sibutramine
,20350955,t(1/2),"The mean value of M1 t(1/2) in *1/*6 (33.3 ± 10.5 hours) was about 58% and 61% greater than that of the *1/*1 group (21.0 ± 7.4 hours) and the *1/*4 group (20.7 ± 9.8 hours), respectively.",Effect of CYP2B6 genotype on the pharmacokinetics of sibutramine and active metabolites in healthy subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20350955/),h,33.3,95905,DB01105,Sibutramine
,20350955,t(1/2),"The mean value of M1 t(1/2) in *1/*6 (33.3 ± 10.5 hours) was about 58% and 61% greater than that of the *1/*1 group (21.0 ± 7.4 hours) and the *1/*4 group (20.7 ± 9.8 hours), respectively.",Effect of CYP2B6 genotype on the pharmacokinetics of sibutramine and active metabolites in healthy subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20350955/),h,21.0,95906,DB01105,Sibutramine
,20350955,t(1/2),"The mean value of M1 t(1/2) in *1/*6 (33.3 ± 10.5 hours) was about 58% and 61% greater than that of the *1/*1 group (21.0 ± 7.4 hours) and the *1/*4 group (20.7 ± 9.8 hours), respectively.",Effect of CYP2B6 genotype on the pharmacokinetics of sibutramine and active metabolites in healthy subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20350955/),h,20.7,95907,DB01105,Sibutramine
,15823773,relative bioavailability,The relative bioavailability of the test drug was 117.6% for M1 and 102.4% for M2.,"Relative bioavailability and pharmacokinetics of a new sibutramine formulation in healthy male subjects: a randomized, open-label, two-period, comparative crossover study. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15823773/),%,117.6,144686,DB01105,Sibutramine
,15823773,relative bioavailability,The relative bioavailability of the test drug was 117.6% for M1 and 102.4% for M2.,"Relative bioavailability and pharmacokinetics of a new sibutramine formulation in healthy male subjects: a randomized, open-label, two-period, comparative crossover study. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15823773/),%,102.4,144687,DB01105,Sibutramine
,20637849,solubility,"Among the formulations tested, the solid dispersion composed of sibutramine base/gelatin/HPMC/citric acid at the weight ratio of 1/0.8/0.2/0.5 gave the highest solubility of 5.03+/-0.24 mg/ml.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),[mg] / [ml],5.03,173760,DB01105,Sibutramine
,20637849,difference factor (f(1)),"The difference factor (f(1)) values between solid dispersion and commercial product were 2.82, 6.65 and 6.31 at pH 1.2, 4.0 and 6.8, respectively.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),,2.82,173761,DB01105,Sibutramine
,20637849,difference factor (f(1)),"The difference factor (f(1)) values between solid dispersion and commercial product were 2.82, 6.65 and 6.31 at pH 1.2, 4.0 and 6.8, respectively.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),,6.65,173762,DB01105,Sibutramine
,20637849,difference factor (f(1)),"The difference factor (f(1)) values between solid dispersion and commercial product were 2.82, 6.65 and 6.31 at pH 1.2, 4.0 and 6.8, respectively.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),,6.31,173763,DB01105,Sibutramine
,20637849,similarity factor (f(2)),"Furthermore, they had the similarity factor (f(2)) value of 65.68, 53.43 and 58.97 at pH 1.2, 4.0 and 6.8, respectively.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),,65.68,173764,DB01105,Sibutramine
,20637849,similarity factor (f(2)),"Furthermore, they had the similarity factor (f(2)) value of 65.68, 53.43 and 58.97 at pH 1.2, 4.0 and 6.8, respectively.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),,53.43,173765,DB01105,Sibutramine
,20637849,similarity factor (f(2)),"Furthermore, they had the similarity factor (f(2)) value of 65.68, 53.43 and 58.97 at pH 1.2, 4.0 and 6.8, respectively.",Development of novel sibutramine base-loaded solid dispersion with gelatin and HPMC: physicochemical characterization and pharmacokinetics in beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20637849/),,58.97,173766,DB01105,Sibutramine
,21294141,flow rate of the mobile phase,"The flow rate of the mobile phase was 200 μL/min and the retention times of sibutramine, M1, M2 and internal standard (chlorpheniramine) were 1.5, 1.4, 1.3 and 0.9 min, respectively.",Simultaneous determination of sibutramine and its active metabolites in human plasma by LC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21294141/),[μl] / [min],200,174499,DB01105,Sibutramine
,21294141,retention times,"The flow rate of the mobile phase was 200 μL/min and the retention times of sibutramine, M1, M2 and internal standard (chlorpheniramine) were 1.5, 1.4, 1.3 and 0.9 min, respectively.",Simultaneous determination of sibutramine and its active metabolites in human plasma by LC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21294141/),min,1.5,174500,DB01105,Sibutramine
,21294141,retention times,"The flow rate of the mobile phase was 200 μL/min and the retention times of sibutramine, M1, M2 and internal standard (chlorpheniramine) were 1.5, 1.4, 1.3 and 0.9 min, respectively.",Simultaneous determination of sibutramine and its active metabolites in human plasma by LC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21294141/),min,1.4,174501,DB01105,Sibutramine
,21294141,retention times,"The flow rate of the mobile phase was 200 μL/min and the retention times of sibutramine, M1, M2 and internal standard (chlorpheniramine) were 1.5, 1.4, 1.3 and 0.9 min, respectively.",Simultaneous determination of sibutramine and its active metabolites in human plasma by LC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21294141/),min,1.3,174502,DB01105,Sibutramine
,21294141,retention times,"The flow rate of the mobile phase was 200 μL/min and the retention times of sibutramine, M1, M2 and internal standard (chlorpheniramine) were 1.5, 1.4, 1.3 and 0.9 min, respectively.",Simultaneous determination of sibutramine and its active metabolites in human plasma by LC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21294141/),min,0.9,174503,DB01105,Sibutramine
,20195828,absolute bioavailability,The absolute bioavailability of sibutramine was only about 7%.,Enantioselective pharmacokinetics of sibutramine in rat. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20195828/),%,7,180124,DB01105,Sibutramine
,15777777,C(max) for,"The C(max) for C75 of 2.6+/-1.5 microM was reached within 1-4 h after intraperitoneal administration at 30 mg/kg, a drug level that causes complete blockade of food intake.",Disconnection between the early onset anorectic effects by C75 and hypothalamic fatty acid synthase inhibition in rodents. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15777777/),μM,2.6,219804,DB01105,Sibutramine
,15777777,IC50,"However, this concentration is substantially lower than the effective concentration used to inhibit rat fatty acid synthase enzyme activity in vitro (IC50: approximately 200 microM) and hypothalamic enzyme activity was found not to be inhibited by intraperitoneal administration of C75 at 30 mg/kg.",Disconnection between the early onset anorectic effects by C75 and hypothalamic fatty acid synthase inhibition in rodents. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15777777/),μM,200,219805,DB01105,Sibutramine
