Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9171878,Ki,"The optimal compound discovered during these studies, 15q (TBC11251), binds competitively to human ETA receptors with a Ki of 0.43 +/- 0.03 nM and an IC50 of 1.4 nM (IC50 for ETB = 9800 nM).","Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),nM,0.43,63718,DB06268,Sitaxentan
,9171878,IC50,"The optimal compound discovered during these studies, 15q (TBC11251), binds competitively to human ETA receptors with a Ki of 0.43 +/- 0.03 nM and an IC50 of 1.4 nM (IC50 for ETB = 9800 nM).","Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),nM,1.4,63719,DB06268,Sitaxentan
,9171878,IC50,"The optimal compound discovered during these studies, 15q (TBC11251), binds competitively to human ETA receptors with a Ki of 0.43 +/- 0.03 nM and an IC50 of 1.4 nM (IC50 for ETB = 9800 nM).","Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),nM,9800,63720,DB06268,Sitaxentan
,9171878,Ki,This compound inhibits ET-1-induced stimulation of phosphoinositide turnover with a Ki of 0.686 nM and a pA2 of 8.0.,"Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),nM,0.686,63721,DB06268,Sitaxentan
,9171878,pA2,This compound inhibits ET-1-induced stimulation of phosphoinositide turnover with a Ki of 0.686 nM and a pA2 of 8.0.,"Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),,8.0,63722,DB06268,Sitaxentan
,9171878,serum half-life,The compound has a serum half-life in the rat and the dog of 6-7 h and 60-100% oral bioavailability.,"Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),h,6-7,63723,DB06268,Sitaxentan
,9171878,oral bioavailability,The compound has a serum half-life in the rat and the dog of 6-7 h and 60-100% oral bioavailability.,"Discovery of TBC11251, a potent, long acting, orally active endothelin receptor-A selective antagonist. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9171878/),%,60-100,63724,DB06268,Sitaxentan
,31875652,flow rate,A chromatographic separation was performed on a C18 column using a gradient of methanol-water containing 0.1% formic acid and 0.013% ammonium acetate and a flow rate of 0.5 ml/min.,"Simultaneous quantification of ambrisentan, macitentan and sitaxentan in human plasma using UPLC-MS/MS. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31875652/),[ml] / [min],0.5,155373,DB06268,Sitaxentan
,17635499,C(max),"The mean plasma sitaxsentan concentrations were comparable across the groups, as were the mean values for C(max) (10.3-13.9 microg ml(-1)), AUC(infinity) (18.7-22.5 h microg(-1) ml(-1)), oral clearance (CL/F, 82.3-94.9 ml min(-1)), volume of distribution (Vz/F, 64.8-69.6 l) and elimination half-life (t(1/2), 8.6-9.6 h).","The pharmacokinetic profile of sitaxsentan, a selective endothelin receptor antagonist, in varying degrees of renal impairment. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17635499/),[μg] / [ml],10.3-13.9,159501,DB06268,Sitaxentan
,17635499,AUC(infinity),"The mean plasma sitaxsentan concentrations were comparable across the groups, as were the mean values for C(max) (10.3-13.9 microg ml(-1)), AUC(infinity) (18.7-22.5 h microg(-1) ml(-1)), oral clearance (CL/F, 82.3-94.9 ml min(-1)), volume of distribution (Vz/F, 64.8-69.6 l) and elimination half-life (t(1/2), 8.6-9.6 h).","The pharmacokinetic profile of sitaxsentan, a selective endothelin receptor antagonist, in varying degrees of renal impairment. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17635499/),[h] / [ml·μg],18.7-22.5,159502,DB06268,Sitaxentan
