Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15667712,C(max),"The mean (S.D.) values of C(max), for example, were more than three-fold higher in the hamsters with ARF [467.5 (59.04) microg/ml] or CRF [461.1 (68.9) microg/ml] than in the controls [154.01 (17.3) microg/ml].",Effect of renal impairment on the pharmacokinetics of antimony in hamsters. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15667712/),[μg] / [ml],467.5,13241,DB05630,Sodium stibogluconate
,15667712,C(max),"The mean (S.D.) values of C(max), for example, were more than three-fold higher in the hamsters with ARF [467.5 (59.04) microg/ml] or CRF [461.1 (68.9) microg/ml] than in the controls [154.01 (17.3) microg/ml].",Effect of renal impairment on the pharmacokinetics of antimony in hamsters. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15667712/),[μg] / [ml],461.1,13242,DB05630,Sodium stibogluconate
,15667712,C(max),"The mean (S.D.) values of C(max), for example, were more than three-fold higher in the hamsters with ARF [467.5 (59.04) microg/ml] or CRF [461.1 (68.9) microg/ml] than in the controls [154.01 (17.3) microg/ml].",Effect of renal impairment on the pharmacokinetics of antimony in hamsters. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15667712/),[μg] / [ml],154.01,13243,DB05630,Sodium stibogluconate
,15667712,systemic clearance,The systemic clearance of antimony was also significantly lower in the hamsters with CRF than in the control animals [0.051 (0.002) v. 0.296 (0.047) litres/h/kg; P < 0.01].,Effect of renal impairment on the pharmacokinetics of antimony in hamsters. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15667712/),[l] / [h·kg],0.051,13244,DB05630,Sodium stibogluconate
,15667712,systemic clearance,The systemic clearance of antimony was also significantly lower in the hamsters with CRF than in the control animals [0.051 (0.002) v. 0.296 (0.047) litres/h/kg; P < 0.01].,Effect of renal impairment on the pharmacokinetics of antimony in hamsters. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15667712/),[l] / [h·kg],0.296,13245,DB05630,Sodium stibogluconate
,20663995,absorption half-life,"The mean absorption half-life was 0.21 ± 0.023 and 0.36 ± 0.18 hours for the first and last doses, respectively.",Clinical efficacy and pharmacokinetics of antimony in cutaneous leishmaniasis patients treated with sodium stibogluconate. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/20663995/),h,0.21,56535,DB05630,Sodium stibogluconate
,20663995,absorption half-life,"The mean absorption half-life was 0.21 ± 0.023 and 0.36 ± 0.18 hours for the first and last doses, respectively.",Clinical efficacy and pharmacokinetics of antimony in cutaneous leishmaniasis patients treated with sodium stibogluconate. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/20663995/),h,0.36,56536,DB05630,Sodium stibogluconate
,20663995,half-life,"A rapid distribution phase was followed by a slower elimination phase of a half-life of 9.4 ± 1.9 and 9.69 ± 2.3 hours for both days, respectively.",Clinical efficacy and pharmacokinetics of antimony in cutaneous leishmaniasis patients treated with sodium stibogluconate. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20663995/),h,9.4,56537,DB05630,Sodium stibogluconate
,20663995,half-life,"A rapid distribution phase was followed by a slower elimination phase of a half-life of 9.4 ± 1.9 and 9.69 ± 2.3 hours for both days, respectively.",Clinical efficacy and pharmacokinetics of antimony in cutaneous leishmaniasis patients treated with sodium stibogluconate. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20663995/),h,9.69,56538,DB05630,Sodium stibogluconate
,20663995,accumulation index,An accumulation index of 2.33 was calculated.,Clinical efficacy and pharmacokinetics of antimony in cutaneous leishmaniasis patients treated with sodium stibogluconate. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20663995/),,2.33,56539,DB05630,Sodium stibogluconate
