Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8236143,acylation rate constant,The acylation rate constant of plasmin-STAR by p-amidinophenyl-p'-anisate-HCl was 52 M-1 s-1 and its deacylation rate constant 1.2 x 10(-4) s-1 (t1/2 of 95 min) which are respectively 50-fold and around 3-fold lower than for the plasmin-streptokinase complex.,Functional properties of p-anisoylated plasmin-staphylokinase complex. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8236143/),1/[M·s],52,9563,DB00086,Streptokinase
,8236143,deacylation rate constant,The acylation rate constant of plasmin-STAR by p-amidinophenyl-p'-anisate-HCl was 52 M-1 s-1 and its deacylation rate constant 1.2 x 10(-4) s-1 (t1/2 of 95 min) which are respectively 50-fold and around 3-fold lower than for the plasmin-streptokinase complex.,Functional properties of p-anisoylated plasmin-staphylokinase complex. ,Kinact-Q14,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8236143/),1/[s],1.2 x 10(-4),9564,DB00086,Streptokinase
,8236143,t1/2,The acylation rate constant of plasmin-STAR by p-amidinophenyl-p'-anisate-HCl was 52 M-1 s-1 and its deacylation rate constant 1.2 x 10(-4) s-1 (t1/2 of 95 min) which are respectively 50-fold and around 3-fold lower than for the plasmin-streptokinase complex.,Functional properties of p-anisoylated plasmin-staphylokinase complex. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8236143/),min,95,9565,DB00086,Streptokinase
,8236143,plasma clearances,"The plasma clearances of STAR-related antigen following bolus injection in hamsters were 1.0 to 1.5 ml/min for acylated plasmin-STAR, unblocked plasmin-STAR and free STAR, as a result of short initial half-lives of 2.0 to 2.5 min.",Functional properties of p-anisoylated plasmin-staphylokinase complex. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8236143/),[ml] / [min],1.0 to 1.5,9566,DB00086,Streptokinase
,8236143,initial half-lives,"The plasma clearances of STAR-related antigen following bolus injection in hamsters were 1.0 to 1.5 ml/min for acylated plasmin-STAR, unblocked plasmin-STAR and free STAR, as a result of short initial half-lives of 2.0 to 2.5 min.",Functional properties of p-anisoylated plasmin-staphylokinase complex. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8236143/),min,2.0 to 2.5,9567,DB00086,Streptokinase
,18444516,half-life,"Streptokinase mainly undergoes renal elimination with a half-life of 11-17 min, while alteplase is eliminating by the liver with a half-life of 4-6 min.",Does impairment of renal and hepatic function influence the metabolism of thrombolytics in patients with myocardial infarction? ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18444516/),min,11-17,10493,DB00086,Streptokinase
,18444516,half-life,"Streptokinase mainly undergoes renal elimination with a half-life of 11-17 min, while alteplase is eliminating by the liver with a half-life of 4-6 min.",Does impairment of renal and hepatic function influence the metabolism of thrombolytics in patients with myocardial infarction? ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18444516/),min,4-6,10494,DB00086,Streptokinase
,3315576,plasma half-life,Anisoylated plasminogen streptokinase activator complex (APSAC) is a recently developed thrombolytic agent with high fibrin-binding potential and sustained release pharmacokinetics (plasma half-life 70 minutes).,Achievement of coronary artery patency by use of anisoylated plasminogen streptokinase activator complex in acute myocardial infarction. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3315576/),min,70,63629,DB00086,Streptokinase
,2049230,volumes of distribution,"2. The two agents were found to have similar volumes of distribution (5.68 and 5.90 l), but SK was cleared significantly more rapidly than anistreplase, resulting in a shorter terminal phase half-life (0.61 vs 1.16 h) and a shorter mean residence time (0.76 vs 1.55 h).",A comparison of the pharmacokinetic properties of streptokinase and anistreplase in acute myocardial infarction. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2049230/),l,5.68,68177,DB00086,Streptokinase
,2049230,volumes of distribution,"2. The two agents were found to have similar volumes of distribution (5.68 and 5.90 l), but SK was cleared significantly more rapidly than anistreplase, resulting in a shorter terminal phase half-life (0.61 vs 1.16 h) and a shorter mean residence time (0.76 vs 1.55 h).",A comparison of the pharmacokinetic properties of streptokinase and anistreplase in acute myocardial infarction. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2049230/),l,5.90,68178,DB00086,Streptokinase
