Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16094676,Cl(nr),"As expected, the Cl(nr) values were significantly slower in DMIA (0.983 versus 1.35 ml/min/kg) and DMIS (0.998 versus 1.36 ml/min/kg) rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],0.983,549,DB00428,Streptozocin
,16094676,Cl(nr),"As expected, the Cl(nr) values were significantly slower in DMIA (0.983 versus 1.35 ml/min/kg) and DMIS (0.998 versus 1.36 ml/min/kg) rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],1.35,550,DB00428,Streptozocin
,16094676,Cl(nr),"As expected, the Cl(nr) values were significantly slower in DMIA (0.983 versus 1.35 ml/min/kg) and DMIS (0.998 versus 1.36 ml/min/kg) rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],0.998,551,DB00428,Streptozocin
,16094676,Cl(nr),"As expected, the Cl(nr) values were significantly slower in DMIA (0.983 versus 1.35 ml/min/kg) and DMIS (0.998 versus 1.36 ml/min/kg) rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],1.36,552,DB00428,Streptozocin
,16094676,time-averaged renal clearance (Cl(r)),"However, the time-averaged renal clearance (Cl(r)) values of torasemide were significantly faster in DMIA (0.164 versus 0.0846 ml/min/kg) and DMIS (0.205 versus 0.0967 ml/min/kg) rats due to urine flow rate-dependent timed-interval Cl(r) of torasemide in rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],0.164,553,DB00428,Streptozocin
,16094676,time-averaged renal clearance (Cl(r)),"However, the time-averaged renal clearance (Cl(r)) values of torasemide were significantly faster in DMIA (0.164 versus 0.0846 ml/min/kg) and DMIS (0.205 versus 0.0967 ml/min/kg) rats due to urine flow rate-dependent timed-interval Cl(r) of torasemide in rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],0.0846,554,DB00428,Streptozocin
,16094676,time-averaged renal clearance (Cl(r)),"However, the time-averaged renal clearance (Cl(r)) values of torasemide were significantly faster in DMIA (0.164 versus 0.0846 ml/min/kg) and DMIS (0.205 versus 0.0967 ml/min/kg) rats due to urine flow rate-dependent timed-interval Cl(r) of torasemide in rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],0.205,555,DB00428,Streptozocin
,16094676,time-averaged renal clearance (Cl(r)),"However, the time-averaged renal clearance (Cl(r)) values of torasemide were significantly faster in DMIA (0.164 versus 0.0846 ml/min/kg) and DMIS (0.205 versus 0.0967 ml/min/kg) rats due to urine flow rate-dependent timed-interval Cl(r) of torasemide in rats.",Pharmacokinetics and pharmacodynamics of intravenous torasemide in diabetic rats induced by alloxan or streptozotocin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16094676/),[ml] / [kg·min],0.0967,556,DB00428,Streptozocin
,8799497,bioavailability,The bioavailability of insulin estimated from the hypoglycemic effect was about 2% in the presence of either protease inhibitor.,Oral administration of insulin as poly(vinyl alcohol)-gel spheres in diabetic rats. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8799497/),%,2,14039,DB00428,Streptozocin
,150943,half-life (T 0.5),The half-life (T 0.5) for the plasma disappearance of intact drug was 5 minutes.,Pharmacologic disposition of chlorozotocin in mice. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/150943/),min,5,16376,DB00428,Streptozocin
,150943,T 0.5,The plasma disappearance of the ethyl-14C group was biphasic up to 120 minutes after administration; the T 0.5 of the initial phase was 17.5 minutes and the T 0.5 of the prolonged second phase was107 minutes.,Pharmacologic disposition of chlorozotocin in mice. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/150943/),min,17.5,16377,DB00428,Streptozocin
