Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9169989,blood pool half-life,The co-polymer had a blood pool half-life of 36h in adenocarcinoma-bearing rats.,"A long-circulating co-polymer in ""passive targeting"" to solid tumors. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9169989/),h,36,13798,DB00139,Succinic acid
,12951473,V(c),"When aconitine was intravenously administered to rats, the aconitine concentration in their plasma remarkably decreased within the first 60 min, and then gradually declined, suggesting a two-compartment pharmacokinetic model in (V(c) 0.41+/-0.09 l/kg, V(dss) 1.7+/-0.4 l/kg, CL(tot) 10+/-2 ml/min x kg, AUC(0-4800) 2055+/-294.3 ng x min/ml).",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[l] / [kg],0.41,32348,DB00139,Succinic acid
,12951473,V(dss),"When aconitine was intravenously administered to rats, the aconitine concentration in their plasma remarkably decreased within the first 60 min, and then gradually declined, suggesting a two-compartment pharmacokinetic model in (V(c) 0.41+/-0.09 l/kg, V(dss) 1.7+/-0.4 l/kg, CL(tot) 10+/-2 ml/min x kg, AUC(0-4800) 2055+/-294.3 ng x min/ml).",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[l] / [kg],1.7,32349,DB00139,Succinic acid
,12951473,CL(tot),"When aconitine was intravenously administered to rats, the aconitine concentration in their plasma remarkably decreased within the first 60 min, and then gradually declined, suggesting a two-compartment pharmacokinetic model in (V(c) 0.41+/-0.09 l/kg, V(dss) 1.7+/-0.4 l/kg, CL(tot) 10+/-2 ml/min x kg, AUC(0-4800) 2055+/-294.3 ng x min/ml).",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[ml] / [kg·min],10,32350,DB00139,Succinic acid
,12951473,AUC(0-4800),"When aconitine was intravenously administered to rats, the aconitine concentration in their plasma remarkably decreased within the first 60 min, and then gradually declined, suggesting a two-compartment pharmacokinetic model in (V(c) 0.41+/-0.09 l/kg, V(dss) 1.7+/-0.4 l/kg, CL(tot) 10+/-2 ml/min x kg, AUC(0-4800) 2055+/-294.3 ng x min/ml).",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[min·ng] / [ml],2055,32351,DB00139,Succinic acid
,12951473,maximum plasma concentrations (C(max)),"Following oral administration of aconitine to rats at two doses of 0.1 and 1.0 mg/kg b.w., the maximum plasma concentrations (C(max)) were 0.73+/-0.08 and 3.3+/-0.6 ng/ml at times of 45+/-9 and 150+/-52 min, respectively, and the AUC(0-1440) values were 130+/-4 and 1600+/-270 ng x min/ml.",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[ng] / [ml],0.73,32352,DB00139,Succinic acid
,12951473,maximum plasma concentrations (C(max)),"Following oral administration of aconitine to rats at two doses of 0.1 and 1.0 mg/kg b.w., the maximum plasma concentrations (C(max)) were 0.73+/-0.08 and 3.3+/-0.6 ng/ml at times of 45+/-9 and 150+/-52 min, respectively, and the AUC(0-1440) values were 130+/-4 and 1600+/-270 ng x min/ml.",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[ng] / [ml],3.3,32353,DB00139,Succinic acid
,12951473,AUC(0-1440),"Following oral administration of aconitine to rats at two doses of 0.1 and 1.0 mg/kg b.w., the maximum plasma concentrations (C(max)) were 0.73+/-0.08 and 3.3+/-0.6 ng/ml at times of 45+/-9 and 150+/-52 min, respectively, and the AUC(0-1440) values were 130+/-4 and 1600+/-270 ng x min/ml.",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[min·ng] / [ml],130,32354,DB00139,Succinic acid
,12951473,AUC(0-1440),"Following oral administration of aconitine to rats at two doses of 0.1 and 1.0 mg/kg b.w., the maximum plasma concentrations (C(max)) were 0.73+/-0.08 and 3.3+/-0.6 ng/ml at times of 45+/-9 and 150+/-52 min, respectively, and the AUC(0-1440) values were 130+/-4 and 1600+/-270 ng x min/ml.",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),[min·ng] / [ml],1600,32355,DB00139,Succinic acid
,12951473,bioavailability (F),"The bioavailability (F) of aconitine was determined to be 0.013, where only 1.3% of the aconitine administered orally was absorbed into the body fluid.",A new enzyme immunoassay for aconitine and its application to quantitative determination of aconitine levels in plasma. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12951473/),,0.013,32356,DB00139,Succinic acid
