Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3987792,plasma AUC,"Chronic administration of sulphinpyrazone, in comparison with a single oral dose, led to significant changes in plasma AUC (115.86 to 42.90 mg/l . h), in renal clearance (1.06 to 1.80 l/h), in hepatic intrinsic clearance (319.0 to 598.0 l/h), and in the unbound fraction in plasma 1.15 to 1.69%) and in tissue (2.73 to 1.31%).",Pharmacokinetics of sulphinpyrazone and its major metabolites after a single dose and during chronic treatment. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3987792/),[mg] / [h·l],115.86 to 42.90,10354,DB01138,Sulfinpyrazone
,3987792,renal clearance,"Chronic administration of sulphinpyrazone, in comparison with a single oral dose, led to significant changes in plasma AUC (115.86 to 42.90 mg/l . h), in renal clearance (1.06 to 1.80 l/h), in hepatic intrinsic clearance (319.0 to 598.0 l/h), and in the unbound fraction in plasma 1.15 to 1.69%) and in tissue (2.73 to 1.31%).",Pharmacokinetics of sulphinpyrazone and its major metabolites after a single dose and during chronic treatment. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3987792/),[l] / [h],1.06 to 1.80,10355,DB01138,Sulfinpyrazone
,3987792,hepatic intrinsic clearance,"Chronic administration of sulphinpyrazone, in comparison with a single oral dose, led to significant changes in plasma AUC (115.86 to 42.90 mg/l . h), in renal clearance (1.06 to 1.80 l/h), in hepatic intrinsic clearance (319.0 to 598.0 l/h), and in the unbound fraction in plasma 1.15 to 1.69%) and in tissue (2.73 to 1.31%).",Pharmacokinetics of sulphinpyrazone and its major metabolites after a single dose and during chronic treatment. ,CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3987792/),[l] / [h],319.0 to 598.0,10356,DB01138,Sulfinpyrazone
,3987792,volume of distribution,The volume of distribution changed from 20.24 to 52.04 l.,Pharmacokinetics of sulphinpyrazone and its major metabolites after a single dose and during chronic treatment. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3987792/),l,20,10357,DB01138,Sulfinpyrazone
,3987792,volume of distribution,The volume of distribution changed from 20.24 to 52.04 l.,Pharmacokinetics of sulphinpyrazone and its major metabolites after a single dose and during chronic treatment. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3987792/),l,52.04,10358,DB01138,Sulfinpyrazone
,3987792,elimination half-life,Chronic treatment with sulphinpyrazone reduced the plasma AUC of the sulfide and caused a decrease in its elimination half-life (20.9 to 14.3 h).,Pharmacokinetics of sulphinpyrazone and its major metabolites after a single dose and during chronic treatment. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3987792/),h,20.9 to 14.3,10359,DB01138,Sulfinpyrazone
,6970498,detection limit,"As an example, the practical detection limit for naproxen in plasma was about 0.2 microgram ml-1.","HPLC-determination of some antiinflammatory, weak analgesic and uricosuric drugs in human blood plasma and its application to pharmacokinetics. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6970498/),[μg] / [ml],0.2,31759,DB01138,Sulfinpyrazone
,6970498,Vc,"Vc was 0.038 1 kg-1, Vdss 0.138 1 kg-1, t 1/2 (beta) 21.3 hrs, t 1/2 (alpha) 0.99 hr and t 1/2 (ka) 0.67 hr.","HPLC-determination of some antiinflammatory, weak analgesic and uricosuric drugs in human blood plasma and its application to pharmacokinetics. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6970498/),[1] / [kg],0.038,31760,DB01138,Sulfinpyrazone
,6970498,Vdss,"Vc was 0.038 1 kg-1, Vdss 0.138 1 kg-1, t 1/2 (beta) 21.3 hrs, t 1/2 (alpha) 0.99 hr and t 1/2 (ka) 0.67 hr.","HPLC-determination of some antiinflammatory, weak analgesic and uricosuric drugs in human blood plasma and its application to pharmacokinetics. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6970498/),[1] / [kg],0.138,31761,DB01138,Sulfinpyrazone
,6970498,t 1/2 (beta,"Vc was 0.038 1 kg-1, Vdss 0.138 1 kg-1, t 1/2 (beta) 21.3 hrs, t 1/2 (alpha) 0.99 hr and t 1/2 (ka) 0.67 hr.","HPLC-determination of some antiinflammatory, weak analgesic and uricosuric drugs in human blood plasma and its application to pharmacokinetics. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6970498/),h,21.3,31762,DB01138,Sulfinpyrazone
