Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24954342,T1/2,"Diclofenac potassium had the lowest T1/2 and the highest mean Css, muscle/Css, plasma (1.9 hours and 0.85±0.53, respectively).",Concentration of non-steroidal anti-inflammatory drugs in the pelvic floor muscles: an experimental comparative rat model. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24954342/),h,1.9,2086,DB00605,Sulindac
,24954342,"Css, muscle/Css","Diclofenac potassium had the lowest T1/2 and the highest mean Css, muscle/Css, plasma (1.9 hours and 0.85±0.53, respectively).",Concentration of non-steroidal anti-inflammatory drugs in the pelvic floor muscles: an experimental comparative rat model. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24954342/),,0.85,2087,DB00605,Sulindac
<,11334356,run cycle-time,The run cycle-time is <4 min.,Liquid chromatographic-mass spectrometric determination of celecoxib in plasma using single-ion monitoring and its use in clinical pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11334356/),min,4,5124,DB00605,Sulindac
,11334356,flow-rate,"The reconstituted solution of the residue was injected onto a Shim Pack GLC-CN, C18 column and chromatographed with a mobile phase comprised of acetonitrile-1% acetic acid solution (4:1) at a flow-rate of 1 ml/min.",Liquid chromatographic-mass spectrometric determination of celecoxib in plasma using single-ion monitoring and its use in clinical pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11334356/),[ml] / [min],1,5125,DB00605,Sulindac
,11334356,relative recoveries,The relative recoveries of celecoxib from human plasma ranged from 102.4 to 103.3% indicating the suitability of the method for the extraction of celecoxib and I.S. from plasma samples.,Liquid chromatographic-mass spectrometric determination of celecoxib in plasma using single-ion monitoring and its use in clinical pharmacokinetics. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11334356/),%,102.4 to 103.3,5126,DB00605,Sulindac
,10901144,absolute recovery,"In these conditions, the absolute recovery of fenofibric acid was close to 100% and a linear calibration curve was obtained in the concentration range from 0.25 to 20 microg/ml.",Determination of fenofibric acid in human plasma using automated solid-phase extraction coupled to liquid chromatography. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10901144/),%,100,43058,DB00605,Sulindac
,6539116,half-lives,"The average half-lives of sulindac, sulindac sulfide and sulfone were 1.7 -4.2 h, 15.3-16.1 h and 16.6-19.6 h, respectively.",Pharmacokinetics of graded oral doses of sulindac in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6539116/),h,1.7 -4.2,43622,DB00605,Sulindac
,6539116,half-lives,"The average half-lives of sulindac, sulindac sulfide and sulfone were 1.7 -4.2 h, 15.3-16.1 h and 16.6-19.6 h, respectively.",Pharmacokinetics of graded oral doses of sulindac in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6539116/),h,15.3-16.1,43623,DB00605,Sulindac
,6539116,half-lives,"The average half-lives of sulindac, sulindac sulfide and sulfone were 1.7 -4.2 h, 15.3-16.1 h and 16.6-19.6 h, respectively.",Pharmacokinetics of graded oral doses of sulindac in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6539116/),h,16.6-19.6,43624,DB00605,Sulindac
,12374677,EC(50),"Peak plasma concentrations occurred between 1 and 2 h after dosing, and doses above 200 mg/day exceeded the known in vitro EC(50) (1-2 micro M) for apoptosis in cancer cells.",Phase I and pharmacokinetic trial of the proapoptotic sulindac analog CP-461 in patients with advanced cancer. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12374677/),μM,1-2,66452,DB00605,Sulindac
,12374677,terminal half-life,"No drug was detectable after 24 h of administration, and the terminal half-life was 6.7 h.",Phase I and pharmacokinetic trial of the proapoptotic sulindac analog CP-461 in patients with advanced cancer. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12374677/),h,6.7,66453,DB00605,Sulindac
,30597269,zeta potential,"The nanoparticles were spherical with effective diameter = 108.9 ± 41.7 nm, zeta potential = -21.70 ± 3.78 mV, drug loading = 7%, and entrapment efficiency = 46.4%.",The ocular pharmacokinetics and biodistribution of phospho-sulindac (OXT-328) formulated in nanoparticles: Enhanced and targeted tissue drug delivery. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30597269/),mv,-,77866,DB00605,Sulindac
,30597269,zeta potential,"The nanoparticles were spherical with effective diameter = 108.9 ± 41.7 nm, zeta potential = -21.70 ± 3.78 mV, drug loading = 7%, and entrapment efficiency = 46.4%.",The ocular pharmacokinetics and biodistribution of phospho-sulindac (OXT-328) formulated in nanoparticles: Enhanced and targeted tissue drug delivery. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30597269/),mv,21.70,77867,DB00605,Sulindac
,30597269,entrapment efficiency,"The nanoparticles were spherical with effective diameter = 108.9 ± 41.7 nm, zeta potential = -21.70 ± 3.78 mV, drug loading = 7%, and entrapment efficiency = 46.4%.",The ocular pharmacokinetics and biodistribution of phospho-sulindac (OXT-328) formulated in nanoparticles: Enhanced and targeted tissue drug delivery. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30597269/),%,46.4,77868,DB00605,Sulindac
,30597269,Cmax,"Of the total PS delivered topically to the eye, >95% was retained in the anterior segment, predominantly in the cornea (Cmax = 101.3 μM; Tmax = 1 h; T1/2 = 2.6 h; area AUC0-16h = 164.4 µM·h) and conjunctiva (Cmax = 89.4 μM; Tmax = 0.25 h; T1/2 = 3.1 h; AUC0-16h = 63.5 µM·h), the tissues most affected by dry eye disease.",The ocular pharmacokinetics and biodistribution of phospho-sulindac (OXT-328) formulated in nanoparticles: Enhanced and targeted tissue drug delivery. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30597269/),μM,101.3,77869,DB00605,Sulindac
