Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
less,32726002,Relative attenuation ratios,"Relative attenuation ratios were less than 1, indicating a slower central versus peripheral attenuation, across the time points for all antipsychotic types and doses with only a few exceptions.",Dissociation in Pharmacokinetic Attenuation Between Central Dopamine D2 Receptor Occupancy and Peripheral Blood Concentration of Antipsychotics: A Systematic Review. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32726002/),,1,3875,DB00391,Sulpiride
,22100559,flow rate,"Mobile phase (acetonitrile-0.01 M phosphate buffer pH=3, flow rate 1 ml min(-1)) in the gradient mode was employed in the HPLC analysis.",High-performance liquid chromatographic determination of tiapride and its phase I metabolite in blood plasma using tandem UV photodiode-array and fluorescence detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22100559/),[ml] / [min],1,14743,DB00391,Sulpiride
,22100559,λ(exc.)/λ(emiss.),"Low concentrations of tiapride and N-desethyl tiapride were determined using a more selective fluorescence detector (λ(exc.)/λ(emiss.)=232 nm/334 nm), high concentrations (500-6000 pmol ml(-1)) using a UV PDA detector at 212 nm with a linear response.",High-performance liquid chromatographic determination of tiapride and its phase I metabolite in blood plasma using tandem UV photodiode-array and fluorescence detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22100559/),,232,14744,DB00391,Sulpiride
,22100559,recoveries,"The recoveries of tiapride ranged from 89.3 to 94.3%, 81.7 to 86.8% for internal standard sulpiride and 90.9 to 91.8% for N-desethyl tiapride.",High-performance liquid chromatographic determination of tiapride and its phase I metabolite in blood plasma using tandem UV photodiode-array and fluorescence detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22100559/),%,89.3 to 94.3,14745,DB00391,Sulpiride
,22100559,recoveries,"The recoveries of tiapride ranged from 89.3 to 94.3%, 81.7 to 86.8% for internal standard sulpiride and 90.9 to 91.8% for N-desethyl tiapride.",High-performance liquid chromatographic determination of tiapride and its phase I metabolite in blood plasma using tandem UV photodiode-array and fluorescence detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22100559/),%,81.7 to 86.8,14746,DB00391,Sulpiride
,22100559,recoveries,"The recoveries of tiapride ranged from 89.3 to 94.3%, 81.7 to 86.8% for internal standard sulpiride and 90.9 to 91.8% for N-desethyl tiapride.",High-performance liquid chromatographic determination of tiapride and its phase I metabolite in blood plasma using tandem UV photodiode-array and fluorescence detection. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22100559/),%,90.9 to 91.8,14747,DB00391,Sulpiride
,27184677,C max,"The optimized XePoMas formulation was shown to increase intestinal absorption of sulpiride to a greater extent than the marketed product in vivo, with a C max of 830.58 ng/mL after 15 h.",In Vivo Evaluation of a PEO-Gellan Gum Semi-Interpenetrating Polymer Network for the Oral Delivery of Sulpiride. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27184677/),[ng] / [ml],830.58,24222,DB00391,Sulpiride
,28499878,Km,"From in vitro experiments, we found that sulpiride is a substrate of hOCT1 (Km 2.6 μM), hOCT2 (Km 68 μM), hMATE1 (Km 40 μM), and hMATE2-K (Km 60 μM).","Possible Role of Organic Cation Transporters in the Distribution of [11C]Sulpiride, a Dopamine D2 Receptor Antagonist. ",Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28499878/),μM,2.6,25394,DB00391,Sulpiride
,28499878,Km,"From in vitro experiments, we found that sulpiride is a substrate of hOCT1 (Km 2.6 μM), hOCT2 (Km 68 μM), hMATE1 (Km 40 μM), and hMATE2-K (Km 60 μM).","Possible Role of Organic Cation Transporters in the Distribution of [11C]Sulpiride, a Dopamine D2 Receptor Antagonist. ",Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28499878/),μM,68,25395,DB00391,Sulpiride
,28499878,Km,"From in vitro experiments, we found that sulpiride is a substrate of hOCT1 (Km 2.6 μM), hOCT2 (Km 68 μM), hMATE1 (Km 40 μM), and hMATE2-K (Km 60 μM).","Possible Role of Organic Cation Transporters in the Distribution of [11C]Sulpiride, a Dopamine D2 Receptor Antagonist. ",Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28499878/),μM,40,25396,DB00391,Sulpiride
