Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29905619,AUC0-12h,"The median values of AUC0-12h were 43.98 and 41.95 mcg·h/mL for MMF capsule and MMF dispersible tablet, respectively.",Pharmacokinetic Comparison of Two Mycophenolate Mofetil Formulations in Kidney Transplant Recipients. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29905619/),[h·mcg] / [ml],43.98,1262,DB00864,Tacrolimus
,29905619,AUC0-12h,"The median values of AUC0-12h were 43.98 and 41.95 mcg·h/mL for MMF capsule and MMF dispersible tablet, respectively.",Pharmacokinetic Comparison of Two Mycophenolate Mofetil Formulations in Kidney Transplant Recipients. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29905619/),[h·mcg] / [ml],41.95,1263,DB00864,Tacrolimus
>,18459999,trough,"The incidence of early, acute rejection episodes was higher for recipients who were younger, received a graft from an unrelated donor or failed to achieve adequate tacrolimus concentrations (trough > 10 ng/mL) in the first seven d after transplant.",Combination therapy with tacrolimus and mycophenolate mofetil: effects of early and late minimization of mycophenolate mofetil after renal transplant. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18459999/),[ng] / [ml],10,1322,DB00864,Tacrolimus
,25707517,oral clearance,"Typical mean value of MPA oral clearance, estimated by base model (without covariates) was 0.741 L h(-1).",Variability of mycophenolic acid elimination in the renal transplant recipients – population pharmacokinetic approach. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25707517/),[l] / [h],0.741,1786,DB00864,Tacrolimus
,21632965,oral clearance,"The predicted oral clearance values of the drugs investigated ranged from 8.79 to 6320 l/h for tacrolimus and simvastatin, respectively, and were overall within 3-fold of the observed data with the exception of indinavir, atorvastatin, and buspirone.",Physiologically based pharmacokinetic modeling of intestinal first-pass metabolism of CYP3A substrates with high intestinal extraction. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21632965/),[l] / [h],8.79 to 6320,1970,DB00864,Tacrolimus
,21632965,CLu(int),"The individual HJM CLu(int) values ranged from 17 to 14,000 μl · min(-1) · mg(-1) for atorvastatin and saquinavir, respectively, and corresponding interindividual variability in CLu(int) estimates ranged from 41 to 67%.",Physiologically based pharmacokinetic modeling of intestinal first-pass metabolism of CYP3A substrates with high intestinal extraction. ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21632965/),[μl] / [mg·min],"17 to 14,000",1971,DB00864,Tacrolimus
,21632965,F(G),"These in vitro data resulted in predicted F(G) values ranging from 0.03 to 0.94 for simvastatin and indinavir, respectively.",Physiologically based pharmacokinetic modeling of intestinal first-pass metabolism of CYP3A substrates with high intestinal extraction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21632965/),,0,1972,DB00864,Tacrolimus
,21910052,area under the concentration-time curve,"The area under the concentration-time curve, the time of maximum concentration, and the maximum concentration were 43.4 ng·h/mL, 0.85 h, and 8.1 ng/mL, respectively, similar to those of FK506.",Effects of water-soluble tacrolimus-PEG conjugate on insulin-dependent diabetes mellitus and systemic lupus erythematosus. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21910052/),[h·ng] / [ml],43.4,2393,DB00864,Tacrolimus
,21910052,time of maximum concentration,"The area under the concentration-time curve, the time of maximum concentration, and the maximum concentration were 43.4 ng·h/mL, 0.85 h, and 8.1 ng/mL, respectively, similar to those of FK506.",Effects of water-soluble tacrolimus-PEG conjugate on insulin-dependent diabetes mellitus and systemic lupus erythematosus. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21910052/),h,0.85,2394,DB00864,Tacrolimus
,21910052,maximum concentration,"The area under the concentration-time curve, the time of maximum concentration, and the maximum concentration were 43.4 ng·h/mL, 0.85 h, and 8.1 ng/mL, respectively, similar to those of FK506.",Effects of water-soluble tacrolimus-PEG conjugate on insulin-dependent diabetes mellitus and systemic lupus erythematosus. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21910052/),[ng] / [ml],8.1,2395,DB00864,Tacrolimus
,32858576,flow rate,"PBMCs were isolated from the whole blood of 27 Chinese renal transplant patients using Ficoll-Paque Plus solution, and cell number was determined; acetonitrile treatment for protein precipitation, and gradient elution was performed on an Agilent Eclipse XDB-C18 column (3.5 μm, 2.1 × 100 mm) with mobile phase: water and methanol (containing 2 mM ammonium formate); flow rate: 0.3 mL·min.",Establishment of a Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Immunosuppressant Levels in the Peripheral Blood Mononuclear Cells of Chinese Renal Transplant Recipients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32858576/),min·ml,0.3,3532,DB00864,Tacrolimus
,32858576,extraction effects,"The extraction effects, matrix effects, and mean relative recovery of these immunosuppressants were 70.4%-93.2%, 72.7%-96.5%, and 90.1%-112.4%, respectively.",Establishment of a Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Immunosuppressant Levels in the Peripheral Blood Mononuclear Cells of Chinese Renal Transplant Recipients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32858576/),%,70.4,3533,DB00864,Tacrolimus
,32858576,matrix effects,"The extraction effects, matrix effects, and mean relative recovery of these immunosuppressants were 70.4%-93.2%, 72.7%-96.5%, and 90.1%-112.4%, respectively.",Establishment of a Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Immunosuppressant Levels in the Peripheral Blood Mononuclear Cells of Chinese Renal Transplant Recipients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32858576/),%,93,3534,DB00864,Tacrolimus
,32858576,matrix effects,"The extraction effects, matrix effects, and mean relative recovery of these immunosuppressants were 70.4%-93.2%, 72.7%-96.5%, and 90.1%-112.4%, respectively.",Establishment of a Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Immunosuppressant Levels in the Peripheral Blood Mononuclear Cells of Chinese Renal Transplant Recipients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32858576/),%,72.7,3535,DB00864,Tacrolimus
,32858576,matrix effects,"The extraction effects, matrix effects, and mean relative recovery of these immunosuppressants were 70.4%-93.2%, 72.7%-96.5%, and 90.1%-112.4%, respectively.",Establishment of a Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Immunosuppressant Levels in the Peripheral Blood Mononuclear Cells of Chinese Renal Transplant Recipients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32858576/),%,90.1,3536,DB00864,Tacrolimus
,32858576,relative recovery,"The extraction effects, matrix effects, and mean relative recovery of these immunosuppressants were 70.4%-93.2%, 72.7%-96.5%, and 90.1%-112.4%, respectively.",Establishment of a Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Immunosuppressant Levels in the Peripheral Blood Mononuclear Cells of Chinese Renal Transplant Recipients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32858576/),%,90.1,3537,DB00864,Tacrolimus
,16762205,T(max),T(max) and C(max) in eye drops were (1.25 +/- 0.50) h and (15.52 +/- 2.37) ng/ml respectively; while T(max) and C(max) in subconjunctiva injection were (64.00 +/- 13.86) h and (10.16 +/- 1.37) ng/ml respectively.,[The pharmacokinetics of FK506 and its nanoparticles in aqueous humor of rabbits]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16762205/),h,1.25,3637,DB00864,Tacrolimus
,16762205,C(max),T(max) and C(max) in eye drops were (1.25 +/- 0.50) h and (15.52 +/- 2.37) ng/ml respectively; while T(max) and C(max) in subconjunctiva injection were (64.00 +/- 13.86) h and (10.16 +/- 1.37) ng/ml respectively.,[The pharmacokinetics of FK506 and its nanoparticles in aqueous humor of rabbits]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16762205/),[ng] / [ml],15.52,3638,DB00864,Tacrolimus
,16762205,T(max),T(max) and C(max) in eye drops were (1.25 +/- 0.50) h and (15.52 +/- 2.37) ng/ml respectively; while T(max) and C(max) in subconjunctiva injection were (64.00 +/- 13.86) h and (10.16 +/- 1.37) ng/ml respectively.,[The pharmacokinetics of FK506 and its nanoparticles in aqueous humor of rabbits]. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16762205/),h,64.00,3639,DB00864,Tacrolimus
