Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29934999,Cmax,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),[ng] / [ml],141.15,7210,DB00820,Tadalafil
,29934999,Cmax,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),[ng] / [ml],55.02,7211,DB00820,Tadalafil
,29934999,tmax,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),h,2.50,7212,DB00820,Tadalafil
,29934999,tmax,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),h,1.5,7213,DB00820,Tadalafil
,29934999,t½,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),h,7.30,7214,DB00820,Tadalafil
,29934999,t½,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),h,4.23,7215,DB00820,Tadalafil
,29934999,Kel,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),1/[h],0.10,7216,DB00820,Tadalafil
,29934999,Kel,"The pharmacokinetic parameters were: Cmax 141.15 ± 39.84 (μg/mL) and 55.02 ± 9.36 (ng/mL); tmax (h) 2.50 ± 0.50 and 1.5 ± 0.50; t½ (h) 7.30 ± 2.98 and 4.23 ± 1.96; and Kel (h-1 ) 0.10 ± 0.04 and 0.20 ± 0.13 for CFT and LDC, respectively.",Enhanced HPLC-MS/MS method for the quantitative determination of the co-administered drugs ceftriaxone sodium and lidocaine hydrochloride in human plasma following an intramuscular injection and application to a pharmacokinetic study. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29934999/),1/[h],0.20,7217,DB00820,Tadalafil
,29314090,flow rate,"The chromatographic separation was carried out using ZorbaxSB-C18 column (4.6 × 50 mm,5 μm) and 5 mm ammonium formate buffer (pH 3.5)-acetonitrile (50:50, v/v) as mobile phase in an isocratic elution mode pumped at a flow rate 0.7 mL min-1 .",Development and validation of LC-MS/MS method for simultaneous determination of sofosbuvir and daclatasvir in human Plasma: Application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29314090/),[ml] / [min],0.7,20879,DB00820,Tadalafil
,18760744,time interval,"The median [CI: 95%] of the time interval between drug intake and sexual intercourses was 1.0h [1.0-1.0] for sildenafil, 1.0h [1.0-1.0] for vardenafil and 1.5h [1.3-1.5] for tadalafil.",[Impact of the pharmacokinetic properties of PDE5 inhibitors on the dose/sexual intercourse interval]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18760744/),h,1.0,39541,DB00820,Tadalafil
,18760744,time interval,"The median [CI: 95%] of the time interval between drug intake and sexual intercourses was 1.0h [1.0-1.0] for sildenafil, 1.0h [1.0-1.0] for vardenafil and 1.5h [1.3-1.5] for tadalafil.",[Impact of the pharmacokinetic properties of PDE5 inhibitors on the dose/sexual intercourse interval]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18760744/),h,1.5,39542,DB00820,Tadalafil
,32095455,flow rate,"Chromatographic separation was performed on a Shiseido C18 (100 × 2.1 mm, 2.7 µm) column with isocratic elution using 2.0 mM ammonium acetate and acetonitrile (55:45, v/v) with 0.1% formic acid at a flow rate of 0.7 mL/min.",Validated UPLC-MS/MS method for the determination of tadalafil in human plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32095455/),[ml] / [min],0.7,63490,DB00820,Tadalafil
,32095455,total run time,The total run time was 1 min per sample.,Validated UPLC-MS/MS method for the determination of tadalafil in human plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32095455/),[min] / [sample],1,63491,DB00820,Tadalafil
,28579005,apparent solubility,"After 1h, the apparent solubility of PVP/VA S-630 SD formulations with MgO, meglumine, and tartaric acid were significantly higher by 387.0±4.17, 376.8±9.88, and 308.8±4.17μg/mL, respectively, than those of SD formulations without weak acids and bases (166.8±0.50μg/mL).",Tadalafil solid dispersion formulations based on PVP/VA S-630: Improving oral bioavailability in rats. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28579005/),[μg] / [ml],387.0,63620,DB00820,Tadalafil
