Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9105544,plasma radioactivity,"In normal skin mice and rabbits, the plasma radioactivity peaked at 8 h (40.8 ng eq./ml) and at 12 h (34.0 ng eq./ml) after application, respectively.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),[eq·ng] / [ml],40.8,17098,DB04942,Tamibarotene
,9105544,plasma radioactivity,"In normal skin mice and rabbits, the plasma radioactivity peaked at 8 h (40.8 ng eq./ml) and at 12 h (34.0 ng eq./ml) after application, respectively.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),[eq·ng] / [ml],34.0,17099,DB04942,Tamibarotene
,9105544,Percutaneous absorption,"Percutaneous absorption of 14C-Am-80 was less than 2% of the dose for dogs, 34% for mice and 23% for rabbits.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),%,34,17100,DB04942,Tamibarotene
,9105544,Percutaneous absorption,"Percutaneous absorption of 14C-Am-80 was less than 2% of the dose for dogs, 34% for mice and 23% for rabbits.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),%,23,17101,DB04942,Tamibarotene
,9105544,half-lives,"After subcutaneous administration at a dose of 1 mg/kg to mice, dogs and rabbits, plasma levels of radioactivity peaked at 1, 4 and 4 h after dosing with a concentration of 614.0, 902.9 and 757.7 ng eq./ml and then it declined with half-lives of 2.4, 7.2 and 4.1 h, respectively.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),h,2.4,17102,DB04942,Tamibarotene
,9105544,half-lives,"After subcutaneous administration at a dose of 1 mg/kg to mice, dogs and rabbits, plasma levels of radioactivity peaked at 1, 4 and 4 h after dosing with a concentration of 614.0, 902.9 and 757.7 ng eq./ml and then it declined with half-lives of 2.4, 7.2 and 4.1 h, respectively.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),h,7.2,17103,DB04942,Tamibarotene
,9105544,half-lives,"After subcutaneous administration at a dose of 1 mg/kg to mice, dogs and rabbits, plasma levels of radioactivity peaked at 1, 4 and 4 h after dosing with a concentration of 614.0, 902.9 and 757.7 ng eq./ml and then it declined with half-lives of 2.4, 7.2 and 4.1 h, respectively.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),h,4.1,17104,DB04942,Tamibarotene
,9105544,Urinary,"Urinary and fecal excretion of radioactivity after subcutaneous administration at a dose of 1 mg/kg was 3.5 and 94.7% of the dose in dogs, 27.0 and 73.2% in mice and 43.5 and 45.6% in rabbits.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),%,3.5,17105,DB04942,Tamibarotene
,9105544,Urinary,"Urinary and fecal excretion of radioactivity after subcutaneous administration at a dose of 1 mg/kg was 3.5 and 94.7% of the dose in dogs, 27.0 and 73.2% in mice and 43.5 and 45.6% in rabbits.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),%,94.7,17106,DB04942,Tamibarotene
,9105544,Urinary,"Urinary and fecal excretion of radioactivity after subcutaneous administration at a dose of 1 mg/kg was 3.5 and 94.7% of the dose in dogs, 27.0 and 73.2% in mice and 43.5 and 45.6% in rabbits.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),%,27.0,17107,DB04942,Tamibarotene
,9105544,Urinary,"Urinary and fecal excretion of radioactivity after subcutaneous administration at a dose of 1 mg/kg was 3.5 and 94.7% of the dose in dogs, 27.0 and 73.2% in mice and 43.5 and 45.6% in rabbits.","Studies on the metabolism and disposition of the new retinoid 4-[(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthyl)carbamoyl] benzoic acid. 4th communication: absorption, metabolism, excretion and plasma protein binding in various animals and man. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9105544/),%,73.2,17108,DB04942,Tamibarotene
