Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24206632,Bioavailability,"Bioavailability for each route was almost complete, accounting for 94% and 90% after IM and SC administrations, respectively.","Pharmacokinetics of the novel atypical opioid tapentadol after intravenous, intramuscular and subcutaneous administration in cats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24206632/),%,94,17711,DB06204,Tapentadol
,24206632,Bioavailability,"Bioavailability for each route was almost complete, accounting for 94% and 90% after IM and SC administrations, respectively.","Pharmacokinetics of the novel atypical opioid tapentadol after intravenous, intramuscular and subcutaneous administration in cats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24206632/),%,90,17712,DB06204,Tapentadol
,24206632,half-life of the terminal portion,The half-life of the terminal portion of the plasma concentration curve was not significantly different between the three routes of administrations (2-3h).,"Pharmacokinetics of the novel atypical opioid tapentadol after intravenous, intramuscular and subcutaneous administration in cats. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/24206632/),h,2-3,17713,DB06204,Tapentadol
,29799633,flow rate,The analytes and internal standard were treated by methanol and then separated on a Phenomenex Kinetex® XB-C18 (2.1 × 50 mm × 2.6 μm) column at a flow rate of 0.3 mL/min.,Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),[ml] / [min],0.3,37247,DB06204,Tapentadol
,29799633,m/z,"The mass transition ion-pairs were m/z 222.2 → 107.0, m/z 293.2 → 71.9 and m/z 307.1 → 220.0 for tapentadol, WWJ01 and IS, respectively.",Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),,222.2,37248,DB06204,Tapentadol
,29799633,m/z,"The mass transition ion-pairs were m/z 222.2 → 107.0, m/z 293.2 → 71.9 and m/z 307.1 → 220.0 for tapentadol, WWJ01 and IS, respectively.",Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),,107.0,37249,DB06204,Tapentadol
,29799633,m/z,"The mass transition ion-pairs were m/z 222.2 → 107.0, m/z 293.2 → 71.9 and m/z 307.1 → 220.0 for tapentadol, WWJ01 and IS, respectively.",Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),,293.2,37250,DB06204,Tapentadol
,29799633,m/z,"The mass transition ion-pairs were m/z 222.2 → 107.0, m/z 293.2 → 71.9 and m/z 307.1 → 220.0 for tapentadol, WWJ01 and IS, respectively.",Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),,71.9,37251,DB06204,Tapentadol
,29799633,m/z,"The mass transition ion-pairs were m/z 222.2 → 107.0, m/z 293.2 → 71.9 and m/z 307.1 → 220.0 for tapentadol, WWJ01 and IS, respectively.",Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),,307.1,37252,DB06204,Tapentadol
,29799633,m/z,"The mass transition ion-pairs were m/z 222.2 → 107.0, m/z 293.2 → 71.9 and m/z 307.1 → 220.0 for tapentadol, WWJ01 and IS, respectively.",Simultaneous determination of tapentadol and its carbamate prodrug in rat plasma by UPLC-MS/MS and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29799633/),,220.0,37253,DB06204,Tapentadol
,32475909,clearance (CL/F),"The median (range) estimated clearance (CL/F) and distribution volume (Vd/F) of TP were 86.7 (31.3-213.7) L/h and 1288 (189-6736) L, respectively.","Pharmacokinetic Analysis, Analgesic Effects, and Adverse Effects of Tapentadol in Cancer Patients with Pain. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32475909/),[l] / [h],86.7,39544,DB06204,Tapentadol
,32475909,distribution volume (Vd/F),"The median (range) estimated clearance (CL/F) and distribution volume (Vd/F) of TP were 86.7 (31.3-213.7) L/h and 1288 (189-6736) L, respectively.","Pharmacokinetic Analysis, Analgesic Effects, and Adverse Effects of Tapentadol in Cancer Patients with Pain. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32475909/),l,1288,39545,DB06204,Tapentadol
,26798023,apparent oral clearance,"The population estimates of apparent oral clearance and apparent central volume of distribution were 257 L/h and 1870 L, respectively.",Population Pharmacokinetic Modeling of Tapentadol Extended Release (ER) in Healthy Subjects and Patients with Moderate or Severe Chronic Pain. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26798023/),[l] / [h],257,42196,DB06204,Tapentadol
,26798023,apparent central volume of distribution,"The population estimates of apparent oral clearance and apparent central volume of distribution were 257 L/h and 1870 L, respectively.",Population Pharmacokinetic Modeling of Tapentadol Extended Release (ER) in Healthy Subjects and Patients with Moderate or Severe Chronic Pain. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26798023/),l,1870,42197,DB06204,Tapentadol
,28242230,TT,Baseline TT was 45.4 ± 1.4 °C for all treatments.,Thermal antinociception following oral administration of tapentadol in conscious cats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28242230/),°c,45.4,44226,DB06204,Tapentadol
,28242230,Maximum TT,"Maximum TT values were 48.8 ± 4.8 °C at 1 hour in LowTAP, 48.5 ± 3.0 °C at 2 hours in HighTAP and 50.2 ± 5.3 °C at 1 hour in BUP.",Thermal antinociception following oral administration of tapentadol in conscious cats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28242230/),°c,48.8,44227,DB06204,Tapentadol
,28242230,Maximum TT,"Maximum TT values were 48.8 ± 4.8 °C at 1 hour in LowTAP, 48.5 ± 3.0 °C at 2 hours in HighTAP and 50.2 ± 5.3 °C at 1 hour in BUP.",Thermal antinociception following oral administration of tapentadol in conscious cats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28242230/),°c,48.5,44228,DB06204,Tapentadol
,28242230,Maximum TT,"Maximum TT values were 48.8 ± 4.8 °C at 1 hour in LowTAP, 48.5 ± 3.0 °C at 2 hours in HighTAP and 50.2 ± 5.3 °C at 1 hour in BUP.",Thermal antinociception following oral administration of tapentadol in conscious cats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28242230/),°c,50.2,44229,DB06204,Tapentadol
,24353023,terminal half-life,Mean terminal half-life values ranged from 4.4 to 5.9 hours.,Pharmacokinetic evaluation of tapentadol extended-release tablets in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/24353023/),h,4.4 to 5.9,49063,DB06204,Tapentadol
,24611613,Tmax,"After I.M. injection, TAP showed a very fast absorption (Tmax = 0.17 h) and a short half-life (1.29 h).","Use of the novel atypical opioid tapentadol in goats (Capra hircus): pharmacokinetics after intravenous, and intramuscular administration. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24611613/),h,0.17,75747,DB06204,Tapentadol
,24611613,half-life,"After I.M. injection, TAP showed a very fast absorption (Tmax = 0.17 h) and a short half-life (1.29 h).","Use of the novel atypical opioid tapentadol in goats (Capra hircus): pharmacokinetics after intravenous, and intramuscular administration. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24611613/),h,1.29,75748,DB06204,Tapentadol
